Kickoff,OfficialHomeTeam,OfficialAwayTeam,HomeExpectedGoals,AwayExpectedGoals,Probability_H,Probability_D,Probability_A
2026-08-21 20:00:00,Arsenal,Coventry City,2.4699,0.951,0.7061,0.1682,0.1257
2026-08-22 12:30:00,Hull City,Manchester United,1.0102,2.0448,0.1794,0.2079,0.6127
2026-08-22 15:00:00,Everton,Crystal Palace,1.4887,1.4128,0.3932,0.2475,0.3593
2026-08-22 15:00:00,Ipswich Town,Sunderland,1.1712,1.6194,0.276,0.2461,0.4779
2026-08-22 15:00:00,Nottingham Forest,Leeds United,1.5451,1.3528,0.4196,0.2466,0.3338
2026-08-22 17:30:00,Brentford,Tottenham Hotspur,1.6909,1.2357,0.4806,0.2395,0.2798
2026-08-23 14:00:00,Brighton & Hove Albion,Aston Villa,1.4183,1.596,0.3404,0.2413,0.4183
2026-08-23 14:00:00,Manchester City,AFC Bournemouth,2.0188,1.2324,0.5578,0.2143,0.2278
2026-08-23 16:30:00,Newcastle United,Liverpool,1.3424,1.6861,0.3061,0.2379,0.456
2026-08-24 20:00:00,Fulham,Chelsea,1.4409,1.5003,0.364,0.2456,0.3903
