Outcome,Feature,Coefficient,AbsoluteCoefficient
H,HomeEloBefore,0.19491204556464403,0.19491204556464403
D,HomeEloBefore,-0.053194071137085575,0.053194071137085575
A,HomeEloBefore,-0.1417179744275586,0.1417179744275586
H,AwayEloBefore,-0.07458744180558612,0.07458744180558612
D,AwayEloBefore,-0.06779994180517288,0.06779994180517288
A,AwayEloBefore,0.14238738361075898,0.14238738361075898
H,HomeRollingPoints5,-0.012254327567425685,0.012254327567425685
D,HomeRollingPoints5,0.0036859238160758677,0.0036859238160758677
A,HomeRollingPoints5,0.008568403751349797,0.008568403751349797
H,AwayRollingPoints5,0.007263655716441016,0.007263655716441016
D,AwayRollingPoints5,0.018863955091773445,0.018863955091773445
A,AwayRollingPoints5,-0.026127610808214366,0.026127610808214366
H,HomeRollingGoalsFor5,0.001738088596535296,0.001738088596535296
D,HomeRollingGoalsFor5,0.022064821836613232,0.022064821836613232
A,HomeRollingGoalsFor5,-0.02380291043314854,0.02380291043314854
H,HomeRollingGoalsAgainst5,0.0014268099232064412,0.0014268099232064412
D,HomeRollingGoalsAgainst5,-0.009246630225116539,0.009246630225116539
A,HomeRollingGoalsAgainst5,0.007819820301910071,0.007819820301910071
H,HomeRollingGoalDifference5,-0.0012364167444651162,0.0012364167444651162
D,HomeRollingGoalDifference5,0.010173852986171742,0.010173852986171742
A,HomeRollingGoalDifference5,-0.008937436241706608,0.008937436241706608
H,HomeRollingWinRate5,-0.022447619139145773,0.022447619139145773
D,HomeRollingWinRate5,0.013053747910363695,0.013053747910363695
A,HomeRollingWinRate5,0.009393871228782059,0.009393871228782059
H,AwayRollingGoalsFor5,-0.03712984571068927,0.03712984571068927
D,AwayRollingGoalsFor5,0.02393680999680906,0.02393680999680906
A,AwayRollingGoalsFor5,0.01319303571388028,0.01319303571388028
H,AwayRollingGoalsAgainst5,0.03516439512471142,0.03516439512471142
D,AwayRollingGoalsAgainst5,-0.011530576963831488,0.011530576963831488
A,AwayRollingGoalsAgainst5,-0.02363381816087992,0.02363381816087992
H,AwayRollingGoalDifference5,-0.04503540408657954,0.04503540408657954
D,AwayRollingGoalDifference5,0.022423513882298934,0.022423513882298934
A,AwayRollingGoalDifference5,0.022611890204280644,0.022611890204280644
H,AwayRollingWinRate5,0.007087329083771258,0.007087329083771258
D,AwayRollingWinRate5,-0.006689489910790875,0.006689489910790875
A,AwayRollingWinRate5,-0.00039783917298037686,0.00039783917298037686
H,HomeVenueRollingPoints5,-0.05693020127943964,0.05693020127943964
D,HomeVenueRollingPoints5,0.051585072155425085,0.051585072155425085
A,HomeVenueRollingPoints5,0.00534512912401449,0.00534512912401449
H,HomeVenueRollingGoalsFor5,0.03151166203350483,0.03151166203350483
D,HomeVenueRollingGoalsFor5,-0.0015202482334143125,0.0015202482334143125
A,HomeVenueRollingGoalsFor5,-0.029991413800090527,0.029991413800090527
H,HomeVenueRollingGoalsAgainst5,0.011732257531157236,0.011732257531157236
D,HomeVenueRollingGoalsAgainst5,0.015913461260791847,0.015913461260791847
A,HomeVenueRollingGoalsAgainst5,-0.027645718791949114,0.027645718791949114
H,HomeVenueRollingGoalDifference5,0.015123827321556428,0.015123827321556428
D,HomeVenueRollingGoalDifference5,-0.009881782271627622,0.009881782271627622
A,HomeVenueRollingGoalDifference5,-0.005242045049928872,0.005242045049928872
H,HomeVenueRollingWinRate5,-0.04889946105628891,0.04889946105628891
D,HomeVenueRollingWinRate5,0.017279644250038865,0.017279644250038865
A,HomeVenueRollingWinRate5,0.03161981680625007,0.03161981680625007
H,AwayVenueRollingPoints5,-0.003580131773553034,0.003580131773553034
D,AwayVenueRollingPoints5,0.003636119703990446,0.003636119703990446
A,AwayVenueRollingPoints5,-5.598793043738242e-05,5.598793043738242e-05
H,AwayVenueRollingGoalsFor5,0.007588853654589181,0.007588853654589181
D,AwayVenueRollingGoalsFor5,-0.0054470165833833415,0.0054470165833833415
