Season,Date,HomeTeam,AwayTeam,FTR,HomeEloBefore,AwayEloBefore,HomeRollingPoints5,AwayRollingPoints5,HomeRollingGoalsFor5,HomeRollingGoalsAgainst5,HomeRollingGoalDifference5,HomeRollingWinRate5,AwayRollingGoalsFor5,AwayRollingGoalsAgainst5,AwayRollingGoalDifference5,AwayRollingWinRate5,HomeVenueRollingPoints5,HomeVenueRollingGoalsFor5,HomeVenueRollingGoalsAgainst5,HomeVenueRollingGoalDifference5,HomeVenueRollingWinRate5,AwayVenueRollingPoints5,AwayVenueRollingGoalsFor5,AwayVenueRollingGoalsAgainst5,AwayVenueRollingGoalDifference5,AwayVenueRollingWinRate5,HomeRestDays,AwayRestDays,HomeShortRest3,AwayShortRest3,HomeMatchesLast7Days,HomeMatchesLast14Days,AwayMatchesLast7Days,AwayMatchesLast14Days,EloDifference,PointsFormDifference5,GoalsForFormDifference5,GoalsAgainstFormDifference5,GoalDifferenceFormDifference5,WinRateFormDifference5,VenuePointsFormDifference5,VenueGoalsForFormDifference5,VenueGoalsAgainstFormDifference5,VenueGoalDifferenceFormDifference5,VenueWinRateFormDifference5,RestDaysDifference,ShortRestDifference3,MatchesLast7DaysDifference,MatchesLast14DaysDifference,AwayMatchWeek,HomeMatchWeek,HomeSeasonProgress,AwaySeasonProgress,AverageSeasonProgress,SeasonProgressDifference,MatchesPlayedDifference,SecondHalfSeason,HomePointsBefore,AwayPointsBefore,HomeGoalDifferenceBefore,AwayGoalDifferenceBefore,HomeLeaguePosition,AwayLeaguePosition,PointsDifference,PositionDifference,GoalDifferenceDifference,HomeTop4Before,HomeTop6Before,HomeTopHalfBefore,HomeBottom3Before,AwayTop4Before,AwayTop6Before,AwayTopHalfBefore,AwayBottom3Before
2025-26,2025-08-15,Liverpool,Bournemouth,H,1757.201461698298,1560.693814115772,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,196.50764758252603,,,,,,,,,,,,,0,0,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,,,0,,0,,,,,,,,
2025-26,2025-08-16,Aston Villa,Newcastle,D,1652.3069497979623,1636.9823550722806,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,15.324594725681663,,,,,,,,,,,,,0,0,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,3,14,0,11,0,1,1,1,0,0,0,0,0
2025-26,2025-08-16,Brighton,Fulham,D,1609.9730670308102,1553.8546841333946,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,56.118382897415586,,,,,,,,,,,,,0,0,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,5,10,0,5,0,0,1,1,0,0,0,1,0
2025-26,2025-08-16,Sunderland,West Ham,H,1371.1677739011245,1515.4220044894835,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,-144.25423058835895,,,,,,,,,,,,,0,0,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,16,18,0,2,0,0,0,0,0,0,0,0,1
2025-26,2025-08-16,Tottenham,Burnley,H,1500.4773908268708,1409.8458861956826,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,90.63150463118814,,,,,,,,,,,,,0,0,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,17,6,0,-11,0,0,0,0,0,0,1,1,0
2025-26,2025-08-16,Wolves,Man City,A,1508.884888952467,1755.3842335836569,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,-246.49934463118984,,,,,,,,,,,,,0,0,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,19,12,0,-7,0,0,0,0,1,0,0,0,0
2025-26,2025-08-17,Chelsea,Crystal Palace,D,1659.0386833925484,1596.4312108474167,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,62.607472545131714,,,,,,,,,,,,,0,0,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,11,12,0,1,0,0,0,0,0,0,0,0,0
2025-26,2025-08-17,Man United,Arsenal,A,1540.695548481544,1743.5128812705545,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,-202.8173327890106,,,,,,,,,,,,,0,0,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,15,9,0,-6,0,0,0,0,0,0,0,1,0
2025-26,2025-08-17,Nott'm Forest,Brentford,H,1574.4666520155013,1572.5297634476804,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1.9368885678209153,,,,,,,,,,,,,0,0,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,16,10,0,-6,0,0,0,0,0,0,0,1,0
2025-26,2025-08-18,Leeds,Everton,H,1439.336874896009,1567.5709802613057,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,-128.23410536529673,,,,,,,,,,,,,0,0,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,14,13,0,-1,0,0,0,0,0,0,0,0,0
2025-26,2025-08-22,West Ham,Chelsea,A,1502.7737987503087,1655.9064955155247,,,,,,,,,,,,,,,,,,,,,6.0,5.0,0.0,0.0,1,1,1,1,-153.132696765216,,,,,,,,,,,1.0,0.0,0,0,2,2,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.0,0,0,0,1,-3,0,19,11,-1,-8,-3,0,0,0,1,0,0,0,0
2025-26,2025-08-23,Arsenal,Leeds,H,1749.3777329933805,1451.5513319632212,,,,,,,,,,,,,,,,,,,,,6.0,5.0,0.0,0.0,1,1,1,1,297.82640103015933,,,,,,,,,,,1.0,0.0,0,0,2,2,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.0,0,0,3,3,1,1,7,8,0,1,0,0,0,1,0,0,0,1,0
2025-26,2025-08-23,Bournemouth,Wolves,H,1556.797484036428,1504.0058776243636,,,,,,,,,,,,,,,,,,,,,8.0,7.0,0.0,0.0,0,1,1,1,52.79160641206431,,,,,,,,,,,1.0,0.0,-1,0,2,2,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.0,0,0,0,0,-2,-4,16,19,0,3,2,0,0,0,0,0,0,0,1
