ObjectName,Rows,Columns,ExportType,File
chronological_strategy_uncertainty,1,15,Preferred,outputs\bookmaker_comparison\chronological_strategy_uncertainty.csv
kelly_staking_summary,3,21,Preferred,outputs\bookmaker_comparison\fractional_kelly_summary.csv
overall_model_market_comparison,2,8,Preferred,outputs\bookmaker_comparison\model_market_comparison.csv
seasonal_model_market_comparison,10,8,Preferred,outputs\bookmaker_comparison\model_market_season_comparison.csv
all_fixture_strategy,18,1,Supporting,outputs\bookmaker_comparison\supporting_tables\all_fixture_strategy.csv
best_historical_strategy,16,1,Supporting,outputs\bookmaker_comparison\supporting_tables\best_historical_strategy.csv
bookmaker_comparison_data,1900,30,Supporting,outputs\bookmaker_comparison\supporting_tables\bookmaker_comparison_data.csv
chronological_bootstrap_distribution,10000,4,Supporting,outputs\bookmaker_comparison\supporting_tables\chronological_bootstrap_distribution.csv
chronological_expected_return_band_summary,5,12,Supporting,outputs\bookmaker_comparison\supporting_tables\chronological_expected_return_band_summary.csv
chronological_profit_concentration,4,6,Supporting,outputs\bookmaker_comparison\supporting_tables\chronological_profit_concentration.csv
chronological_strategy_analysis,180,27,Supporting,outputs\bookmaker_comparison\supporting_tables\chronological_strategy_analysis.csv
chronological_strategy_summary,1,11,Supporting,outputs\bookmaker_comparison\supporting_tables\chronological_strategy_summary.csv
chronological_winning_bets,36,26,Supporting,outputs\bookmaker_comparison\supporting_tables\chronological_winning_bets.csv
chronologically_selected_bets,180,25,Supporting,outputs\bookmaker_comparison\supporting_tables\chronologically_selected_bets.csv
clv_chronological_path,215,32,Supporting,outputs\bookmaker_comparison\supporting_tables\clv_chronological_path.csv
clv_model_forecasts,5700,17,Supporting,outputs\bookmaker_comparison\supporting_tables\clv_model_forecasts.csv
daily_bets,27,3,Supporting,outputs\bookmaker_comparison\supporting_tables\daily_bets.csv
daily_model_market_losses,604,6,Supporting,outputs\bookmaker_comparison\supporting_tables\daily_model_market_losses.csv
edge_distribution_quantiles,10,4,Supporting,outputs\bookmaker_comparison\supporting_tables\edge_distribution_quantiles.csv
edge_summary_by_outcome,3,11,Supporting,outputs\bookmaker_comparison\supporting_tables\edge_summary_by_outcome.csv
evaluation_bets,37,25,Supporting,outputs\bookmaker_comparison\supporting_tables\evaluation_bets.csv
fixed_stake_bets,8064,21,Supporting,outputs\bookmaker_comparison\supporting_tables\fixed_stake_bets.csv
fixed_stake_bootstrap_draws,70000,5,Supporting,outputs\bookmaker_comparison\supporting_tables\fixed_stake_bootstrap_draws.csv
fixed_stake_bootstrap_summary,7,13,Supporting,outputs\bookmaker_comparison\supporting_tables\fixed_stake_bootstrap_summary.csv
fixed_stake_season_summary,35,9,Supporting,outputs\bookmaker_comparison\supporting_tables\fixed_stake_season_summary.csv
fixed_stake_strategy_summary,7,18,Supporting,outputs\bookmaker_comparison\supporting_tables\fixed_stake_strategy_summary.csv
fixture_best_bet_candidates,1900,18,Supporting,outputs\bookmaker_comparison\supporting_tables\fixture_best_bet_candidates.csv
flat_stake_result,21,1,Supporting,outputs\bookmaker_comparison\supporting_tables\flat_stake_result.csv
highest_expected_return_positions,1900,1,Supporting,outputs\bookmaker_comparison\supporting_tables\highest_expected_return_positions.csv
historical_market_data,3800,154,Supporting,outputs\bookmaker_comparison\supporting_tables\historical_market_data.csv
historical_strategy_bets,227,21,Supporting,outputs\bookmaker_comparison\supporting_tables\historical_strategy_bets.csv
kelly_analysis_data,180,26,Supporting,outputs\bookmaker_comparison\supporting_tables\kelly_analysis_data.csv
kelly_staking_bets,540,22,Supporting,outputs\bookmaker_comparison\supporting_tables\kelly_staking_bets.csv
kelly_staking_daily_performance,423,15,Supporting,outputs\bookmaker_comparison\supporting_tables\kelly_staking_daily_performance.csv
largest_expected_return_candidates,20,18,Supporting,outputs\bookmaker_comparison\supporting_tables\largest_expected_return_candidates.csv
market_benchmark_data,3800,17,Supporting,outputs\bookmaker_comparison\supporting_tables\market_benchmark_data.csv
market_coverage_summary,17,12,Supporting,outputs\bookmaker_comparison\supporting_tables\market_coverage_summary.csv
market_overall_metrics,8,1,Supporting,outputs\bookmaker_comparison\supporting_tables\market_overall_metrics.csv
market_season_summary,5,9,Supporting,outputs\bookmaker_comparison\supporting_tables\market_season_summary.csv
market_statistical_comparison,1,16,Supporting,outputs\bookmaker_comparison\supporting_tables\market_statistical_comparison.csv
model_market_edges,5700,17,Supporting,outputs\bookmaker_comparison\supporting_tables\model_market_edges.csv
observed_strategy,18,1,Supporting,outputs\bookmaker_comparison\supporting_tables\observed_strategy.csv
pinnacle_market_overround_summary,2,6,Supporting,outputs\bookmaker_comparison\supporting_tables\pinnacle_market_overround_summary.csv
pinnacle_outcome_prices,11400,9,Supporting,outputs\bookmaker_comparison\supporting_tables\pinnacle_outcome_prices.csv
pinnacle_paired_prices,3800,20,Supporting,outputs\bookmaker_comparison\supporting_tables\pinnacle_paired_prices.csv
pinnacle_price_coverage_by_season,10,6,Supporting,outputs\bookmaker_comparison\supporting_tables\pinnacle_price_coverage_by_season.csv
pinnacle_price_movement_summary,3,13,Supporting,outputs\bookmaker_comparison\supporting_tables\pinnacle_price_movement_summary.csv
pinnacle_price_movements,11400,15,Supporting,outputs\bookmaker_comparison\supporting_tables\pinnacle_price_movements.csv
pinnacle_price_pair_validation_summary,1,8,Supporting,outputs\bookmaker_comparison\supporting_tables\pinnacle_price_pair_validation_summary.csv
pinnacle_price_source,3800,157,Supporting,outputs\bookmaker_comparison\supporting_tables\pinnacle_price_source.csv
positive_return_strategy,18,1,Supporting,outputs\bookmaker_comparison\supporting_tables\positive_return_strategy.csv
preclosing_clv_by_outcome,2,12,Supporting,outputs\bookmaker_comparison\supporting_tables\preclosing_clv_by_outcome.csv
preclosing_clv_by_season,5,14,Supporting,outputs\bookmaker_comparison\supporting_tables\preclosing_clv_by_season.csv
preclosing_clv_summary,1,24,Supporting,outputs\bookmaker_comparison\supporting_tables\preclosing_clv_summary.csv
preclosing_highest_return_candidates,1900,24,Supporting,outputs\bookmaker_comparison\supporting_tables\preclosing_highest_return_candidates.csv
preclosing_model_market_data,5700,24,Supporting,outputs\bookmaker_comparison\supporting_tables\preclosing_model_market_data.csv
preclosing_selected_bets,215,31,Supporting,outputs\bookmaker_comparison\supporting_tables\preclosing_selected_bets.csv
primary_market_coverage,1,12,Supporting,outputs\bookmaker_comparison\supporting_tables\primary_market_coverage.csv
remaining_bets,143,26,Supporting,outputs\bookmaker_comparison\supporting_tables\remaining_bets.csv
same_period_hindsight_bets,180,21,Supporting,outputs\bookmaker_comparison\supporting_tables\same_period_hindsight_bets.csv
season_bets,37,25,Supporting,outputs\bookmaker_comparison\supporting_tables\season_bets.csv
season_daily_bets,27,4,Supporting,outputs\bookmaker_comparison\supporting_tables\season_daily_bets.csv
seasonal_roi_pivot,7,5,Supporting,outputs\bookmaker_comparison\supporting_tables\seasonal_roi_pivot.csv
