Season,Date,HomeTeam,AwayTeam,Fold,EvaluationSeason,Model,ActualOutcome,ModelPredictedOutcome,ModelProbability_H,ModelProbability_D,ModelProbability_A,MarketRecordedOutcome,MarketOdds_H,MarketOdds_D,MarketOdds_A,RawImpliedProbability_H,RawImpliedProbability_D,RawImpliedProbability_A,RawImpliedProbabilityTotal,MarketOverround,MarketProbability_H,MarketProbability_D,MarketProbability_A,MarketPredictedOutcome,ModelObservedOutcomeProbability,MarketObservedOutcomeProbability,ModelFixtureLogLoss,MarketFixtureLogLoss,ModelMinusMarketFixtureLoss
2020-21,2020-09-12,Crystal Palace,Southampton,1,2020-21,Independent Poisson,H,A,0.3537809833695609,0.2461180206514139,0.4001009959790252,H,3.09,3.27,2.54,0.3236245954692557,0.3058103975535168,0.39370078740157477,1.0231357804243473,0.023135780424347274,0.31630659552833923,0.2988952232974214,0.38479818117423936,A,0.3537809833695609,0.31630659552833923,1.0390772483630835,1.151043296759137,-0.11196604839605362
2020-21,2020-09-12,Fulham,Arsenal,1,2020-21,Independent Poisson,A,A,0.2030143687767847,0.2126931657926678,0.5842924654305472,A,5.48,3.98,1.69,0.18248175182481752,0.25125628140703515,0.591715976331361,1.0254540095632136,0.025454009563213642,0.17795215594558414,0.24501955140246257,0.5770282926519533,A,0.5842924654305472,0.5770282926519533,0.537353624540747,0.549863979617323,-0.012510355076576052
2020-21,2020-09-12,Liverpool,Leeds,1,2020-21,Independent Poisson,H,H,0.830040387255834,0.1098603704109345,0.0600992423332315,H,1.28,6.34,11.38,0.78125,0.15772870662460567,0.08787346221441124,1.0268521688390169,0.026852168839016866,0.7608203241984672,0.1536041033082079,0.08557557249332495,H,0.830040387255834,0.7608203241984672,0.18628092003094268,0.2733580538616305,-0.0870771338306878
2020-21,2020-09-12,West Ham,Newcastle,1,2020-21,Independent Poisson,A,H,0.3839570784061846,0.2488969350587638,0.3671459865350515,A,2.04,3.59,3.92,0.49019607843137253,0.2785515320334262,0.25510204081632654,1.0238496512811253,0.02384965128112526,0.47877740429759263,0.2720629261189663,0.24915966958344107,H,0.3671459865350515,0.24915966958344107,1.0019957265481838,1.3896613447190773,-0.3876656181708935
2020-21,2020-09-13,Tottenham,Everton,1,2020-21,Independent Poisson,A,H,0.5306869706563574,0.235549298792248,0.2337637305513945,A,2.09,3.5,3.88,0.47846889952153115,0.2857142857142857,0.2577319587628866,1.0219151439987035,0.021915143998703535,0.46820805262686094,0.2795870942828969,0.2522048530902421,H,0.2337637305513945,0.2522048530902421,1.4534443722116648,1.377513612614091,0.07593075959757378
2020-21,2020-09-13,West Brom,Leicester,1,2020-21,Independent Poisson,A,A,0.2652824672511168,0.2508377541740961,0.483879778574787,A,3.38,3.38,2.32,0.2958579881656805,0.2958579881656805,0.4310344827586207,1.0227504590899816,0.022750459089981634,0.2892768079800499,0.2892768079800499,0.42144638403990026,A,0.483879778574787,0.42144638403990026,0.7259187944941592,0.8640627123834957,-0.13814391788933655
2020-21,2020-09-14,Brighton,Chelsea,1,2020-21,Independent Poisson,A,A,0.2831729628918444,0.260498095387268,0.4563289417208874,A,6.07,4.46,1.57,0.16474464579901152,0.2242152466367713,0.6369426751592356,1.0259025675950184,0.02590256759501841,0.16058507991184356,0.2185541334226212,0.6208607866655353,A,0.4563289417208874,0.6208607866655353,0.7845413661022899,0.4766483982418075,0.30789296786048237
2020-21,2020-09-14,Sheffield United,Wolves,1,2020-21,Independent Poisson,A,A,0.3716943825373646,0.2507091284809677,0.3775964889816675,A,3.28,2.9,2.68,0.3048780487804878,0.3448275862068966,0.3731343283582089,1.0228399633455934,0.02283996334559335,0.29807013775964164,0.3371276040867671,0.36480225815359124,A,0.3775964889816675,0.36480225815359124,0.9739291430017231,1.0083998306871083,-0.03447068768538519
2020-21,2020-09-19,Arsenal,West Ham,1,2020-21,Independent Poisson,H,H,0.683111149938293,0.202690469299741,0.1141983807619661,H,1.53,4.53,6.81,0.6535947712418301,0.22075055187637968,0.14684287812041116,1.0211882012386209,0.021188201238620863,0.6400336103071609,0.21617029222294837,0.14379609746989078,H,0.683111149938293,0.6400336103071609,0.3810976948211212,0.446234587902403,-0.06513689308128179
2020-21,2020-09-19,Everton,West Brom,1,2020-21,Independent Poisson,H,H,0.5557110268012864,0.2646979352467039,0.1795910379520096,H,1.61,4.12,6.41,0.6211180124223602,0.24271844660194175,0.15600624024961,1.019842699273912,0.019842699273912023,0.6090331507639088,0.23799596425482847,0.1529708849812626,H,0.5557110268012864,0.6090331507639088,0.587506855810019,0.4958825780018545,0.09162427780816457
2020-21,2020-09-19,Leeds,Fulham,1,2020-21,Independent Poisson,H,H,0.5088424045222708,0.2660093279067555,0.2251482675709737,H,1.75,3.91,5.12,0.5714285714285714,0.2557544757033248,0.1953125,1.0224955471318962,0.022495547131896165,0.5588567823414299,0.2501277158817142,0.19101550177685594,H,0.5088424045222708,0.5588567823414299,0.6756169282075505,0.5818620419775289,0.0937548862300216
2020-21,2020-09-19,Man United,Crystal Palace,1,2020-21,Independent Poisson,A,H,0.6135603242889137,0.2228032662217711,0.163636409489315,A,1.38,5.18,9.33,0.7246376811594204,0.19305019305019305,0.10718113612004287,1.0248690103296565,0.024869010329656493,0.7070539491933077,0.18836572391636378,0.10458032689032844,H,0.163636409489315,0.10458032689032844,1.8101083276838104,2.2577998244828374,-0.4476914967990271
