Season,Date,HomeTeam,AwayTeam,ActualOutcome,ModelProbability,MarketProbability,DecimalOdds,Outcome,OutcomeOccurred,ProbabilityEdge,AbsoluteProbabilityEdge,BreakEvenProbability,ModelMinusBreakEvenProbability,ModelExpectedReturn,PositiveModelExpectedReturn,RealisedUnitReturn,CandidatePositiveExpectedReturn,StrategyNumber,Strategy,MinimumExpectedReturn,SelectionFold,SelectionTrainingStart,SelectionTrainingEnd,SelectedHistoricalROI,OddsBand
2023-24,2023-12-28,Arsenal,West Ham,A,0.1424499684279321,0.0896468147600415,10.81,A,1,0.052803153667890596,0.052803153667890596,0.09250693802035152,0.049943030407580566,0.539884158705946,True,9.81,True,7,Expected return >= 50%,0.5,3,2020-21,2022-23,0.011944444444444436,8.00 to 11.99
2024-25,2024-11-10,Tottenham,Ipswich,A,0.143267942784956,0.09052537045352492,10.66,A,1,0.05274257233143108,0.05274257233143108,0.09380863039399624,0.049459312390959756,0.527236270087631,True,9.66,True,7,Expected return >= 50%,0.5,4,2020-21,2023-24,0.042951541850220265,8.00 to 11.99
2024-25,2025-05-25,Newcastle,Everton,A,0.2224232481897849,0.092872782854544,10.36,A,1,0.1295504653352409,0.1295504653352409,0.09652509652509653,0.12589815166468837,1.3043048512461715,True,9.36,True,7,Expected return >= 50%,0.5,4,2020-21,2023-24,0.042951541850220265,8.00 to 11.99
2023-24,2023-09-02,Chelsea,Nott'm Forest,A,0.2294758676697116,0.11521355142701968,8.45,A,1,0.11426231624269191,0.11426231624269191,0.1183431952662722,0.1111326724034394,0.9390710818090628,True,7.449999999999999,True,7,Expected return >= 50%,0.5,3,2020-21,2022-23,0.011944444444444436,8.00 to 11.99
2021-22,2021-12-28,Leicester,Liverpool,H,0.3190810435649298,0.11702075074392257,8.27,H,1,0.2020602928210072,0.2020602928210072,0.12091898428053205,0.19816205928439773,1.6388002302819693,True,7.27,True,7,Expected return >= 50%,0.5,1,2020-21,2020-21,0.12523809523809523,8.00 to 11.99
2024-25,2024-12-30,Ipswich,Chelsea,H,0.2296073440825248,0.12783177117559577,7.55,H,1,0.10177557290692904,0.10177557290692904,0.13245033112582782,0.09715701295669699,0.7335354478230622,True,6.55,True,7,Expected return >= 50%,0.5,4,2020-21,2023-24,0.042951541850220265,5.00 to 7.99
2021-22,2021-11-20,Watford,Man United,H,0.2297892920135382,0.14798372179060304,6.58,H,1,0.08180557022293516,0.08180557022293516,0.1519756838905775,0.0778136081229607,0.5120135414490814,True,5.58,True,7,Expected return >= 50%,0.5,1,2020-21,2020-21,0.12523809523809523,5.00 to 7.99
2021-22,2022-02-09,Tottenham,Southampton,A,0.253200702297493,0.15188396471998242,6.41,A,1,0.10131673757751056,0.10131673757751056,0.15600624024961,0.09719446204788298,0.62301650172693,True,5.41,True,7,Expected return >= 50%,0.5,1,2020-21,2020-21,0.12523809523809523,5.00 to 7.99
2022-23,2022-08-21,Leeds,Chelsea,H,0.2476715058637641,0.15904764226525156,6.14,H,1,0.08862386359851254,0.08862386359851254,0.16286644951140067,0.08480505635236343,0.5207030460035116,True,5.14,True,7,Expected return >= 50%,0.5,2,2020-21,2021-22,0.09551724137931035,5.00 to 7.99
2022-23,2023-04-01,Chelsea,Aston Villa,A,0.2535825618596213,0.1613045277148021,6.06,A,1,0.0922780341448192,0.0922780341448192,0.16501650165016502,0.08856606020945629,0.536710324869305,True,5.06,True,7,Expected return >= 50%,0.5,2,2020-21,2021-22,0.09551724137931035,5.00 to 7.99
