Season,Date,HomeTeam,AwayTeam,ActualOutcome,ModelProbability,MarketProbability,DecimalOdds,Outcome,OutcomeOccurred,ProbabilityEdge,AbsoluteProbabilityEdge,BreakEvenProbability,ModelMinusBreakEvenProbability,ModelExpectedReturn,PositiveModelExpectedReturn,RealisedUnitReturn
2020-21,2020-09-12,Crystal Palace,Southampton,H,0.4001009959790252,0.38479818117423936,2.54,A,0,0.015302814804785847,0.015302814804785847,0.39370078740157477,0.006400208577450439,0.016256529786724094,True,-1.0
2020-21,2020-09-12,Crystal Palace,Southampton,H,0.2461180206514139,0.2988952232974214,3.27,D,0,-0.05277720264600752,0.05277720264600752,0.3058103975535168,-0.05969237690210291,-0.19519407246987663,False,-1.0
2020-21,2020-09-12,Crystal Palace,Southampton,H,0.3537809833695609,0.31630659552833923,3.09,H,1,0.037474387841221646,0.037474387841221646,0.3236245954692557,0.03015638790030517,0.09318323861194311,True,2.09
2020-21,2020-09-12,Fulham,Arsenal,A,0.5842924654305472,0.5770282926519533,1.69,A,1,0.007264172778593925,0.007264172778593925,0.591715976331361,-0.0074235109008137234,-0.012545733422375194,False,0.69
2020-21,2020-09-12,Fulham,Arsenal,A,0.2126931657926678,0.24501955140246257,3.98,D,0,-0.032326385609794756,0.032326385609794756,0.25125628140703515,-0.038563115614367344,-0.15348120014518207,False,-1.0
2020-21,2020-09-12,Fulham,Arsenal,A,0.2030143687767847,0.17795215594558414,5.48,H,0,0.025062212831200553,0.025062212831200553,0.18248175182481752,0.020532616951967175,0.11251874089678027,True,-1.0
2020-21,2020-09-12,Liverpool,Leeds,H,0.0600992423332315,0.08557557249332495,11.38,A,0,-0.02547633016009345,0.02547633016009345,0.08787346221441124,-0.027774219881179736,-0.31607062224782545,False,-1.0
2020-21,2020-09-12,Liverpool,Leeds,H,0.1098603704109345,0.1536041033082079,6.34,D,0,-0.0437437328972734,0.0437437328972734,0.15772870662460567,-0.047868336213671175,-0.3034852515946753,False,-1.0
2020-21,2020-09-12,Liverpool,Leeds,H,0.830040387255834,0.7608203241984672,1.28,H,1,0.06922006305736672,0.06922006305736672,0.78125,0.048790387255833956,0.062451695687467446,True,0.28
2020-21,2020-09-12,West Ham,Newcastle,A,0.3671459865350515,0.24915966958344107,3.92,A,1,0.11798631695161041,0.11798631695161041,0.25510204081632654,0.11204394571872495,0.4392122672174017,True,2.92
2020-21,2020-09-12,West Ham,Newcastle,A,0.2488969350587638,0.2720629261189663,3.59,D,0,-0.023165991060202507,0.023165991060202507,0.2785515320334262,-0.029654596974662384,-0.10646000313903792,False,-1.0
2020-21,2020-09-12,West Ham,Newcastle,A,0.3839570784061846,0.47877740429759263,2.04,H,0,-0.09482032589140804,0.09482032589140804,0.49019607843137253,-0.10623900002518794,-0.21672756005138338,False,-1.0
2020-21,2020-09-13,Tottenham,Everton,A,0.2337637305513945,0.2522048530902421,3.88,A,1,-0.01844112253884761,0.01844112253884761,0.2577319587628866,-0.023968228211492137,-0.09299672546058946,False,2.88
2020-21,2020-09-13,Tottenham,Everton,A,0.235549298792248,0.2795870942828969,3.5,D,0,-0.0440377954906489,0.0440377954906489,0.2857142857142857,-0.05016498692203769,-0.175577454227132,False,-1.0
2020-21,2020-09-13,Tottenham,Everton,A,0.5306869706563574,0.46820805262686094,2.09,H,0,0.062478918029496455,0.062478918029496455,0.47846889952153115,0.05221807113482624,0.10913576867178687,True,-1.0
2020-21,2020-09-13,West Brom,Leicester,A,0.483879778574787,0.42144638403990026,2.32,A,1,0.06243339453488672,0.06243339453488672,0.4310344827586207,0.05284529581616626,0.12260108629350563,True,1.3199999999999998
2020-21,2020-09-13,West Brom,Leicester,A,0.2508377541740961,0.2892768079800499,3.38,D,0,-0.038439053805953804,0.038439053805953804,0.2958579881656805,-0.04502023399158439,-0.1521683908915552,False,-1.0
2020-21,2020-09-13,West Brom,Leicester,A,0.2652824672511168,0.2892768079800499,3.38,H,0,-0.023994340728933083,0.023994340728933083,0.2958579881656805,-0.03057552091456367,-0.10334526069122518,False,-1.0
2020-21,2020-09-14,Brighton,Chelsea,A,0.4563289417208874,0.6208607866655353,1.57,A,1,-0.16453184494464795,0.16453184494464795,0.6369426751592356,-0.18061373343834825,-0.2835635614982067,False,0.5700000000000001
2020-21,2020-09-14,Brighton,Chelsea,A,0.260498095387268,0.2185541334226212,4.46,D,0,0.04194396196464678,0.04194396196464678,0.2242152466367713,0.03628284875049667,0.16182150542721518,True,-1.0
2020-21,2020-09-14,Brighton,Chelsea,A,0.2831729628918444,0.16058507991184356,6.07,H,0,0.12258788298000084,0.12258788298000084,0.16474464579901152,0.11842831709283289,0.7188598847534957,True,-1.0
2020-21,2020-09-14,Sheffield United,Wolves,A,0.3775964889816675,0.36480225815359124,2.68,A,1,0.012794230828076236,0.012794230828076236,0.3731343283582089,0.004462160623458555,0.011958590470869002,True,1.6800000000000002
2020-21,2020-09-14,Sheffield United,Wolves,A,0.2507091284809677,0.3371276040867671,2.9,D,0,-0.0864184756057994,0.0864184756057994,0.3448275862068966,-0.09411845772592886,-0.2729435274051937,False,-1.0
2020-21,2020-09-14,Sheffield United,Wolves,A,0.3716943825373646,0.29807013775964164,3.28,H,0,0.07362424477772295,0.07362424477772295,0.3048780487804878,0.06681633375687679,0.21915757472255581,True,-1.0
2020-21,2020-09-19,Arsenal,West Ham,H,0.1141983807619661,0.14379609746989078,6.81,A,0,-0.029597716707924673,0.029597716707924673,0.14684287812041116,-0.03264449735844506,-0.22230902701101085,False,-1.0
