Quantile,ProbabilityEdge,AbsoluteProbabilityEdge,ModelExpectedReturn
0.0,-0.40182224421733365,2.7005247920930397e-06,-0.8621743198210059
0.05,-0.11759277141382928,0.003537866505494214,-0.38409444308264745
0.1,-0.08009586571571076,0.0069528873116297555,-0.28586196806296477
0.25,-0.03889579522518735,0.01707327242291553,-0.15709928578791876
0.5,-0.006621427327226051,0.0381290497670396,-0.0483655262611109
0.75,0.03699578357797591,0.07413269307309493,0.09008524199006185
0.9,0.09315511406351554,0.12645020704691798,0.30885521534769184
0.95,0.132709749784104,0.15916411375736209,0.4965229141126336
0.99,0.21014018632909945,0.2308381016654489,0.9171237592886432
1.0,0.43208918379067285,0.43208918379067285,2.8852207705323454
