StrategyNumber,Strategy,MinimumExpectedReturn,Season,Bets,WinningBets,TotalProfit,ROI,AverageOdds
1,Highest-return candidate: all fixtures,,2020-21,380,130,5.6000000000000085,0.01473684210526318,4.012736842105263
1,Highest-return candidate: all fixtures,,2021-22,380,131,-25.590000000000007,-0.06734210526315791,4.271421052631578
1,Highest-return candidate: all fixtures,,2022-23,380,142,-8.75,-0.023026315789473683,3.805
1,Highest-return candidate: all fixtures,,2023-24,380,132,-18.45000000000001,-0.048552631578947396,4.175078947368421
1,Highest-return candidate: all fixtures,,2024-25,380,131,-29.65,-0.07802631578947368,3.863184210526315
2,Expected return >= 0%,0.0,2020-21,375,128,2.9700000000000033,0.007920000000000009,4.0104533333333325
2,Expected return >= 0%,0.0,2021-22,368,124,-23.570000000000004,-0.06404891304347828,4.349347826086956
2,Expected return >= 0%,0.0,2022-23,369,138,-3.950000000000001,-0.010704607046070463,3.834932249322493
2,Expected return >= 0%,0.0,2023-24,362,123,-13.849999999999998,-0.038259668508287284,4.2169337016574575
2,Expected return >= 0%,0.0,2024-25,359,123,-28.949999999999996,-0.08064066852367686,3.945598885793872
3,Expected return >= 5%,0.05,2020-21,336,107,-3.659999999999993,-0.010892857142857123,4.165089285714285
3,Expected return >= 5%,0.05,2021-22,314,95,-21.829999999999995,-0.06952229299363055,4.632292993630573
3,Expected return >= 5%,0.05,2022-23,295,103,-9.2,-0.0311864406779661,4.081423728813559
3,Expected return >= 5%,0.05,2023-24,285,87,-15.250000000000004,-0.053508771929824575,4.536175438596491
3,Expected return >= 5%,0.05,2024-25,290,92,-16.629999999999995,-0.05734482758620688,4.142103448275862
4,Expected return >= 10%,0.1,2020-21,284,84,-2.6999999999999975,-0.009507042253521118,4.375352112676056
4,Expected return >= 10%,0.1,2021-22,245,68,-11.199999999999998,-0.04571428571428571,5.138734693877551
4,Expected return >= 10%,0.1,2022-23,230,79,1.9100000000000001,0.008304347826086958,4.437086956521738
4,Expected return >= 10%,0.1,2023-24,228,63,0.120000000000001,0.0005263157894736885,4.862807017543859
4,Expected return >= 10%,0.1,2024-25,217,63,1.5499999999999972,0.00714285714285713,4.5515207373271895
5,Expected return >= 20%,0.2,2020-21,207,58,2.910000000000002,0.014057971014492764,4.741159420289855
5,Expected return >= 20%,0.2,2021-22,166,32,-36.78,-0.22156626506024096,5.831927710843373
5,Expected return >= 20%,0.2,2022-23,136,37,2.7499999999999996,0.020220588235294115,5.320294117647059
5,Expected return >= 20%,0.2,2023-24,153,34,-13.24,-0.0865359477124183,5.228888888888889
5,Expected return >= 20%,0.2,2024-25,136,32,-6.409999999999998,-0.04713235294117646,5.298235294117648
6,Expected return >= 30%,0.3,2020-21,153,40,12.920000000000002,0.08444444444444446,5.264183006535948
6,Expected return >= 30%,0.3,2021-22,116,24,-9.44,-0.08137931034482758,6.464224137931035
6,Expected return >= 30%,0.3,2022-23,87,15,-18.519999999999996,-0.21287356321839077,6.139080459770114
6,Expected return >= 30%,0.3,2023-24,108,19,-20.71,-0.19175925925925927,6.014074074074074
6,Expected return >= 30%,0.3,2024-25,81,19,6.7500000000000036,0.08333333333333337,5.550123456790123
7,Expected return >= 50%,0.5,2020-21,84,19,10.52,0.12523809523809523,6.368571428571429
7,Expected return >= 50%,0.5,2021-22,61,12,3.330000000000001,0.05459016393442624,7.96606557377049
7,Expected return >= 50%,0.5,2022-23,35,5,-11.7,-0.33428571428571424,7.589999999999999
7,Expected return >= 50%,0.5,2023-24,47,10,7.599999999999998,0.16170212765957442,6.732553191489361
7,Expected return >= 50%,0.5,2024-25,37,9,12.370000000000001,0.33432432432432435,6.7910810810810815
