StrategyNumber,Strategy,Date,Season,HomeTeam,AwayTeam,Outcome,ActualOutcome,DecimalOdds,ModelProbability,FullKellyFraction,FractionalKellyBeforeCap,FractionalKellyAfterPerBetCap,DailyExposureScale,AppliedStakeFraction,OpeningBankroll,Stake,OutcomeOccurred,RealisedUnitReturn,RealisedProfit,PerBetCapBinding,DailyCapBinding
1,Flat stake,2021-08-14,2021-22,Chelsea,Crystal Palace,A,H,11.0,0.1751820271967661,0.09270022991644271,,,1.0,0.01,100.0,1.0,0,-1.0,-1.0,False,False
1,Flat stake,2021-08-15,2021-22,Tottenham,Man City,H,H,5.97,0.2526648406088871,0.10229559324649015,,,1.0,0.010101010101010102,99.0,1.0,1,4.97,4.97,False,False
1,Flat stake,2021-08-21,2021-22,Aston Villa,Newcastle,A,H,4.39,0.3619611347915697,0.17374908015781443,,,1.0,0.009618159084351255,103.97,1.0,0,-1.0,-1.0,False,False
1,Flat stake,2021-08-21,2021-22,Brighton,Watford,A,H,5.6,0.3267247748135137,0.18036059542514712,,,1.0,0.009618159084351255,103.97,1.0,0,-1.0,-1.0,False,False
1,Flat stake,2021-08-28,2021-22,Aston Villa,Brentford,A,D,4.07,0.398614510896681,0.20272347210081162,,,1.0,0.009806805923310779,101.97,1.0,0,-1.0,-1.0,False,False
1,Flat stake,2021-08-28,2021-22,Man City,Arsenal,A,H,10.5,0.1556587655706351,0.06678074089385984,,,1.0,0.009806805923310779,101.97,1.0,0,-1.0,-1.0,False,False
1,Flat stake,2021-08-29,2021-22,Tottenham,Watford,A,H,8.5,0.189484202222573,0.08141542918558274,,,1.0,0.01000300090027008,99.97,1.0,0,-1.0,-1.0,False,False
1,Flat stake,2021-09-11,2021-22,Chelsea,Aston Villa,A,H,10.33,0.1455867546050984,0.05400977224765985,,,1.0,0.01010407194099222,98.97,1.0,0,-1.0,-1.0,False,False
1,Flat stake,2021-09-11,2021-22,Man United,Newcastle,A,H,15.76,0.105276819306778,0.044658717633795475,,,1.0,0.01010407194099222,98.97,1.0,0,-1.0,-1.0,False,False
1,Flat stake,2021-09-18,2021-22,Aston Villa,Everton,A,H,3.65,0.5110155898837189,0.32649317097191466,,,1.0,0.010312467773538208,96.97,1.0,0,-1.0,-1.0,False,False
1,Flat stake,2021-09-18,2021-22,Man City,Southampton,A,D,16.74,0.0952313914933085,0.037749268970647024,,,1.0,0.010312467773538208,96.97,1.0,0,-1.0,-1.0,False,False
1,Flat stake,2021-09-18,2021-22,Norwich,Watford,A,A,3.31,0.5150806048764587,0.3051587888056616,,,1.0,0.010312467773538208,96.97,1.0,1,2.31,2.31,False,False
1,Flat stake,2021-09-18,2021-22,Wolves,Brentford,A,A,5.38,0.3688560494619245,0.22475925710163328,,,1.0,0.010312467773538208,96.97,1.0,1,4.38,4.38,False,False
1,Flat stake,2021-10-23,2021-22,Brighton,Man City,H,A,8.18,0.2108581915207847,0.1009498616490277,,,1.0,0.00983671060397403,101.66,1.0,0,-1.0,-1.0,False,False
1,Flat stake,2021-11-06,2021-22,Man United,Man City,H,A,4.79,0.3536990985258847,0.18317115618442947,,,1.0,0.009934432743890324,100.66,1.0,0,-1.0,-1.0,False,False
1,Flat stake,2021-11-07,2021-22,Everton,Tottenham,H,D,3.48,0.4709611043323484,0.2576389689824889,,,1.0,0.010034115994380895,99.66,1.0,0,-1.0,-1.0,False,False
1,Flat stake,2021-11-20,2021-22,Watford,Man United,H,H,6.58,0.2297892920135382,0.09175869918442318,,,1.0,0.010135819987837016,98.66,1.0,1,5.58,5.58,False,False
1,Flat stake,2021-11-21,2021-22,Tottenham,Leeds,A,H,6.01,0.3232289811918416,0.18814494550159044,,,1.0,0.009593246354566386,104.24,1.0,0,-1.0,-1.0,False,False
1,Flat stake,2021-11-28,2021-22,Man City,West Ham,A,H,11.0,0.1542201831501845,0.06964220146520295,,,1.0,0.009686168151879117,103.24,1.0,0,-1.0,-1.0,False,False
1,Flat stake,2021-12-01,2021-22,Southampton,Leicester,A,D,3.02,0.5510443647198479,0.3287890997296735,,,1.0,0.009780907668231613,102.24,1.0,0,-1.0,-1.0,False,False
1,Flat stake,2021-12-01,2021-22,Wolves,Burnley,A,D,4.94,0.3037997399825943,0.12709916637411572,,,1.0,0.009780907668231613,102.24,1.0,0,-1.0,-1.0,False,False
1,Flat stake,2021-12-02,2021-22,Tottenham,Brentford,A,H,5.44,0.3055417308689658,0.14913221079440855,,,1.0,0.009976057462090982,100.24,1.0,0,-1.0,-1.0,False,False
1,Flat stake,2021-12-04,2021-22,West Ham,Chelsea,H,H,4.92,0.3366063049850156,0.1673732195220094,,,1.0,0.01007658202337767,99.24,1.0,1,3.92,3.92,False,False
1,Flat stake,2021-12-05,2021-22,Leeds,Brentford,A,D,4.94,0.4574312777617197,0.31972348023931363,,,1.0,0.009693679720822024,103.16,1.0,0,-1.0,-1.0,False,False
1,Flat stake,2021-12-11,2021-22,Man City,Wolves,A,H,21.0,0.0841119291165897,0.03831752557241919,,,1.0,0.009788566953797965,102.16,1.0,0,-1.0,-1.0,False,False
1,Flat stake,2021-12-14,2021-22,Man City,Leeds,A,H,20.0,0.0814212961645803,0.033075048594295046,,,1.0,0.009885330170027679,101.16,1.0,0,-1.0,-1.0,False,False
1,Flat stake,2021-12-19,2021-22,Newcastle,Man City,H,A,23.5,0.1014206413761399,0.06148378099285722,,,1.0,0.009984025559105431,100.16,1.0,0,-1.0,-1.0,False,False
1,Flat stake,2021-12-26,2021-22,Brighton,Brentford,A,H,4.42,0.3583706409765432,0.17075971728547396,,,1.0,0.01008471157724889,99.16,1.0,0,-1.0,-1.0,False,False
1,Flat stake,2021-12-26,2021-22,Man City,Leicester,A,H,21.0,0.1354431439034373,0.09221530109860918,,,1.0,0.01008471157724889,99.16,1.0,0,-1.0,-1.0,False,False
1,Flat stake,2021-12-28,2021-22,Leicester,Liverpool,H,H,8.27,0.3190810435649298,0.22541956400027088,,,1.0,0.01029230135858378,97.16,1.0,1,7.27,7.27,False,False
1,Flat stake,2022-01-23,2021-22,Arsenal,Burnley,A,D,11.9,0.1832145109701244,0.10828006243527341,,,1.0,0.009575792396820838,104.42999999999999,1.0,0,-1.0,-1.0,False,False
1,Flat stake,2022-02-08,2021-22,Burnley,Man United,H,D,6.65,0.2895020157825475,0.16375016016883906,,,1.0,0.009668374746205164,103.42999999999999,1.0,0,-1.0,-1.0,False,False
1,Flat stake,2022-02-09,2021-22,Tottenham,Southampton,A,A,6.41,0.253200702297493,0.11516016667780592,,,1.0,0.009762764814995608,102.42999999999999,1.0,1,5.41,5.41,False,False
1,Flat stake,2022-02-10,2021-22,Liverpool,Leicester,A,H,14.0,0.1088716504268672,0.040323315844318516,,,1.0,0.00927299703264095,107.83999999999999,1.0,0,-1.0,-1.0,False,False
1,Flat stake,2022-02-12,2021-22,Man United,Southampton,A,D,6.26,0.3094982725952319,0.17822417993272843,,,1.0,0.00935979034069637,106.83999999999999,1.0,0,-1.0,-1.0,False,False
1,Flat stake,2022-02-13,2021-22,Burnley,Liverpool,H,A,13.5,0.1217349542942724,0.051473750637814196,,,1.0,0.00944822373393802,105.83999999999999,1.0,0,-1.0,-1.0,False,False
1,Flat stake,2022-02-13,2021-22,Leicester,West Ham,H,D,3.02,0.5032420637428459,0.25732229331851214,,,1.0,0.00944822373393802,105.83999999999999,1.0,0,-1.0,-1.0,False,False
1,Flat stake,2022-02-13,2021-22,Tottenham,Wolves,A,A,5.9,0.2984940581225204,0.15532958018834087,,,1.0,0.00944822373393802,105.83999999999999,1.0,1,4.9,4.9,False,False
1,Flat stake,2022-02-19,2021-22,Crystal Palace,Chelsea,H,A,6.49,0.259349975190943,0.1244410453532277,,,1.0,0.009196247930844215,108.74,1.0,0,-1.0,-1.0,False,False
1,Flat stake,2022-02-23,2021-22,Burnley,Tottenham,H,H,4.71,0.3780089944577121,0.21035643231693366,,,1.0,0.009281603861147207,107.74,1.0,1,3.71,3.71,False,False
1,Flat stake,2022-02-23,2021-22,Liverpool,Leeds,A,H,16.0,0.1164400994474265,0.057536106077254935,,,1.0,0.009281603861147207,107.74,1.0,0,-1.0,-1.0,False,False
1,Flat stake,2022-02-26,2021-22,Everton,Man City,H,A,12.5,0.145066023228205,0.07072393829152718,,,1.0,0.009053870529651427,110.44999999999999,1.0,0,-1.0,-1.0,False,False
1,Flat stake,2022-03-06,2021-22,Watford,Arsenal,H,A,6.84,0.2854252388424826,0.16306654686345565,,,1.0,0.009136592051164917,109.44999999999999,1.0,0,-1.0,-1.0,False,False
1,Flat stake,2022-03-10,2021-22,Southampton,Newcastle,A,A,4.41,0.360141055945855,0.17249913686839313,,,1.0,0.009220839096357769,108.44999999999999,1.0,1,3.41,3.41,False,False
1,Flat stake,2022-03-13,2021-22,Arsenal,Leicester,A,H,7.92,0.218590327129024,0.10566985417079047,,,1.0,0.008939746111210442,111.85999999999999,1.0,0,-1.0,-1.0,False,False
1,Flat stake,2022-03-14,2021-22,Crystal Palace,Man City,H,D,9.88,0.1596832261959826,0.06505295887571039,,,1.0,0.009020386072523905,110.85999999999999,1.0,0,-1.0,-1.0,False,False
1,Flat stake,2022-04-02,2021-22,Burnley,Man City,H,A,16.5,0.1214281834158371,0.06474613073298789,,,1.0,0.009102494083378846,109.85999999999999,1.0,0,-1.0,-1.0,False,False
1,Flat stake,2022-04-04,2021-22,Crystal Palace,Arsenal,H,H,4.15,0.4224182729213933,0.23905899448374038,,,1.0,0.009186110600771635,108.85999999999999,1.0,1,3.1500000000000004,3.1500000000000004,False,False
1,Flat stake,2022-04-08,2021-22,Newcastle,Wolves,A,H,4.47,0.4411852468787445,0.2801435312818409,,,1.0,0.008927774305865548,112.00999999999999,1.0,0,-1.0,-1.0,False,False
1,Flat stake,2022-04-17,2021-22,Newcastle,Leicester,A,H,3.9,0.518143802165978,0.3519864925680393,,,1.0,0.009008197459688318,111.00999999999999,1.0,0,-1.0,-1.0,False,False
1,Flat stake,2022-04-20,2021-22,Chelsea,Arsenal,H,A,1.96,0.7746416112192459,0.539893289572627,,,1.0,0.00909008271975275,110.00999999999999,1.0,0,-1.0,-1.0,False,False
1,Flat stake,2022-04-20,2021-22,Everton,Leicester,A,D,2.9,0.5209322733825891,0.2687913646365833,,,1.0,0.00909008271975275,110.00999999999999,1.0,0,-1.0,-1.0,False,False
1,Flat stake,2022-04-20,2021-22,Newcastle,Crystal Palace,A,H,3.54,0.4507265393274752,0.23447714536191422,,,1.0,0.00909008271975275,110.00999999999999,1.0,0,-1.0,-1.0,False,False
1,Flat stake,2022-04-23,2021-22,Leicester,Aston Villa,H,D,3.05,0.6161053496597131,0.42883966656689015,,,1.0,0.009344921035417252,107.00999999999999,1.0,0,-1.0,-1.0,False,False
1,Flat stake,2022-05-01,2021-22,Tottenham,Leicester,A,H,9.05,0.1914356972534344,0.09099292672591074,,,1.0,0.009433072351664937,106.00999999999999,1.0,0,-1.0,-1.0,False,False
1,Flat stake,2022-05-01,2021-22,West Ham,Arsenal,H,A,4.57,0.362492131501648,0.18391849886905642,,,1.0,0.009433072351664937,106.00999999999999,1.0,0,-1.0,-1.0,False,False
1,Flat stake,2022-05-11,2021-22,Leeds,Chelsea,H,A,4.95,0.3226180895485395,0.1511289982950052,,,1.0,0.009614460148062687,104.00999999999999,1.0,0,-1.0,-1.0,False,False
1,Flat stake,2022-05-11,2021-22,Watford,Everton,H,D,6.01,0.282742903074772,0.1395778138681397,,,1.0,0.009614460148062687,104.00999999999999,1.0,0,-1.0,-1.0,False,False
1,Flat stake,2022-05-15,2021-22,Everton,Brentford,A,A,4.32,0.4186329524356083,0.2435223959403096,,,1.0,0.00980296049406921,102.00999999999999,1.0,1,3.3200000000000003,3.3200000000000003,False,False
