StrategyNumber,Strategy,Date,OpeningBankroll,Bets,WinningBets,DailyStaked,DailyExposureFraction,DailyProfit,ClosingBankroll,DailyExposureScale,DailyCapBinding,RunningBankrollPeak,DrawdownUnits,DrawdownPercentage
1,Flat stake,2021-08-14,100.0,1,0,1.0,0.01,-1.0,99.0,1.0,False,100.0,1.0,0.01
1,Flat stake,2021-08-15,99.0,1,1,1.0,0.010101010101010102,4.97,103.97,1.0,False,103.97,0.0,0.0
1,Flat stake,2021-08-21,103.97,2,0,2.0,0.01923631816870251,-2.0,101.97,1.0,False,103.97,2.0,0.01923631816870251
1,Flat stake,2021-08-28,101.97,2,0,2.0,0.019613611846621557,-2.0,99.97,1.0,False,103.97,4.0,0.03847263633740502
1,Flat stake,2021-08-29,99.97,1,0,1.0,0.01000300090027008,-1.0,98.97,1.0,False,103.97,5.0,0.048090795421756274
1,Flat stake,2021-09-11,98.97,2,0,2.0,0.02020814388198444,-2.0,96.97,1.0,False,103.97,7.0,0.06732711359045879
1,Flat stake,2021-09-18,96.97,4,2,4.0,0.04124987109415283,4.6899999999999995,101.66,1.0,False,103.97,2.3100000000000023,0.02221794748485142
1,Flat stake,2021-10-23,101.66,1,0,1.0,0.00983671060397403,-1.0,100.66,1.0,False,103.97,3.3100000000000023,0.031836106569202674
1,Flat stake,2021-11-06,100.66,1,0,1.0,0.009934432743890324,-1.0,99.66,1.0,False,103.97,4.310000000000002,0.04145426565355393
1,Flat stake,2021-11-07,99.66,1,0,1.0,0.010034115994380895,-1.0,98.66,1.0,False,103.97,5.310000000000002,0.05107242473790519
1,Flat stake,2021-11-20,98.66,1,1,1.0,0.010135819987837016,5.58,104.24,1.0,False,104.24,0.0,0.0
1,Flat stake,2021-11-21,104.24,1,0,1.0,0.009593246354566386,-1.0,103.24,1.0,False,104.24,1.0,0.009593246354566386
1,Flat stake,2021-11-28,103.24,1,0,1.0,0.009686168151879117,-1.0,102.24,1.0,False,104.24,2.0,0.019186492709132773
1,Flat stake,2021-12-01,102.24,2,0,2.0,0.019561815336463225,-2.0,100.24,1.0,False,104.24,4.0,0.038372985418265546
1,Flat stake,2021-12-02,100.24,1,0,1.0,0.009976057462090982,-1.0,99.24,1.0,False,104.24,5.0,0.04796623177283193
1,Flat stake,2021-12-04,99.24,1,1,1.0,0.01007658202337767,3.92,103.16,1.0,False,104.24,1.0799999999999983,0.01036070606293168
1,Flat stake,2021-12-05,103.16,1,0,1.0,0.009693679720822024,-1.0,102.16,1.0,False,104.24,2.0799999999999983,0.019953952417498064
1,Flat stake,2021-12-11,102.16,1,0,1.0,0.009788566953797965,-1.0,101.16,1.0,False,104.24,3.0799999999999983,0.02954719877206445
1,Flat stake,2021-12-14,101.16,1,0,1.0,0.009885330170027679,-1.0,100.16,1.0,False,104.24,4.079999999999998,0.03914044512663084
1,Flat stake,2021-12-19,100.16,1,0,1.0,0.009984025559105431,-1.0,99.16,1.0,False,104.24,5.079999999999998,0.048733691481197224
1,Flat stake,2021-12-26,99.16,2,0,2.0,0.02016942315449778,-2.0,97.16,1.0,False,104.24,7.079999999999998,0.06792018419033
1,Flat stake,2021-12-28,97.16,1,1,1.0,0.01029230135858378,7.27,104.42999999999999,1.0,False,104.42999999999999,0.0,0.0
1,Flat stake,2022-01-23,104.42999999999999,1,0,1.0,0.009575792396820838,-1.0,103.42999999999999,1.0,False,104.42999999999999,1.0,0.009575792396820838
1,Flat stake,2022-02-08,103.42999999999999,1,0,1.0,0.009668374746205164,-1.0,102.42999999999999,1.0,False,104.42999999999999,2.0,0.019151584793641676
1,Flat stake,2022-02-09,102.42999999999999,1,1,1.0,0.009762764814995608,5.41,107.83999999999999,1.0,False,107.83999999999999,0.0,0.0
1,Flat stake,2022-02-10,107.83999999999999,1,0,1.0,0.00927299703264095,-1.0,106.83999999999999,1.0,False,107.83999999999999,1.0,0.00927299703264095
1,Flat stake,2022-02-12,106.83999999999999,1,0,1.0,0.00935979034069637,-1.0,105.83999999999999,1.0,False,107.83999999999999,2.0,0.0185459940652819
1,Flat stake,2022-02-13,105.83999999999999,3,1,3.0,0.02834467120181406,2.9000000000000004,108.74,1.0,False,108.74,0.0,0.0
1,Flat stake,2022-02-19,108.74,1,0,1.0,0.009196247930844215,-1.0,107.74,1.0,False,108.74,1.0,0.009196247930844215
1,Flat stake,2022-02-23,107.74,2,1,2.0,0.018563207722294413,2.71,110.44999999999999,1.0,False,110.44999999999999,0.0,0.0
1,Flat stake,2022-02-26,110.44999999999999,1,0,1.0,0.009053870529651427,-1.0,109.44999999999999,1.0,False,110.44999999999999,1.0,0.009053870529651427
1,Flat stake,2022-03-06,109.44999999999999,1,0,1.0,0.009136592051164917,-1.0,108.44999999999999,1.0,False,110.44999999999999,2.0,0.018107741059302854
1,Flat stake,2022-03-10,108.44999999999999,1,1,1.0,0.009220839096357769,3.41,111.85999999999999,1.0,False,111.85999999999999,0.0,0.0
1,Flat stake,2022-03-13,111.85999999999999,1,0,1.0,0.008939746111210442,-1.0,110.85999999999999,1.0,False,111.85999999999999,1.0,0.008939746111210442
1,Flat stake,2022-03-14,110.85999999999999,1,0,1.0,0.009020386072523905,-1.0,109.85999999999999,1.0,False,111.85999999999999,2.0,0.017879492222420884
1,Flat stake,2022-04-02,109.85999999999999,1,0,1.0,0.009102494083378846,-1.0,108.85999999999999,1.0,False,111.85999999999999,3.0,0.02681923833363133
1,Flat stake,2022-04-04,108.85999999999999,1,1,1.0,0.009186110600771635,3.1500000000000004,112.00999999999999,1.0,False,112.00999999999999,0.0,0.0
1,Flat stake,2022-04-08,112.00999999999999,1,0,1.0,0.008927774305865548,-1.0,111.00999999999999,1.0,False,112.00999999999999,1.0,0.008927774305865548
1,Flat stake,2022-04-17,111.00999999999999,1,0,1.0,0.009008197459688318,-1.0,110.00999999999999,1.0,False,112.00999999999999,2.0,0.017855548611731095
1,Flat stake,2022-04-20,110.00999999999999,3,0,3.0,0.027270248159258253,-3.0,107.00999999999999,1.0,False,112.00999999999999,5.0,0.044638871529327745
1,Flat stake,2022-04-23,107.00999999999999,1,0,1.0,0.009344921035417252,-1.0,106.00999999999999,1.0,False,112.00999999999999,6.0,0.05356664583519329
1,Flat stake,2022-05-01,106.00999999999999,2,0,2.0,0.018866144703329875,-2.0,104.00999999999999,1.0,False,112.00999999999999,8.0,0.07142219444692438
1,Flat stake,2022-05-11,104.00999999999999,2,0,2.0,0.019228920296125374,-2.0,102.00999999999999,1.0,False,112.00999999999999,10.0,0.08927774305865549
1,Flat stake,2022-05-15,102.00999999999999,1,1,1.0,0.00980296049406921,3.3200000000000003,105.32999999999998,1.0,False,112.00999999999999,6.680000000000007,0.05963753236318192
1,Flat stake,2022-05-19,105.32999999999998,1,0,1.0,0.00949397132820659,-1.0,104.32999999999998,1.0,False,112.00999999999999,7.680000000000007,0.06856530666904748
1,Flat stake,2022-05-22,104.32999999999998,1,0,1.0,0.009584970765839166,-1.0,103.32999999999998,1.0,False,112.00999999999999,8.680000000000007,0.07749308097491302
1,Flat stake,2022-08-06,103.32999999999998,2,0,2.0,0.01935546307945418,-2.0,101.32999999999998,1.0,False,112.00999999999999,10.680000000000007,0.09534862958664411
1,Flat stake,2022-08-13,101.32999999999998,2,0,2.0,0.01973749136484753,-2.0,99.32999999999998,1.0,False,112.00999999999999,12.680000000000007,0.11320417819837522
1,Flat stake,2022-08-14,99.32999999999998,1,1,1.0,0.010067451927917045,3.0300000000000002,102.35999999999999,1.0,False,112.00999999999999,9.650000000000006,0.08615302205160259
1,Flat stake,2022-08-20,102.35999999999999,2,0,2.0,0.019538882375928098,-2.0,100.35999999999999,1.0,False,112.00999999999999,11.650000000000006,0.10400857066333369
1,Flat stake,2022-08-21,100.35999999999999,1,1,1.0,0.009964129135113593,5.14,105.49999999999999,1.0,False,112.00999999999999,6.510000000000005,0.058119810731184766
1,Flat stake,2022-08-27,105.49999999999999,2,0,2.0,0.018957345971563982,-2.0,103.49999999999999,1.0,False,112.00999999999999,8.510000000000005,0.07597535934291587
1,Flat stake,2022-08-28,103.49999999999999,1,0,1.0,0.009661835748792272,-1.0,102.49999999999999,1.0,False,112.00999999999999,9.510000000000005,0.08490313364878141
