Season,Date,HomeTeam,AwayTeam,ActualOutcome,ModelProbability,MarketProbability,DecimalOdds,Outcome,OutcomeOccurred,ProbabilityEdge,AbsoluteProbabilityEdge,BreakEvenProbability,ModelMinusBreakEvenProbability,ModelExpectedReturn,PositiveModelExpectedReturn,RealisedUnitReturn,CandidatePositiveExpectedReturn
2022-23,2022-10-18,Brighton,Nott'm Forest,D,0.4554772298396654,0.11456355711943703,8.53,A,0,0.3409136727202283,0.3409136727202283,0.1172332942555686,0.33824393558409677,2.8852207705323454,True,-1.0,True
2020-21,2021-02-17,Everton,Man City,A,0.2751256094757734,0.08046326324159377,12.07,H,0,0.19466234623417966,0.19466234623417966,0.08285004142502071,0.1922755680507527,2.3207661063725853,True,-1.0,True
2023-24,2023-08-25,Chelsea,Luton,H,0.2644640415203204,0.07786633966891478,12.5,A,0,0.18659770185140562,0.18659770185140562,0.08,0.18446404152032037,2.3058005190040047,True,-1.0,True
2020-21,2020-12-26,Man City,Newcastle,H,0.1348178174238078,0.043836042679565694,22.04,A,0,0.0909817747442421,0.0909817747442421,0.045372050816696916,0.08944576660711089,1.9713846960207237,True,-1.0,True
2021-22,2021-12-26,Man City,Leicester,H,0.1354431439034373,0.04633046330463304,21.0,A,0,0.08911268059880427,0.08911268059880427,0.047619047619047616,0.0878240962843897,1.8443060219721836,True,-1.0,True
2022-23,2022-08-13,Man City,Bournemouth,H,0.0772782383780834,0.02702702702702703,36.0,A,0,0.05025121135105637,0.05025121135105637,0.027777777777777776,0.04950046060030562,1.7820165816110025,True,-1.0,True
2020-21,2021-05-11,Man United,Leicester,A,0.6800866389428053,0.24799745515213248,3.94,H,0,0.43208918379067285,0.43208918379067285,0.25380710659898476,0.42627953234382054,1.679541357434653,True,-1.0,True
2021-22,2021-12-28,Leicester,Liverpool,H,0.3190810435649298,0.11702075074392257,8.27,H,1,0.2020602928210072,0.2020602928210072,0.12091898428053205,0.19816205928439773,1.6388002302819693,True,7.27,True
2020-21,2021-03-06,Burnley,Arsenal,D,0.4927316868472835,0.18831993228946256,5.18,H,0,0.304411754557821,0.304411754557821,0.19305019305019305,0.29968149379709047,1.5523501378689284,True,-1.0,True
2020-21,2020-10-31,Sheffield United,Man City,A,0.2348184032955592,0.09193100366026827,10.63,H,0,0.14288739963529093,0.14288739963529093,0.09407337723424271,0.1407450260613165,1.4961196270317942,True,-1.0,True
2023-24,2024-04-20,Wolves,Arsenal,A,0.2077545938558803,0.08260571564800191,11.75,H,0,0.1251488782078784,0.1251488782078784,0.0851063829787234,0.1226482108771569,1.4411164778065935,True,-1.0,True
2020-21,2021-01-16,Fulham,Chelsea,A,0.3815198542833826,0.15516554777686928,6.29,H,0,0.2263543065065133,0.2263543065065133,0.1589825119236884,0.2225373423596942,1.3997598834424765,True,-1.0,True
2020-21,2021-03-15,Wolves,Liverpool,A,0.4024293822175702,0.16464821729446594,5.93,H,0,0.23778116492310425,0.23778116492310425,0.16863406408094436,0.23379531813662582,1.386406236550191,True,-1.0,True
2021-22,2021-12-19,Newcastle,Man City,A,0.1014206413761399,0.04141393780579428,23.5,H,0,0.06000670357034562,0.06000670357034562,0.0425531914893617,0.0588674498867782,1.3833850723392875,True,-1.0,True
2023-24,2024-02-04,Chelsea,Wolves,A,0.3958759779018691,0.1610485707057931,6.02,A,1,0.23482740719607603,0.23482740719607603,0.16611295681063123,0.2297630210912379,1.383173386969252,True,5.02,True
2024-25,2025-05-16,Aston Villa,Tottenham,H,0.2162648766589268,0.08848314606741574,11.0,A,0,0.12778173059151104,0.12778173059151104,0.09090909090909091,0.12535578574983589,1.378913643248195,True,-1.0,True
2023-24,2024-05-12,Man United,Arsenal,A,0.2428390146346724,0.09880374393112769,9.75,H,0,0.14403527070354472,0.14403527070354472,0.10256410256410256,0.14027491207056983,1.3676803926880559,True,-1.0,True
2020-21,2020-11-21,Tottenham,Man City,H,0.549992848327716,0.22742426006010846,4.3,H,1,0.32256858826760754,0.32256858826760754,0.23255813953488372,0.3174347087928323,1.3649692478091788,True,3.3,True
2023-24,2023-08-12,Brighton,Luton,H,0.2070253217509221,0.08524389471684574,11.36,A,0,0.12178142703407635,0.12178142703407635,0.08802816901408451,0.11899715273683757,1.3518076550904747,True,-1.0,True
2020-21,2021-02-04,Tottenham,Chelsea,A,0.5706460896943166,0.23751990664241854,4.11,H,0,0.3331261830518981,0.3331261830518981,0.24330900243309,0.3273370872612266,1.3453554286436415,True,-1.0,True
