Market,HomeOddsColumn,DrawOddsColumn,AwayOddsColumn,ExplicitClosingOdds,SeasonsPresent,TotalCompleteRows,TotalValidOddsRows,MinimumSeasonCoverage,MaximumSeasonCoverage,CompleteAcrossAllSeasons,CompleteForAllFixtures
Bet365,B365H,B365D,B365A,False,10,3800,3800,380,380,True,True
Pinnacle,PSH,PSD,PSA,False,10,3800,3800,380,380,True,True
PinnacleClosing,PSCH,PSCD,PSCA,True,10,3800,3800,380,380,True,True
WilliamHill,WHH,WHD,WHA,False,10,3709,3709,289,380,True,False
Betway,BWH,BWD,BWA,False,10,3656,3656,239,380,True,False
VCBet,VCH,VCD,VCA,False,9,3420,3420,0,380,False,False
Interwetten,IWH,IWD,IWA,False,9,3238,3238,0,380,False,False
Bet365Closing,B365CH,B365CD,B365CA,True,6,2280,2280,0,380,False,False
MarketAverage,AvgH,AvgD,AvgA,False,6,2280,2280,0,380,False,False
MarketAverageClosing,AvgCH,AvgCD,AvgCA,True,6,2280,2280,0,380,False,False
MarketMaximum,MaxH,MaxD,MaxA,False,6,2280,2280,0,380,False,False
MarketMaximumClosing,MaxCH,MaxCD,MaxCA,True,6,2280,2280,0,380,False,False
WilliamHillClosing,WHCH,WHCD,WHCA,True,6,2189,2189,0,380,False,False
BetwayClosing,BWCH,BWCD,BWCA,True,6,2127,2127,0,380,False,False
VCBetClosing,VCCH,VCCD,VCCA,True,5,1900,1900,0,380,False,False
InterwettenClosing,IWCH,IWCD,IWCA,True,5,1715,1715,0,380,False,False
Ladbrokes,LBH,LBD,LBA,False,3,1140,1140,0,380,False,False
