Season,Date,HomeTeam,AwayTeam,Outcome,EarlierOdds,ClosingOdds,EarlierNoVigProbability,ClosingNoVigProbability
2015-16,2015-08-08,Bournemouth,Aston Villa,H,1.95,1.82,0.5022800883030665,0.5387042266835245
2015-16,2015-08-08,Chelsea,Swansea,H,1.39,1.37,0.7060636991589744,0.715438329140877
2015-16,2015-08-08,Everton,Watford,H,1.7,1.75,0.5770770510554227,0.5595605453789421
2015-16,2015-08-08,Leicester,Sunderland,H,1.99,1.79,0.49252241969672267,0.5465705378020265
2015-16,2015-08-08,Man United,Tottenham,H,1.65,1.64,0.5941474104076131,0.5972033272437518
2015-16,2015-08-08,Norwich,Crystal Palace,H,2.52,2.46,0.38904138513513514,0.3985487711731141
2015-16,2015-08-09,Arsenal,West Ham,H,1.31,1.24,0.7479472101027071,0.7896583996256433
2015-16,2015-08-09,Newcastle,Southampton,H,2.88,3.09,0.3406578361912585,0.31707400288869436
2015-16,2015-08-09,Stoke,Liverpool,H,3.48,3.89,0.28149610569934697,0.25192050796877735
2015-16,2015-08-10,West Brom,Man City,H,5.75,6.46,0.17043490673287215,0.15161265008239821
2015-16,2015-08-14,Aston Villa,Man United,H,5.66,5.06,0.17335515755014394,0.19391661127283566
2015-16,2015-08-15,Southampton,Everton,H,1.98,2.03,0.4949738404561755,0.4828596072453012
2015-16,2015-08-15,Sunderland,Norwich,H,2.52,2.86,0.38904138513513514,0.3426011762739168
2015-16,2015-08-15,Swansea,Newcastle,H,1.94,1.85,0.5047401572782902,0.5287364737681862
2015-16,2015-08-15,Tottenham,Stoke,H,1.79,1.74,0.5467458773857025,0.5629744735266029
2015-16,2015-08-15,Watford,West Brom,H,2.25,2.09,0.4356506393252709,0.46877948986409695
2015-16,2015-08-15,West Ham,Leicester,H,2.25,2.38,0.43533164095554244,0.411883338504499
2015-16,2015-08-16,Crystal Palace,Arsenal,H,5.34,5.4,0.1834950151828662,0.18119895304468484
2015-16,2015-08-16,Man City,Chelsea,H,2.08,2.01,0.471311867978489,0.48756402703863094
2015-16,2015-08-17,Liverpool,Bournemouth,H,1.44,1.54,0.6796990675897394,0.6368515980088018
2015-16,2015-08-22,Crystal Palace,Aston Villa,H,1.85,1.81,0.529670841203484,0.5420898865321067
2015-16,2015-08-22,Leicester,Tottenham,H,2.69,2.61,0.36464592052376416,0.3757274422283745
2015-16,2015-08-22,Man United,Newcastle,H,1.39,1.34,0.7070167952700956,0.7316214176519534
