Season,Date,HomeTeam,AwayTeam,PSH,PSD,PSA,PSCH,PSCD,PSCA,EarlierOverround,ClosingOverround,EarlierMargin,ClosingMargin,EarlierNoVigProbability_H,ClosingNoVigProbability_H,EarlierNoVigProbability_D,ClosingNoVigProbability_D,EarlierNoVigProbability_A,ClosingNoVigProbability_A
2015-16,2015-08-08,Bournemouth,Aston Villa,1.95,3.65,4.27,1.82,3.88,4.7,1.0209851530309648,1.0199484656602447,0.02098515303096482,0.019948465660244663,0.5022800883030665,0.5387042266835245,0.2683414170386245,0.2526911578773234,0.22937849465830903,0.20860461543915204
2015-16,2015-08-08,Chelsea,Swansea,1.39,4.92,10.39,1.37,5.04,10.88,1.0189228837123265,1.0202514704178507,0.018922883712326533,0.020251470417850692,0.7060636991589744,0.715438329140877,0.19947734590060454,0.19447430772281776,0.094458954940421,0.09008736313630529
2015-16,2015-08-08,Everton,Watford,1.7,3.95,5.62,1.75,3.76,5.44,1.0193357941401706,1.0212095476488467,0.019335794140170615,0.02120954764884675,0.5770770510554227,0.5595605453789421,0.2483622751377768,0.26043376447158206,0.17456067380680046,0.18000569014947584
2015-16,2015-08-08,Leicester,Sunderland,1.99,3.48,4.34,1.79,3.74,5.1,1.0202836311969294,1.022117328394029,0.02028363119692944,0.022117328394029023,0.49252241969672267,0.5465705378020265,0.2816435675851949,0.26159392049883085,0.22583401271808254,0.19183554169914266
2015-16,2015-08-08,Man United,Tottenham,1.65,4.09,5.9,1.64,4.07,6.04,1.0200509089904473,1.021019257168506,0.020050908990447258,0.021019257168505945,0.5941474104076131,0.5972033272437518,0.23969272058008842,0.24064212694834222,0.16615986901229857,0.16215454580790611
2015-16,2015-08-08,Norwich,Crystal Palace,2.52,3.35,3.08,2.46,3.39,3.14,1.0200081841872886,1.0199606533577312,0.020008184187288558,0.01996065335773123,0.38904138513513514,0.3985487711731141,0.29265202702702703,0.28921238262119786,0.3183065878378379,0.31223884620568815
2015-16,2015-08-09,Arsenal,West Ham,1.31,5.75,12.0,1.24,6.75,15.0,1.0206051554375484,1.0212664277180408,0.020605155437548373,0.02126642771804077,0.7479472101027071,0.7896583996256433,0.1704018861277472,0.14506317267197003,0.08165090376954554,0.06527842770238651
2015-16,2015-08-09,Newcastle,Southampton,2.88,3.33,2.69,3.09,3.28,2.55,1.0192697344184334,1.0206595069948414,0.019269734418433382,0.020659506994841426,0.3406578361912585,0.31707400288869436,0.29462299346271004,0.2987069112579468,0.3647191703460314,0.38421908585335907
2015-16,2015-08-09,Stoke,Liverpool,3.48,3.46,2.25,3.89,3.51,2.09,1.0208181073239873,1.020438593162176,0.020818107323987256,0.020438593162176,0.28149610569934697,0.25192050796877735,0.2831232508189964,0.27919395327593843,0.43538064348165667,0.4688855387552842
2015-16,2015-08-10,West Brom,Man City,5.75,3.98,1.68,6.46,4.08,1.61,1.0204074201233913,1.0210148132479535,0.02040742012339125,0.021014813247953512,0.17043490673287215,0.15161265008239821,0.2462313351040238,0.2400533626304638,0.5833337581631041,0.6083339872871381
