Season,Date,HomeTeam,AwayTeam,ActualOutcome,ModelProbability,MarketProbability,DecimalOdds,Outcome,OutcomeOccurred,ProbabilityEdge,AbsoluteProbabilityEdge,BreakEvenProbability,ModelMinusBreakEvenProbability,ModelExpectedReturn,PositiveModelExpectedReturn,RealisedUnitReturn,EarlierOdds,ClosingOdds,EarlierNoVigProbability,ClosingNoVigProbability,EarlierModelExpectedReturn,ClosingModelExpectedReturn,OutcomeOrder
2020-21,2020-09-12,Crystal Palace,Southampton,H,0.3537809833695609,0.31630659552833923,3.09,H,1,0.037474387841221646,0.037474387841221646,0.3236245954692557,0.03015638790030517,0.09318323861194311,True,2.09,3.32,3.09,0.2947720519061628,0.31630659552833923,0.1745528647869421,0.09318323861194311,0
2020-21,2020-09-12,Fulham,Arsenal,A,0.2030143687767847,0.17795215594558414,5.48,H,0,0.025062212831200553,0.025062212831200553,0.18248175182481752,0.020532616951967175,0.11251874089678027,True,-1.0,6.16,5.48,0.15836387045657124,0.17795215594558414,0.25056851166499383,0.11251874089678027,0
2020-21,2020-09-12,Liverpool,Leeds,H,0.830040387255834,0.7608203241984672,1.28,H,1,0.06922006305736672,0.06922006305736672,0.78125,0.048790387255833956,0.062451695687467446,True,0.28,1.31,1.28,0.745347289760972,0.7608203241984672,0.08735290730514245,0.062451695687467446,0
2020-21,2020-09-12,West Ham,Newcastle,A,0.3671459865350515,0.24915966958344107,3.92,A,1,0.11798631695161041,0.11798631695161041,0.25510204081632654,0.11204394571872495,0.4392122672174017,True,2.92,3.5,3.92,0.2797176450516798,0.24915966958344107,0.2850109528726801,0.4392122672174017,2
2020-21,2020-09-13,Tottenham,Everton,A,0.5306869706563574,0.46820805262686094,2.09,H,0,0.062478918029496455,0.062478918029496455,0.47846889952153115,0.05221807113482624,0.10913576867178687,True,-1.0,1.94,2.09,0.5013586424027069,0.46820805262686094,0.029532723073333322,0.10913576867178687,0
2020-21,2020-09-13,West Brom,Leicester,A,0.2652824672511168,0.2892768079800499,3.38,H,0,-0.023994340728933083,0.023994340728933083,0.2958579881656805,-0.03057552091456367,-0.10334526069122518,False,-1.0,4.0,3.38,0.24306025727826674,0.2892768079800499,0.06112986900446726,-0.10334526069122518,0
2020-21,2020-09-14,Brighton,Chelsea,A,0.2831729628918444,0.16058507991184356,6.07,H,0,0.12258788298000084,0.12258788298000084,0.16474464579901152,0.11842831709283289,0.7188598847534957,True,-1.0,5.36,6.07,0.18236501525438403,0.16058507991184356,0.5178070811002862,0.7188598847534957,0
2020-21,2020-09-14,Sheffield United,Wolves,A,0.3716943825373646,0.29807013775964164,3.28,H,0,0.07362424477772295,0.07362424477772295,0.3048780487804878,0.06681633375687679,0.21915757472255581,True,-1.0,3.41,3.28,0.28477117216243164,0.29807013775964164,0.2674778444524133,0.21915757472255581,0
2020-21,2020-09-19,Arsenal,West Ham,H,0.683111149938293,0.6400336103071609,1.53,H,1,0.043077539631132145,0.043077539631132145,0.6535947712418301,0.029516378696462953,0.045160059405588315,True,0.53,1.54,1.53,0.6292798483891345,0.6400336103071609,0.051991170904971185,0.045160059405588315,0
2020-21,2020-09-19,Everton,West Brom,H,0.1795910379520096,0.1529708849812626,6.41,A,0,0.02662015297074699,0.02662015297074699,0.15600624024961,0.0235847977023996,0.1511785532723815,True,-1.0,6.46,6.41,0.15015784304293645,0.1529708849812626,0.16015810516998186,0.1511785532723815,2
2020-21,2020-09-19,Leeds,Fulham,H,0.2251482675709737,0.19101550177685594,5.12,A,0,0.03413276579411775,0.03413276579411775,0.1953125,0.029835767570973698,0.15275912996338525,True,-1.0,5.61,5.12,0.17285531370038412,0.19101550177685594,0.2630817810731625,0.15275912996338525,2
2020-21,2020-09-19,Man United,Crystal Palace,A,0.163636409489315,0.10458032689032844,9.33,A,1,0.05905608259898655,0.05905608259898655,0.10718113612004287,0.05645527336927211,0.5267277005353088,True,8.33,9.8,9.33,0.09798994974874373,0.10458032689032844,0.6036368129952869,0.5267277005353088,2
2020-21,2020-09-20,Chelsea,Liverpool,A,0.3488830661828082,0.29555855114581325,3.32,H,0,0.053324515036994924,0.053324515036994924,0.30120481927710846,0.04767824690569972,0.158291779726923,True,-1.0,3.2,3.32,0.3037338568778256,0.29555855114581325,0.11642581178498612,0.158291779726923,0
2020-21,2020-09-20,Leicester,Burnley,H,0.265406028375737,0.14504822778452678,6.74,A,0,0.12035780059121023,0.12035780059121023,0.14836795252225518,0.11703807585348183,0.7888366312524675,True,-1.0,5.79,6.74,0.16795193888574259,0.14504822778452678,0.5367009042955173,0.7888366312524675,2
2020-21,2020-09-20,Newcastle,Brighton,A,0.475362565624765,0.3632026788376414,2.7,H,0,0.11215988678712357,0.11215988678712357,0.37037037037037035,0.10499219525439463,0.2834789271868656,True,-1.0,2.66,2.7,0.36494002181025076,0.3632026788376414,0.2644644245618748,0.2834789271868656,0
2020-21,2020-09-20,Southampton,Tottenham,A,0.4280509133410328,0.432144576743041,2.27,A,1,-0.00409366340200823,0.00409366340200823,0.44052863436123346,-0.012477721020200672,-0.028324426715855555,False,1.27,2.41,2.27,0.4026818041643348,0.432144576743041,0.03160270115188912,-0.028324426715855555,2
2020-21,2020-09-21,Aston Villa,Sheffield United,H,0.4561596982992749,0.29308792936668293,3.35,A,0,0.16307176893259195,0.16307176893259195,0.29850746268656714,0.15765223561270775,0.5281349893025709,True,-1.0,2.78,3.35,0.34880101362448973,0.29308792936668293,0.2681239612719841,0.5281349893025709,2
2020-21,2020-09-21,Wolves,Man City,A,0.2800577178217418,0.14595104565228784,6.7,H,0,0.134106672169454,0.134106672169454,0.14925373134328357,0.13080398647845826,0.8763867094056703,True,-1.0,6.27,6.7,0.15478414386303452,0.14595104565228784,0.7559618907423211,0.8763867094056703,0
2020-21,2020-09-26,Brighton,Man United,A,0.2434001073498566,0.17534233056179221,5.58,H,0,0.06805777678806438,0.06805777678806438,0.17921146953405018,0.06418863781580642,0.3581725990121998,True,-1.0,5.1,5.58,0.1922985554135228,0.17534233056179221,0.24134054748426848,0.3581725990121998,0
2020-21,2020-09-26,Burnley,Southampton,A,0.4380859892551758,0.2910023007449163,3.37,H,0,0.1470836885102595,0.1470836885102595,0.29673590504451036,0.14135008421066542,0.4763497837899424,True,-1.0,3.41,3.37,0.2877592894795976,0.2910023007449163,0.4938732233601495,0.4763497837899424,0
2020-21,2020-09-26,Crystal Palace,Everton,A,0.3148826759477547,0.2740515296975305,3.58,H,0,0.040831146250224215,0.040831146250224215,0.27932960893854747,0.03555306700920724,0.1272799798929618,True,-1.0,3.72,3.58,0.26345733041575486,0.2740515296975305,0.17136355452564755,0.1272799798929618,0
2020-21,2020-09-26,West Brom,Chelsea,D,0.1473783209454419,0.14048117095191143,6.96,H,0,0.006897149993530471,0.006897149993530471,0.14367816091954022,0.0037001600259016776,0.02575311378027556,True,-1.0,8.55,6.96,0.11421774863677776,0.14048117095191143,0.26008464408352827,0.02575311378027556,0
2020-21,2020-09-27,Man City,Leicester,A,0.1652419992348295,0.0977174174897615,9.96,A,1,0.067524581745068,0.067524581745068,0.1004016064257028,0.06484039280912669,0.6458103123789019,True,8.96,10.09,9.96,0.09678351091319454,0.0977174174897615,0.6672917722794296,0.6458103123789019,2
2020-21,2020-09-27,Sheffield United,Leeds,A,0.4004268048685236,0.31753411040147694,3.09,H,0,0.08289269446704667,0.08289269446704667,0.3236245954692557,0.0768022093992679,0.23731882704373786,True,-1.0,2.83,3.09,0.34666646580976096,0.31753411040147694,0.13320785777792188,0.23731882704373786,0
2020-21,2020-09-27,Tottenham,Newcastle,D,0.2179830109516633,0.11958403233821717,8.16,A,0,0.09839897861344614,0.09839897861344614,0.12254901960784313,0.09543399134382018,0.7787413693655727,True,-1.0,7.38,8.16,0.13274359918426681,0.11958403233821717,0.6087146208232752,0.7787413693655727,2
2020-21,2020-09-27,West Ham,Wolves,H,0.2927060331850981,0.28604253167154675,3.43,H,1,0.006663501513551329,0.006663501513551329,0.29154518950437314,0.0011608436807249434,0.003981693824886445,True,2.43,3.87,3.43,0.25325615050651235,0.28604253167154675,0.13277234842632968,0.003981693824886445,0
2020-21,2020-09-28,Fulham,Aston Villa,A,0.411744001660504,0.39582151917624236,2.48,A,1,0.015922482484261646,0.015922482484261646,0.40322580645161293,0.008518195208891077,0.0211251241180499,True,1.48,2.54,2.48,0.38205718345973827,0.39582151917624236,0.04582976421768015,0.0211251241180499,2
2020-21,2020-09-28,Liverpool,Arsenal,H,0.7516958517034134,0.6502732240437159,1.5,H,1,0.10142262765969745,0.10142262765969745,0.6666666666666666,0.08502918503674672,0.12754377755512003,True,0.5,1.5,1.5,0.6473182861355581,0.6502732240437159,0.12754377755512003,0.12754377755512003,0
2020-21,2020-10-03,Chelsea,Crystal Palace,H,0.2214500721884172,0.14655869562848084,6.67,A,0,0.07489137655993636,0.07489137655993636,0.14992503748125938,0.07152503470715782,0.4770719814967428,True,-1.0,7.79,6.67,0.12421691936749427,0.14655869562848084,0.72509606234777,0.4770719814967428,2
2020-21,2020-10-03,Everton,Brighton,H,0.555479867830447,0.5412506013634818,1.81,H,1,0.014229266466965207,0.014229266466965207,0.5524861878453039,0.002993679985143105,0.0054185607731092045,True,0.81,1.78,1.81,0.5448809763373147,0.5412506013634818,-0.011245835261804338,0.0054185607731092045,0
2020-21,2020-10-03,Leeds,Man City,D,0.2033936931448928,0.10994281074795559,8.85,H,0,0.09345088239693722,0.09345088239693722,0.11299435028248588,0.09039934286240693,0.8000341843323013,True,-1.0,7.98,8.85,0.12008200577407804,0.10994281074795559,0.6230816712962446,0.8000341843323013,0
2020-21,2020-10-03,Newcastle,Burnley,H,0.3296919962388726,0.3094301269332377,3.17,A,0,0.020261869305634894,0.020261869305634894,0.31545741324921134,0.014234582989661237,0.04512362807722603,True,-1.0,3.12,3.17,0.3107493268129623,0.3094301269332377,0.028639028265282418,0.04512362807722603,2
