Date,DailyBets,DailyWinningBets,DailyProfit
2024-08-17,3,1,-0.14000000000000012
2024-09-21,1,0,-1.0
2024-10-19,1,1,2.41
2024-11-10,2,1,8.66
2024-11-23,1,0,-1.0
2024-11-24,1,0,-1.0
2024-11-30,2,0,-2.0
2024-12-03,1,0,-1.0
2024-12-05,1,0,-1.0
2024-12-14,1,0,-1.0
2024-12-29,1,0,-1.0
2024-12-30,1,1,6.55
2025-01-04,1,0,-1.0
2025-01-18,1,0,-1.0
2025-01-19,1,0,-1.0
2025-02-15,1,1,1.0899999999999999
2025-02-22,1,1,1.6800000000000002
2025-02-23,1,0,-1.0
2025-04-12,1,0,-1.0
2025-04-13,1,0,-1.0
2025-04-26,2,0,-2.0
2025-04-27,1,0,-1.0
2025-05-04,1,0,-1.0
2025-05-10,2,1,2.9400000000000004
2025-05-16,1,0,-1.0
2025-05-19,1,0,-1.0
2025-05-25,5,2,10.18
