StrategyNumber,Strategy,Date,Season,HomeTeam,AwayTeam,Outcome,ActualOutcome,DecimalOdds,ModelProbability,FullKellyFraction,FractionalKellyBeforeCap,FractionalKellyAfterPerBetCap,DailyExposureScale,AppliedStakeFraction,OpeningBankroll,Stake,OutcomeOccurred,RealisedUnitReturn,RealisedProfit,PerBetCapBinding,DailyCapBinding
3,Half Kelly,2021-08-14,2021-22,Chelsea,Crystal Palace,A,H,11.0,0.1751820271967661,0.09270022991644271,0.046350114958221354,0.04,1.0,0.04,100.0,4.0,0,-1.0,-4.0,True,False
3,Half Kelly,2021-08-15,2021-22,Tottenham,Man City,H,H,5.97,0.2526648406088871,0.10229559324649015,0.051147796623245076,0.04,1.0,0.04,96.0,3.84,1,4.97,19.084799999999998,True,False
3,Half Kelly,2021-08-21,2021-22,Aston Villa,Newcastle,A,H,4.39,0.3619611347915697,0.17374908015781443,0.08687454007890721,0.04,1.0,0.04,115.0848,4.603392,0,-1.0,-4.603392,True,False
3,Half Kelly,2021-08-21,2021-22,Brighton,Watford,A,H,5.6,0.3267247748135137,0.18036059542514712,0.09018029771257356,0.04,1.0,0.04,115.0848,4.603392,0,-1.0,-4.603392,True,False
3,Half Kelly,2021-08-28,2021-22,Aston Villa,Brentford,A,D,4.07,0.398614510896681,0.20272347210081162,0.10136173605040581,0.04,1.0,0.04,105.878016,4.23512064,0,-1.0,-4.23512064,True,False
3,Half Kelly,2021-08-28,2021-22,Man City,Arsenal,A,H,10.5,0.1556587655706351,0.06678074089385984,0.03339037044692992,0.03339037044692992,1.0,0.03339037044692992,105.878016,3.5353061764259732,0,-1.0,-3.5353061764259732,False,False
3,Half Kelly,2021-08-29,2021-22,Tottenham,Watford,A,H,8.5,0.189484202222573,0.08141542918558274,0.04070771459279137,0.04,1.0,0.04,98.10758918357404,3.9243035673429616,0,-1.0,-3.9243035673429616,True,False
3,Half Kelly,2021-09-11,2021-22,Chelsea,Aston Villa,A,H,10.33,0.1455867546050984,0.05400977224765985,0.027004886123829924,0.027004886123829924,1.0,0.02700488612382992,94.18328561623107,2.543408902834469,0,-1.0,-2.543408902834469,False,False
3,Half Kelly,2021-09-11,2021-22,Man United,Newcastle,A,H,15.76,0.105276819306778,0.044658717633795475,0.022329358816897737,0.022329358816897737,1.0,0.022329358816897737,94.18328561623107,2.103052379079187,0,-1.0,-2.103052379079187,False,False
3,Half Kelly,2021-09-18,2021-22,Aston Villa,Everton,A,H,3.65,0.5110155898837189,0.32649317097191466,0.16324658548595733,0.04,1.0,0.04,89.53682433431742,3.581472973372697,0,-1.0,-3.581472973372697,True,False
3,Half Kelly,2021-09-18,2021-22,Man City,Southampton,A,D,16.74,0.0952313914933085,0.037749268970647024,0.018874634485323512,0.018874634485323512,1.0,0.018874634485323512,89.53682433431742,1.6899748322868609,0,-1.0,-1.6899748322868609,False,False
3,Half Kelly,2021-09-18,2021-22,Norwich,Watford,A,A,3.31,0.5150806048764587,0.3051587888056616,0.1525793944028308,0.04,1.0,0.04,89.53682433431742,3.581472973372697,1,2.31,8.27320256849093,True,False
3,Half Kelly,2021-09-18,2021-22,Wolves,Brentford,A,A,5.38,0.3688560494619245,0.22475925710163328,0.11237962855081664,0.04,1.0,0.04,89.53682433431742,3.581472973372697,1,4.38,15.686851623372412,True,False
3,Half Kelly,2021-10-23,2021-22,Brighton,Man City,H,A,8.18,0.2108581915207847,0.1009498616490277,0.05047493082451385,0.04,1.0,0.04,108.2254307205212,4.329017228820848,0,-1.0,-4.329017228820848,True,False
3,Half Kelly,2021-11-06,2021-22,Man United,Man City,H,A,4.79,0.3536990985258847,0.18317115618442947,0.09158557809221474,0.04,1.0,0.04,103.89641349170036,4.155856539668014,0,-1.0,-4.155856539668014,True,False
3,Half Kelly,2021-11-07,2021-22,Everton,Tottenham,H,D,3.48,0.4709611043323484,0.2576389689824889,0.12881948449124445,0.04,1.0,0.04,99.74055695203235,3.989622278081294,0,-1.0,-3.989622278081294,True,False
3,Half Kelly,2021-11-20,2021-22,Watford,Man United,H,H,6.58,0.2297892920135382,0.09175869918442318,0.04587934959221159,0.04,1.0,0.04,95.75093467395105,3.830037386958042,1,5.58,21.371608619225874,True,False
