Fold,SelectionTrainingStart,SelectionTrainingEnd,SelectionTrainingSeasons,EvaluationSeason,StrategyNumber,Strategy,HistoricalBets,HistoricalWinningBets,HistoricalHitRate,HistoricalProfit,HistoricalROI,HistoricalAverageOdds,HistoricalSeasonsWithBets,EligibleForSelection,HistoricalRank
1,2020-21,2020-21,1,2021-22,1,Highest-return candidate: all fixtures,380,130,0.34210526315789475,5.6000000000000085,0.01473684210526318,4.012736842105263,1,True,3
1,2020-21,2020-21,1,2021-22,2,Expected return >= 0%,375,128,0.3413333333333333,2.9700000000000033,0.007920000000000009,4.0104533333333325,1,True,5
1,2020-21,2020-21,1,2021-22,3,Expected return >= 5%,336,107,0.31845238095238093,-3.659999999999993,-0.010892857142857123,4.165089285714285,1,True,7
1,2020-21,2020-21,1,2021-22,4,Expected return >= 10%,284,84,0.29577464788732394,-2.6999999999999975,-0.009507042253521118,4.375352112676056,1,True,6
1,2020-21,2020-21,1,2021-22,5,Expected return >= 20%,207,58,0.28019323671497587,2.910000000000002,0.014057971014492764,4.741159420289855,1,True,4
1,2020-21,2020-21,1,2021-22,6,Expected return >= 30%,153,40,0.26143790849673204,12.920000000000002,0.08444444444444446,5.264183006535948,1,True,2
1,2020-21,2020-21,1,2021-22,7,Expected return >= 50%,84,19,0.2261904761904762,10.52,0.12523809523809523,6.368571428571429,1,True,1
2,2020-21,2021-22,2,2022-23,1,Highest-return candidate: all fixtures,760,261,0.34342105263157896,-19.989999999999995,-0.026302631578947362,4.142078947368421,2,True,4
2,2020-21,2021-22,2,2022-23,2,Expected return >= 0%,743,252,0.3391655450874832,-20.599999999999994,-0.027725437415881553,4.178304172274562,2,True,5
2,2020-21,2021-22,2,2022-23,3,Expected return >= 5%,650,202,0.31076923076923074,-25.49,-0.03921538461538461,4.390784615384615,2,True,6
2,2020-21,2021-22,2,2022-23,4,Expected return >= 10%,529,152,0.28733459357277885,-13.899999999999995,-0.02627599243856332,4.72890359168242,2,True,3
2,2020-21,2021-22,2,2022-23,5,Expected return >= 20%,373,90,0.24128686327077747,-33.86999999999999,-0.0908042895442359,5.226595174262735,2,True,7
2,2020-21,2021-22,2,2022-23,6,Expected return >= 30%,269,64,0.2379182156133829,3.4800000000000018,0.012936802973977701,5.781672862453531,2,True,2
2,2020-21,2021-22,2,2022-23,7,Expected return >= 50%,145,31,0.21379310344827587,13.850000000000001,0.09551724137931035,7.040620689655173,2,True,1
3,2020-21,2022-23,3,2023-24,1,Highest-return candidate: all fixtures,1140,403,0.35350877192982455,-28.73999999999998,-0.025210526315789458,4.029719298245614,3,True,4
3,2020-21,2022-23,3,2023-24,2,Expected return >= 0%,1112,390,0.35071942446043164,-24.549999999999997,-0.0220773381294964,4.064361510791366,3,True,3
3,2020-21,2022-23,3,2023-24,3,Expected return >= 5%,945,305,0.32275132275132273,-34.69,-0.036708994708994705,4.29421164021164,3,True,5
3,2020-21,2022-23,3,2023-24,4,Expected return >= 10%,759,231,0.30434782608695654,-11.990000000000006,-0.01579710144927537,4.640474308300395,3,True,2
3,2020-21,2022-23,3,2023-24,5,Expected return >= 20%,509,127,0.24950884086444008,-31.119999999999997,-0.06113948919449901,5.2516306483300585,3,True,7
3,2020-21,2022-23,3,2023-24,6,Expected return >= 30%,356,79,0.22191011235955055,-15.040000000000001,-0.04224719101123596,5.8690168539325835,3,True,6
3,2020-21,2022-23,3,2023-24,7,Expected return >= 50%,180,36,0.2,2.1499999999999986,0.011944444444444436,7.147444444444444,3,True,1
4,2020-21,2023-24,4,2024-25,1,Highest-return candidate: all fixtures,1520,535,0.3519736842105263,-47.19,-0.031046052631578946,4.066059210526316,4,True,4
4,2020-21,2023-24,4,2024-25,2,Expected return >= 0%,1474,513,0.3480325644504749,-38.4,-0.026051560379918588,4.101831750339213,4,True,3
4,2020-21,2023-24,4,2024-25,3,Expected return >= 5%,1230,392,0.31869918699186994,-49.94,-0.04060162601626016,4.350276422764228,4,True,5
4,2020-21,2023-24,4,2024-25,4,Expected return >= 10%,987,294,0.2978723404255319,-11.86999999999999,-0.012026342451874356,4.691833839918946,4,True,2
4,2020-21,2023-24,4,2024-25,5,Expected return >= 20%,662,161,0.243202416918429,-44.36,-0.06700906344410876,5.246374622356496,4,True,6
4,2020-21,2023-24,4,2024-25,6,Expected return >= 30%,464,98,0.21120689655172414,-35.75,-0.07704741379310345,5.902780172413793,4,True,7
4,2020-21,2023-24,4,2024-25,7,Expected return >= 50%,227,46,0.2026431718061674,9.75,0.042951541850220265,7.061541850220264,4,True,1
