Season,Date,HomeTeam,AwayTeam,ActualOutcome,ModelProbability,MarketProbability,DecimalOdds,Outcome,OutcomeOccurred,ProbabilityEdge,AbsoluteProbabilityEdge,BreakEvenProbability,ModelMinusBreakEvenProbability,ModelExpectedReturn,PositiveModelExpectedReturn,RealisedUnitReturn,CandidatePositiveExpectedReturn,StrategyNumber,Strategy,MinimumExpectedReturn,SelectionFold,SelectionTrainingStart,SelectionTrainingEnd,SelectedHistoricalROI
2021-22,2021-08-14,Chelsea,Crystal Palace,H,0.1751820271967661,0.08892056626032248,11.0,A,0,0.08626146093644362,0.08626146093644362,0.09090909090909091,0.08427293628767518,0.9270022991644271,True,-1.0,True,7,Expected return >= 50%,0.5,1,2020-21,2020-21,0.12523809523809523
2021-22,2021-08-15,Tottenham,Man City,H,0.2526648406088871,0.16359167708664565,5.97,H,1,0.08907316352224146,0.08907316352224146,0.16750418760469013,0.08516065300419698,0.508409098435056,True,4.97,True,7,Expected return >= 50%,0.5,1,2020-21,2020-21,0.12523809523809523
2021-22,2021-08-21,Aston Villa,Newcastle,H,0.3619611347915697,0.22252843707181277,4.39,A,0,0.13943269771975694,0.13943269771975694,0.22779043280182235,0.13417070198974737,0.5890093817349908,True,-1.0,True,7,Expected return >= 50%,0.5,1,2020-21,2020-21,0.12523809523809523
2021-22,2021-08-21,Brighton,Watford,H,0.3267247748135137,0.17471728371167083,5.6,A,0,0.15200749110184286,0.15200749110184286,0.17857142857142858,0.14815334624208512,0.8296587389556767,True,-1.0,True,7,Expected return >= 50%,0.5,1,2020-21,2020-21,0.12523809523809523
2021-22,2021-08-28,Aston Villa,Brentford,D,0.398614510896681,0.24036627241510872,4.07,A,0,0.15824823848157227,0.15824823848157227,0.24570024570024568,0.1529142651964353,0.6223610593494917,True,-1.0,True,7,Expected return >= 50%,0.5,1,2020-21,2020-21,0.12523809523809523
2021-22,2021-08-28,Man City,Arsenal,H,0.1556587655706351,0.09311143880345482,10.5,A,0,0.06254732676718028,0.06254732676718028,0.09523809523809523,0.060420670332539866,0.6344170384916685,True,-1.0,True,7,Expected return >= 50%,0.5,1,2020-21,2020-21,0.12523809523809523
2021-22,2021-08-29,Tottenham,Watford,H,0.189484202222573,0.11453789705957818,8.5,A,0,0.07494630516299483,0.07494630516299483,0.11764705882352941,0.0718371433990436,0.6106157188918706,True,-1.0,True,7,Expected return >= 50%,0.5,1,2020-21,2020-21,0.12523809523809523
2021-22,2021-09-11,Chelsea,Aston Villa,H,0.1455867546050984,0.09459014194381896,10.33,A,0,0.050996612661279445,0.050996612661279445,0.0968054211035818,0.0487813335015166,0.5039111750706664,True,-1.0,True,7,Expected return >= 50%,0.5,1,2020-21,2020-21,0.12523809523809523
2021-22,2021-09-11,Man United,Newcastle,H,0.105276819306778,0.06154312148915078,15.76,A,0,0.04373369781762722,0.04373369781762722,0.06345177664974619,0.04182504265703181,0.6591626722748212,True,-1.0,True,7,Expected return >= 50%,0.5,1,2020-21,2020-21,0.12523809523809523
2021-22,2021-09-18,Aston Villa,Everton,H,0.5110155898837189,0.26815221410085033,3.65,A,0,0.24286337578286854,0.24286337578286854,0.273972602739726,0.23704298714399286,0.8652069030755738,True,-1.0,True,7,Expected return >= 50%,0.5,1,2020-21,2020-21,0.12523809523809523
2021-22,2021-09-18,Man City,Southampton,D,0.0952313914933085,0.058028553770978264,16.74,A,0,0.03720283772233024,0.03720283772233024,0.059737156511350066,0.03549423498195844,0.5941734935979841,True,-1.0,True,7,Expected return >= 50%,0.5,1,2020-21,2020-21,0.12523809523809523
2021-22,2021-09-18,Norwich,Watford,A,0.5150806048764587,0.29589974585664225,3.31,A,1,0.21918085901981643,0.21918085901981643,0.3021148036253776,0.21296580125108105,0.7049168021410783,True,2.31,True,7,Expected return >= 50%,0.5,1,2020-21,2020-21,0.12523809523809523
2021-22,2021-09-18,Wolves,Brentford,A,0.3688560494619245,0.1813897680242062,5.38,A,1,0.18746628143771832,0.18746628143771832,0.1858736059479554,0.1829824435139691,0.9844455461051538,True,4.38,True,7,Expected return >= 50%,0.5,1,2020-21,2020-21,0.12523809523809523
2021-22,2021-10-23,Brighton,Man City,A,0.2108581915207847,0.11943428794149855,8.18,H,0,0.09142390357928615,0.09142390357928615,0.12224938875305624,0.08860880276772845,0.7248200066400188,True,-1.0,True,7,Expected return >= 50%,0.5,1,2020-21,2020-21,0.12523809523809523
2021-22,2021-11-06,Man United,Man City,A,0.3536990985258847,0.20380905476005923,4.79,H,0,0.1498900437658255,0.1498900437658255,0.20876826722338204,0.14493083130250267,0.6942186819389877,True,-1.0,True,7,Expected return >= 50%,0.5,1,2020-21,2020-21,0.12523809523809523
2021-22,2021-11-07,Everton,Tottenham,D,0.4709611043323484,0.2820636187685208,3.48,H,0,0.18889748556382757,0.18889748556382757,0.28735632183908044,0.18360478249326795,0.6389446430765724,True,-1.0,True,7,Expected return >= 50%,0.5,1,2020-21,2020-21,0.12523809523809523
