FixtureNumber,Season,Kickoff,OfficialHomeTeam,OfficialAwayTeam,HomeTeam,AwayTeam,ResultsAvailableBeforeFixture,HomeEloBefore,AwayEloBefore,HomeRollingPoints5,AwayRollingPoints5,HomeRollingGoalsFor5,HomeRollingGoalsAgainst5,HomeRollingGoalDifference5,HomeRollingWinRate5,AwayRollingGoalsFor5,AwayRollingGoalsAgainst5,AwayRollingGoalDifference5,AwayRollingWinRate5,HomeVenueRollingPoints5,HomeVenueRollingGoalsFor5,HomeVenueRollingGoalsAgainst5,HomeVenueRollingGoalDifference5,HomeVenueRollingWinRate5,AwayVenueRollingPoints5,AwayVenueRollingGoalsFor5,AwayVenueRollingGoalsAgainst5,AwayVenueRollingGoalDifference5,AwayVenueRollingWinRate5,HomeRestDays,AwayRestDays,HomeShortRest3,AwayShortRest3,HomeMatchesLast7Days,HomeMatchesLast14Days,AwayMatchesLast7Days,AwayMatchesLast14Days,EloDifference,PointsFormDifference5,GoalsForFormDifference5,GoalsAgainstFormDifference5,GoalDifferenceFormDifference5,WinRateFormDifference5,VenuePointsFormDifference5,VenueGoalsForFormDifference5,VenueGoalsAgainstFormDifference5,VenueGoalDifferenceFormDifference5,VenueWinRateFormDifference5,RestDaysDifference,ShortRestDifference3,MatchesLast7DaysDifference,MatchesLast14DaysDifference,AwayMatchWeek,HomeMatchWeek,HomeSeasonProgress,AwaySeasonProgress,AverageSeasonProgress,SeasonProgressDifference,MatchesPlayedDifference,SecondHalfSeason,HomePointsBefore,AwayPointsBefore,HomeGoalDifferenceBefore,AwayGoalDifferenceBefore,HomeLeaguePosition,AwayLeaguePosition,PointsDifference,PositionDifference,GoalDifferenceDifference,HomeTop4Before,HomeTop6Before,HomeTopHalfBefore,HomeBottom3Before,AwayTop4Before,AwayTop6Before,AwayTopHalfBefore,AwayBottom3Before
1,2026-27,2026-08-21 20:00:00,Arsenal,Coventry City,Arsenal,Coventry,0,1772.087826511238,1500.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,272.08782651123806,,,,,,,,,,,,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,,,,,,,,
2,2026-27,2026-08-22 12:30:00,Hull City,Manchester United,Hull,Man United,0,1429.5777866721103,1656.7749835881332,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-227.1971969160229,,,,,,,,,,,,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,,,,,,,,
3,2026-27,2026-08-22 15:00:00,Everton,Crystal Palace,Everton,Crystal Palace,0,1551.038352677601,1547.084407386291,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,3.953945291309992,,,,,,,,,,,,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,,,,,,,,
4,2026-27,2026-08-22 15:00:00,Ipswich Town,Sunderland,Ipswich,Sunderland,0,1409.6167382576646,1512.942699044239,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-103.32596078657434,,,,,,,,,,,,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,,,,,,,,
5,2026-27,2026-08-22 15:00:00,Nottingham Forest,Leeds United,Nott'm Forest,Leeds,0,1556.8995935152986,1527.6972835331264,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,29.20230998217221,,,,,,,,,,,,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,,,,,,,,
6,2026-27,2026-08-22 17:30:00,Brentford,Tottenham Hotspur,Brentford,Tottenham,0,1581.8731240193629,1497.1490797033634,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,84.72404431599944,,,,,,,,,,,,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,,,,,,,,
7,2026-27,2026-08-23 14:00:00,Brighton & Hove Albion,Aston Villa,Brighton,Aston Villa,0,1590.2903879188664,1644.547933278782,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-54.25754535991564,,,,,,,,,,,,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,,,,,,,,
8,2026-27,2026-08-23 14:00:00,Manchester City,AFC Bournemouth,Man City,Bournemouth,0,1751.6862784316547,1622.8718942785044,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,128.81438415315029,,,,,,,,,,,,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,,,,,,,,
9,2026-27,2026-08-23 16:30:00,Newcastle United,Liverpool,Newcastle,Liverpool,0,1574.763995338602,1662.7598159309541,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-87.99582059235217,,,,,,,,,,,,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,,,,,,,,
10,2026-27,2026-08-24 20:00:00,Fulham,Chelsea,Fulham,Chelsea,0,1561.568396097986,1588.2787937207445,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,-26.71039762275859,,,,,,,,,,,,,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,,,,,,,,
