FixtureNumber,Season,Kickoff,OfficialHomeTeam,OfficialAwayTeam,HomeTeam,AwayTeam,ResultsAvailableBeforeFixture,HomeExpectedGoals,AwayExpectedGoals,Probability_H,Probability_D,Probability_A,ModalHomeGoals,ModalAwayGoals,ModalScoreProbability,MostLikelyOutcome,MostLikelyOutcomeProbability,ModelFavourite,ForecastGeneratedUTC
11,2026-27,2026-08-28 20:00:00,Crystal Palace,Manchester City,Crystal Palace,Man City,10,1.0552256537436373,1.9917362845894115,0.19534602346800264,0.21380491211128927,0.5908490644207081,1,1,0.09983938579890632,A,0.5908490644207081,Manchester City,2026-08-28T13:35:49.098142+00:00
12,2026-27,2026-08-29 12:30:00,Liverpool,Nottingham Forest,Liverpool,Nott'm Forest,10,1.806303397025254,1.021098048340934,0.5578399120027255,0.23020655857990063,0.21195352941737394,1,1,0.10912762567578682,H,0.5578399120027255,Liverpool,2026-08-28T13:35:49.098142+00:00
13,2026-27,2026-08-29 15:00:00,AFC Bournemouth,Everton,Bournemouth,Everton,10,1.6038158450520863,1.3569698844657627,0.4330716763187283,0.24280482631677022,0.32412349736450163,1,1,0.11268661952359796,H,0.4330716763187283,AFC Bournemouth,2026-08-28T13:35:49.098142+00:00
14,2026-27,2026-08-29 15:00:00,Coventry City,Hull City,Coventry,Hull,10,1.5837535631163953,1.1938782317286112,0.46391961377427143,0.24851475054848166,0.2875656356772469,1,1,0.11758120505119962,H,0.46391961377427143,Coventry City,2026-08-28T13:35:49.098142+00:00
15,2026-27,2026-08-29 17:30:00,Tottenham Hotspur,Newcastle United,Tottenham,Newcastle,10,1.2098916925992622,1.6446816748129118,0.281252049533673,0.24346048093432318,0.4752874695320038,1,1,0.11457859557163813,A,0.4752874695320038,Newcastle United,2026-08-28T13:35:49.098142+00:00
16,2026-27,2026-08-30 14:00:00,Chelsea,Brighton & Hove Albion,Chelsea,Brighton,10,1.4556481285049443,1.4813323734285326,0.37132686861064457,0.24594233763854834,0.38273079375080704,1,1,0.11433913087706768,A,0.38273079375080704,Brighton & Hove Albion,2026-08-28T13:35:49.098142+00:00
17,2026-27,2026-08-30 14:00:00,Leeds United,Brentford,Leeds,Brentford,10,1.284752437500589,1.4660445605128192,0.33151864374342455,0.254204463014717,0.4142768932418587,1,1,0.12031254379496777,A,0.4142768932418587,Brentford,2026-08-28T13:35:49.098142+00:00
18,2026-27,2026-08-30 14:00:00,Sunderland,Fulham,Sunderland,Fulham,10,1.372839147775979,1.508001740184723,0.3457214240088692,0.24806883815623737,0.40620973783489345,1,1,0.11611505989399669,A,0.40620973783489345,Fulham,2026-08-28T13:35:49.098142+00:00
19,2026-27,2026-08-30 16:30:00,Manchester United,Ipswich Town,Man United,Ipswich,10,2.019836369117432,0.9099464503259781,0.6315140267636423,0.20702754812010699,0.1614584251162508,2,0,0.1089476383695304,H,0.6315140267636423,Manchester United,2026-08-28T13:35:49.098142+00:00
20,2026-27,2026-08-31 20:00:00,Aston Villa,Arsenal,Aston Villa,Arsenal,10,1.1776801902689034,2.014656459769944,0.218588334615831,0.21407080048476204,0.5673408648994072,1,2,0.09817232242636657,A,0.5673408648994072,Arsenal,2026-08-28T13:35:49.098142+00:00
