OfficialHomeTeam,OfficialAwayTeam,OutcomeCode,Outcome,ModelProbability,MarketProbability,QuotedDecimalOdds,ModelMinusMarket,ModelFairOdds,ModelExpectedReturn,QuotedToFairOddsRatio,DisagreementDirection,MaterialPositiveDisagreement,WatchlistClassification,QuotedBreakEvenProbability,ModelMinusBreakEvenProbability,RelativeProbabilityDifference
Arsenal,Coventry City,H,Arsenal,0.7061228364451766,0.8217203267617923,1.1666666667,-0.1155974903166157,1.4161841940055142,-0.1761900241237565,0.8238099758762436,Market higher,False,Below material threshold,0.8571428571183672,-0.15102002067319065,-0.14067741365503073
Arsenal,Coventry City,D,Draw,0.16820953207203226,0.12782316194437535,7.5,0.04038637012765692,5.944966302930863,0.261571490540242,1.261571490540242,Model higher,False,Below material threshold,0.13333333333333333,0.03487619873869893,0.31595502343489046
Arsenal,Coventry City,A,Coventry City,0.1256676314827911,0.05045651129383238,19.0,0.0752111201889587,7.957498587350553,1.3876849981730306,2.3876849981730306,Model higher,True,Longshot-sensitive,0.05263157894736842,0.07303605253542267,1.49061277247189
Hull City,Manchester United,H,Hull City,0.17943784588985973,0.130843653250774,7.4,0.04859419263908574,5.572960347583572,0.327840059584962,1.327840059584962,Model higher,False,Below material threshold,0.13513513513513511,0.04430271075472461,0.3713912859491202
Hull City,Manchester United,D,Draw,0.20788529170753275,0.21048761609907124,4.6,-0.0026023243915384853,4.81034512728716,-0.0437276581453494,0.9562723418546505,Market higher,False,Below material threshold,0.2173913043478261,-0.009506012640293354,-0.012363313527735675
Hull City,Manchester United,A,Manchester United,0.6126768624026077,0.6586687306501549,1.47,-0.045991868247547196,1.6321817606731672,-0.09936501226816674,0.9006349877318333,Market higher,False,Below material threshold,0.6802721088435374,-0.06759524644092973,-0.06982549209850875
Everton,Crystal Palace,H,Everton,0.3931988414458506,0.44851593990472693,2.15,-0.055317098458876335,2.543242488515102,-0.15462249089142122,0.8453775091085787,Market higher,False,Below material threshold,0.46511627906976744,-0.07191743762391684,-0.12333362883519083
Everton,Crystal Palace,D,Draw,0.24748231513493157,0.2678636863319897,3.6,-0.02038137119705813,4.040692764065921,-0.10906366551424629,0.8909363344857538,Market higher,False,Below material threshold,0.2777777777777778,-0.030295462642846216,-0.07608859370283394
Everton,Crystal Palace,A,Crystal Palace,0.3593188434192179,0.28362037376328325,3.4,0.07569846965593463,2.7830435790234866,0.22168406762534087,1.2216840676253409,Model higher,True,Primary watchlist,0.29411764705882354,0.06520119636039434,0.2669006766034181
Ipswich Town,Sunderland,H,Ipswich Town,0.2759740544000232,0.3488555643251776,2.75,-0.07288150992515441,3.6235290385323844,-0.2410713503999362,0.7589286496000638,Market higher,False,Below material threshold,0.36363636363636365,-0.08766230923634044,-0.20891600243251274
