FixtureNumber,Season,Kickoff,OfficialHomeTeam,OfficialAwayTeam,HomeExpectedGoals,AwayExpectedGoals,ExpectedTotalGoals,ExpectedGoalDifference,Probability_H,Probability_D,Probability_A,ModelFavourite,MostLikelyOutcomeProbability,Confidence,FavouriteProbabilityMargin,NormalisedEntropy,ModalScoreline,ModalScoreProbability,MarketOdds_H,MarketOdds_D,MarketOdds_A,MarketProbability_H,MarketProbability_D,MarketProbability_A,MarketFavourite,ModelMarketFavouriteAgree,ModelMinusMarket_H,ModelMinusMarket_D,ModelMinusMarket_A,TotalVariationDistance,LargestDisagreement,HasPrimaryWatchlistOutcome,PrimaryWatchlist,HasLongshotSensitiveOutcome,LongshotSensitive
1,2026-27,2026-08-21 20:00:00,Arsenal,Coventry City,2.4698778230622414,0.9510286681931842,3.4209064912554257,1.518849154869057,0.7061228364451766,0.16820953207203226,0.1256676314827911,Arsenal,0.7061228364451766,Strong,0.5379133043731443,0.7338320479388316,2-0,0.09969289395173846,1.1666666667,7.5,19.0,0.8217203267617923,0.12782316194437535,0.05045651129383238,Arsenal,True,-0.1155974903166157,0.04038637012765692,0.0752111201889587,0.11559749031661566,Home: Market higher (-11.6%),False,,True,Coventry City (+7.5%)
2,2026-27,2026-08-22 12:30:00,Hull City,Manchester United,1.010234115156883,2.044849947555158,3.055084062712041,-1.034615832398275,0.17943784588985973,0.20788529170753275,0.6126768624026077,Manchester United,0.6126768624026077,Strong,0.4047915706950749,0.8510390340059941,1-2,0.09952064935005368,7.4,4.6,1.47,0.130843653250774,0.21048761609907124,0.6586687306501549,Manchester United,True,0.04859419263908574,-0.0026023243915384853,-0.045991868247547196,0.04859419263908571,Home: Model higher (+4.9%),False,,False,
3,2026-27,2026-08-22 15:00:00,Everton,Crystal Palace,1.4887342548619722,1.4128248462912851,2.901559101153257,0.07590940857068706,0.3931988414458506,0.24748231513493157,0.3593188434192179,Everton,0.3931988414458506,Low,0.03387999802663272,0.983417746787364,1-1,0.11555127869116241,2.15,3.6,3.4,0.44851593990472693,0.2678636863319897,0.28362037376328325,Everton,True,-0.055317098458876335,-0.02038137119705813,0.07569846965593463,0.07569846965593455,Away: Model higher (+7.6%),True,Crystal Palace (+7.6%),False,
4,2026-27,2026-08-22 15:00:00,Ipswich Town,Sunderland,1.1712370886215957,1.619442998766754,2.79068008738835,-0.4482059101451583,0.2759740544000232,0.24613129074108933,0.47789465485888755,Sunderland,0.47789465485888755,Moderate,0.20192060045886434,0.9586749385642246,1-1,0.11642172790613556,2.75,3.4,2.6,0.3488555643251776,0.28216258879242306,0.3689818468823994,Sunderland,True,-0.07288150992515441,-0.03603129805133373,0.10891280797648817,0.10891280797648815,Away: Model higher (+10.9%),True,Sunderland (+10.9%),False,
5,2026-27,2026-08-22 15:00:00,Nottingham Forest,Leeds United,1.545059640525012,1.352762407306895,2.897822047831907,0.1922972332181172,0.41958623988729427,0.24659641371070312,0.3338173464020026,Nottingham Forest,0.41958623988729427,Low,0.08576889348529165,0.9793189760314374,1-1,0.11525480907475855,2.25,3.6,3.2,0.4295302013422818,0.2684563758389262,0.3020134228187919,Nottingham Forest,True,-0.009943961454987549,-0.021859962128223054,0.031803923583210714,0.03180392358321066,Away: Model higher (+3.2%),False,,False,
6,2026-27,2026-08-22 17:30:00,Brentford,Tottenham Hotspur,1.6908616873126456,1.2356609646386607,2.9265226519513066,0.4552007226739849,0.4806340679475555,0.2395178895224746,0.27984804252996986,Brentford,0.4806340679475555,Moderate,0.2007860254175856,0.956503497175442,1-1,0.1119529548762035,2.35,3.6,2.9,0.40598872253548507,0.2650204160995528,0.3289908613649621,Brentford,True,0.07464534541207041,-0.02550252657707819,-0.04914281883499222,0.07464534541207041,Home: Model higher (+7.5%),True,Brentford (+7.5%),False,
7,2026-27,2026-08-23 14:00:00,Brighton & Hove Albion,Aston Villa,1.4183219142638663,1.596047166181201,3.0143690804450674,-0.17772525191733468,0.3403915926787279,0.2413117149259849,0.4182966923952872,Aston Villa,0.4182966923952872,Low,0.07790509971655935,0.9780183611416682,1-1,0.11109570022886658,2.3,3.8,3.0,0.4215976331360947,0.2551775147928994,0.3232248520710059,Brighton & Hove Albion,False,-0.08120604045736685,-0.013865799866914497,0.09507184032428134,0.09507184032428134,Away: Model higher (+9.5%),True,Aston Villa (+9.5%),False,
8,2026-27,2026-08-23 14:00:00,Manchester City,AFC Bournemouth,2.0187815688172557,1.223374728556225,3.242156297373481,0.7954068402610306,0.5578474175285405,0.21433354299879426,0.22781903947266519,Manchester City,0.5578474175285405,Moderate,0.3300283780558753,0.9036041786002114,2-1,0.09742301064366254,1.4444444444,5.25,6.5,0.6678445229750233,0.18374558303509342,0.14840989398988316,Manchester City,True,-0.10999710544648278,0.03058795996370084,0.07940914548278202,0.10999710544648282,Home: Market higher (-11.0%),True,AFC Bournemouth (+7.9%),False,
9,2026-27,2026-08-23 16:30:00,Newcastle United,Liverpool,1.3423624351161538,1.686076526593769,3.0284389617099228,-0.3437140914776151,0.3061297681014825,0.23789131040499098,0.4559789214935266,Liverpool,0.4559789214935266,Moderate,0.14984915339204408,0.9667306178543081,1-1,0.10952507440496762,3.45,4.0,2.1,0.28527763627101377,0.24605196128374934,0.46867040244523683,Liverpool,True,0.020852131830468745,-0.008160650878758363,-0.012691480951710243,0.020852131830468676,Home: Model higher (+2.1%),False,,False,
10,2026-27,2026-08-24 20:00:00,Fulham,Chelsea,1.4408822340134677,1.5002580302341202,2.941140264247588,-0.05937579622065248,0.3640047931691679,0.24564690364961095,0.390348303181221,Chelsea,0.390348303181221,Low,0.026343510012053095,0.9829852675821114,1-1,0.11414946012418094,3.2,3.8,2.2,0.3033381712626996,0.25544267053701014,0.4412191582002903,Chelsea,True,0.06066662190646832,-0.009795766887399193,-0.050870855019069294,0.060666621906468404,Home: Model higher (+6.1%),True,Fulham (+6.1%),False,
