FixtureNumber,Season,Kickoff,OfficialHomeTeam,OfficialAwayTeam,HomeTeam,AwayTeam,HomeExpectedGoals,AwayExpectedGoals,Probability_H,Probability_D,Probability_A,ModalHomeGoals,ModalAwayGoals,ModalScoreProbability,MostLikelyOutcome,MostLikelyOutcomeProbability,ModelFavourite,ModalScoreline
1,2026-27,2026-08-21 20:00:00,Arsenal,Coventry City,Arsenal,Coventry,2.4698778230622414,0.9510286681931842,0.7061228364451766,0.16820953207203226,0.1256676314827911,2,0,0.09969289395173846,H,0.7061228364451766,Arsenal,2-0
2,2026-27,2026-08-22 12:30:00,Hull City,Manchester United,Hull,Man United,1.010234115156883,2.044849947555158,0.17943784588985973,0.20788529170753275,0.6126768624026077,1,2,0.09952064935005368,A,0.6126768624026077,Manchester United,1-2
3,2026-27,2026-08-22 15:00:00,Everton,Crystal Palace,Everton,Crystal Palace,1.4887342548619722,1.4128248462912851,0.3931988414458506,0.24748231513493157,0.3593188434192179,1,1,0.11555127869116241,H,0.3931988414458506,Everton,1-1
4,2026-27,2026-08-22 15:00:00,Ipswich Town,Sunderland,Ipswich,Sunderland,1.1712370886215957,1.619442998766754,0.2759740544000232,0.24613129074108933,0.47789465485888755,1,1,0.11642172790613556,A,0.47789465485888755,Sunderland,1-1
5,2026-27,2026-08-22 15:00:00,Nottingham Forest,Leeds United,Nott'm Forest,Leeds,1.545059640525012,1.352762407306895,0.41958623988729427,0.24659641371070312,0.3338173464020026,1,1,0.11525480907475855,H,0.41958623988729427,Nottingham Forest,1-1
6,2026-27,2026-08-22 17:30:00,Brentford,Tottenham Hotspur,Brentford,Tottenham,1.6908616873126456,1.2356609646386607,0.4806340679475555,0.2395178895224746,0.27984804252996986,1,1,0.1119529548762035,H,0.4806340679475555,Brentford,1-1
7,2026-27,2026-08-23 14:00:00,Brighton & Hove Albion,Aston Villa,Brighton,Aston Villa,1.4183219142638663,1.596047166181201,0.3403915926787279,0.2413117149259849,0.4182966923952872,1,1,0.11109570022886658,A,0.4182966923952872,Aston Villa,1-1
8,2026-27,2026-08-23 14:00:00,Manchester City,AFC Bournemouth,Man City,Bournemouth,2.0187815688172557,1.223374728556225,0.5578474175285405,0.21433354299879426,0.22781903947266519,2,1,0.09742301064366254,H,0.5578474175285405,Manchester City,2-1
9,2026-27,2026-08-23 16:30:00,Newcastle United,Liverpool,Newcastle,Liverpool,1.3423624351161538,1.686076526593769,0.3061297681014825,0.23789131040499098,0.4559789214935266,1,1,0.10952507440496762,A,0.4559789214935266,Liverpool,1-1
10,2026-27,2026-08-24 20:00:00,Fulham,Chelsea,Fulham,Chelsea,1.4408822340134677,1.5002580302341202,0.3640047931691679,0.24564690364961095,0.390348303181221,1,1,0.11414946012418094,A,0.390348303181221,Chelsea,1-1
