OfficialHomeTeam,OfficialAwayTeam,MarketOdds_H,MarketOdds_D,MarketOdds_A,MarketSource
Arsenal,Coventry City,1.1666666667,7.5,19.0,Oddschecker best odds
Hull City,Manchester United,7.4,4.6,1.47,Oddschecker best odds
Everton,Crystal Palace,2.15,3.6,3.4,Oddschecker best odds
Ipswich Town,Sunderland,2.75,3.4,2.6,Oddschecker best odds
Nottingham Forest,Leeds United,2.25,3.6,3.2,Oddschecker best odds
Brentford,Tottenham Hotspur,2.35,3.6,2.9,Oddschecker best odds
Brighton & Hove Albion,Aston Villa,2.3,3.8,3.0,Oddschecker best odds
Manchester City,AFC Bournemouth,1.4444444444,5.25,6.5,Oddschecker best odds
Newcastle United,Liverpool,3.45,4.0,2.1,Oddschecker best odds
Fulham,Chelsea,3.2,3.8,2.2,Oddschecker best odds
