FixtureNumber,Season,Kickoff,OfficialHomeTeam,OfficialAwayTeam,HomeTeam,AwayTeam,HomeExpectedGoals,AwayExpectedGoals,Probability_H,Probability_D,Probability_A,ModalHomeGoals,ModalAwayGoals,ModalScoreProbability,MostLikelyOutcome,MostLikelyOutcomeProbability,ModelFavourite,ModalScoreline,MarketOdds_H,MarketOdds_D,MarketOdds_A,MarketSource,MarketSnapshotDate,RawMarketProbability_H,RawMarketProbability_D,RawMarketProbability_A,MarketOverround,MarketProbability_H,MarketProbability_D,MarketProbability_A,ModelMinusMarket_H,ModelMinusMarket_D,ModelMinusMarket_A,TotalVariationDistance,LargestDisagreementOutcome,LargestAbsoluteDisagreement,LargestSignedDisagreement,MarketFavouriteOutcome,MarketFavourite,ModelMarketFavouriteAgree
1,2026-27,2026-08-21 20:00:00,Arsenal,Coventry City,Arsenal,Coventry,2.4698778230622414,0.9510286681931842,0.7061228364451766,0.16820953207203226,0.1256676314827911,2,0,0.09969289395173846,H,0.7061228364451766,Arsenal,2-0,1.1666666667,7.5,19.0,Oddschecker best odds,2026-08-09,0.8571428571183672,0.13333333333333333,0.05263157894736842,0.04310776939906891,0.8217203267617923,0.12782316194437535,0.05045651129383238,-0.1155974903166157,0.04038637012765692,0.0752111201889587,0.11559749031661566,H,0.1155974903166157,-0.1155974903166157,H,Arsenal,True
2,2026-27,2026-08-22 12:30:00,Hull City,Manchester United,Hull,Man United,1.010234115156883,2.044849947555158,0.17943784588985973,0.20788529170753275,0.6126768624026077,1,2,0.09952064935005368,A,0.6126768624026077,Manchester United,1-2,7.4,4.6,1.47,Oddschecker best odds,2026-08-09,0.13513513513513511,0.2173913043478261,0.6802721088435374,0.03279854832649853,0.130843653250774,0.21048761609907124,0.6586687306501549,0.04859419263908574,-0.0026023243915384853,-0.045991868247547196,0.04859419263908571,H,0.04859419263908574,0.04859419263908574,A,Manchester United,True
3,2026-27,2026-08-22 15:00:00,Everton,Crystal Palace,Everton,Crystal Palace,1.4887342548619722,1.4128248462912851,0.3931988414458506,0.24748231513493157,0.3593188434192179,1,1,0.11555127869116241,H,0.3931988414458506,Everton,1-1,2.15,3.6,3.4,Oddschecker best odds,2026-08-09,0.46511627906976744,0.2777777777777778,0.29411764705882354,0.037011703906368876,0.44851593990472693,0.2678636863319897,0.28362037376328325,-0.055317098458876335,-0.02038137119705813,0.07569846965593463,0.07569846965593455,A,0.07569846965593463,0.07569846965593463,H,Everton,True
4,2026-27,2026-08-22 15:00:00,Ipswich Town,Sunderland,Ipswich,Sunderland,1.1712370886215957,1.619442998766754,0.2759740544000232,0.24613129074108933,0.47789465485888755,1,1,0.11642172790613556,A,0.47789465485888755,Sunderland,1-1,2.75,3.4,2.6,Oddschecker best odds,2026-08-09,0.36363636363636365,0.29411764705882354,0.3846153846153846,0.04236939531057171,0.3488555643251776,0.28216258879242306,0.3689818468823994,-0.07288150992515441,-0.03603129805133373,0.10891280797648817,0.10891280797648815,A,0.10891280797648817,0.10891280797648817,A,Sunderland,True
5,2026-27,2026-08-22 15:00:00,Nottingham Forest,Leeds United,Nott'm Forest,Leeds,1.545059640525012,1.352762407306895,0.41958623988729427,0.24659641371070312,0.3338173464020026,1,1,0.11525480907475855,H,0.41958623988729427,Nottingham Forest,1-1,2.25,3.6,3.2,Oddschecker best odds,2026-08-09,0.4444444444444444,0.2777777777777778,0.3125,0.03472222222222232,0.4295302013422818,0.2684563758389262,0.3020134228187919,-0.009943961454987549,-0.021859962128223054,0.031803923583210714,0.03180392358321066,A,0.031803923583210714,0.031803923583210714,H,Nottingham Forest,True
6,2026-27,2026-08-22 17:30:00,Brentford,Tottenham Hotspur,Brentford,Tottenham,1.6908616873126456,1.2356609646386607,0.4806340679475555,0.2395178895224746,0.27984804252996986,1,1,0.1119529548762035,H,0.4806340679475555,Brentford,1-1,2.35,3.6,2.9,Oddschecker best odds,2026-08-09,0.425531914893617,0.2777777777777778,0.3448275862068966,0.048137278878291445,0.40598872253548507,0.2650204160995528,0.3289908613649621,0.07464534541207041,-0.02550252657707819,-0.04914281883499222,0.07464534541207041,H,0.07464534541207041,0.07464534541207041,H,Brentford,True
7,2026-27,2026-08-23 14:00:00,Brighton & Hove Albion,Aston Villa,Brighton,Aston Villa,1.4183219142638663,1.596047166181201,0.3403915926787279,0.2413117149259849,0.4182966923952872,1,1,0.11109570022886658,A,0.4182966923952872,Aston Villa,1-1,2.3,3.8,3.0,Oddschecker best odds,2026-08-09,0.4347826086956522,0.2631578947368421,0.3333333333333333,0.03127383676582762,0.4215976331360947,0.2551775147928994,0.3232248520710059,-0.08120604045736685,-0.013865799866914497,0.09507184032428134,0.09507184032428134,A,0.09507184032428134,0.09507184032428134,H,Brighton & Hove Albion,False
8,2026-27,2026-08-23 14:00:00,Manchester City,AFC Bournemouth,Man City,Bournemouth,2.0187815688172557,1.223374728556225,0.5578474175285405,0.21433354299879426,0.22781903947266519,2,1,0.09742301064366254,H,0.5578474175285405,Manchester City,2-1,1.4444444444,5.25,6.5,Oddschecker best odds,2026-08-09,0.6923076923289941,0.19047619047619047,0.15384615384615385,0.03663003665133857,0.6678445229750233,0.18374558303509342,0.14840989398988316,-0.10999710544648278,0.03058795996370084,0.07940914548278202,0.10999710544648282,H,0.10999710544648278,-0.10999710544648278,H,Manchester City,True
9,2026-27,2026-08-23 16:30:00,Newcastle United,Liverpool,Newcastle,Liverpool,1.3423624351161538,1.686076526593769,0.3061297681014825,0.23789131040499098,0.4559789214935266,1,1,0.10952507440496762,A,0.4559789214935266,Liverpool,1-1,3.45,4.0,2.1,Oddschecker best odds,2026-08-09,0.2898550724637681,0.25,0.47619047619047616,0.016045548654244346,0.28527763627101377,0.24605196128374934,0.46867040244523683,0.020852131830468745,-0.008160650878758363,-0.012691480951710243,0.020852131830468676,H,0.020852131830468745,0.020852131830468745,A,Liverpool,True
10,2026-27,2026-08-24 20:00:00,Fulham,Chelsea,Fulham,Chelsea,1.4408822340134677,1.5002580302341202,0.3640047931691679,0.24564690364961095,0.390348303181221,1,1,0.11414946012418094,A,0.390348303181221,Chelsea,1-1,3.2,3.8,2.2,Oddschecker best odds,2026-08-09,0.3125,0.2631578947368421,0.45454545454545453,0.03020334928229662,0.3033381712626996,0.25544267053701014,0.4412191582002903,0.06066662190646832,-0.009795766887399193,-0.050870855019069294,0.060666621906468404,H,0.06066662190646832,0.06066662190646832,A,Chelsea,True
