Model,CalibrationMethod,EvaluationSeason,Outcome,PredictedProbability,ObservedIndicator,CalibrationBin
Independent Poisson,Original,2021-22,H,0.2790291873343766,1,2
Independent Poisson,Original,2021-22,H,0.4063257446543319,0,4
Independent Poisson,Original,2021-22,H,0.6221283443778529,1,6
Independent Poisson,Original,2021-22,H,0.5006519669450666,1,5
Independent Poisson,Original,2021-22,H,0.5212647374703454,1,5
Independent Poisson,Original,2021-22,H,0.5287078103034064,1,5
Independent Poisson,Original,2021-22,H,0.0873940361789452,0,0
Independent Poisson,Original,2021-22,H,0.2416420516265232,1,2
Independent Poisson,Original,2021-22,H,0.3162434707761377,0,3
Independent Poisson,Original,2021-22,H,0.2526648406088871,1,2
Independent Poisson,Original,2021-22,H,0.3861848545091577,1,3
Independent Poisson,Original,2021-22,H,0.4118270384115275,1,4
Independent Poisson,Original,2021-22,H,0.3402115186591579,0,3
Independent Poisson,Original,2021-22,H,0.343136200511122,0,3
Independent Poisson,Original,2021-22,H,0.7465418623384988,1,7
Independent Poisson,Original,2021-22,H,0.8154754940785869,1,8
Independent Poisson,Original,2021-22,H,0.3186054064833409,0,3
Independent Poisson,Original,2021-22,H,0.1840677694760579,0,1
Independent Poisson,Original,2021-22,H,0.2639372474038122,0,2
Independent Poisson,Original,2021-22,H,0.4002744009259218,1,4
Independent Poisson,Original,2021-22,H,0.3433599688626081,0,3
Independent Poisson,Original,2021-22,H,0.3940584022343101,0,3
Independent Poisson,Original,2021-22,H,0.5323277376924758,0,5
Independent Poisson,Original,2021-22,H,0.6352233248771211,1,6
Independent Poisson,Original,2021-22,H,0.3712332200905113,0,3
Independent Poisson,Original,2021-22,H,0.1341385065800394,0,1
Independent Poisson,Original,2021-22,H,0.6295862586851397,0,6
Independent Poisson,Original,2021-22,H,0.3160573786682966,0,3
Independent Poisson,Original,2021-22,H,0.6010210118079504,1,6
Independent Poisson,Original,2021-22,H,0.1951013118510588,0,1
Independent Poisson,Original,2021-22,H,0.6381091651074859,1,6
Independent Poisson,Original,2021-22,H,0.4078154948472998,0,4
Independent Poisson,Original,2021-22,H,0.6665942538716982,1,6
Independent Poisson,Original,2021-22,H,0.203748583726631,1,2
Independent Poisson,Original,2021-22,H,0.2271082573138156,0,2
Independent Poisson,Original,2021-22,H,0.7222506268791028,1,7
Independent Poisson,Original,2021-22,H,0.2357452652081118,0,2
Independent Poisson,Original,2021-22,H,0.3747148556013012,0,3
Independent Poisson,Original,2021-22,H,0.1911792115609699,0,1
Independent Poisson,Original,2021-22,H,0.5469751942600755,1,5
Independent Poisson,Original,2021-22,H,0.2999643295106681,0,2
Independent Poisson,Original,2021-22,H,0.2532364738905895,1,2
Independent Poisson,Original,2021-22,H,0.2629104157586571,0,2
Independent Poisson,Original,2021-22,H,0.7414870942519959,1,7
Independent Poisson,Original,2021-22,H,0.7559201893087921,0,7
Independent Poisson,Original,2021-22,H,0.2343110729160343,0,2
