Model,CalibrationMethod,Outcome,Forecasts,ExpectedCalibrationError,MaximumCalibrationError,SignedCalibrationError
Direct Probability Ensemble,Isotonic,A,1520,0.057252458193784765,0.10184915627459934,-0.057252458193784765
Direct Probability Ensemble,Isotonic,D,1520,0.014678556348685172,0.19768875384024104,0.007891774142292257
Direct Probability Ensemble,Isotonic,H,1520,0.04936068405149247,0.09190734325776934,0.04936068405149247
Direct Probability Ensemble,Original,A,1520,0.016412521526963292,0.19513726818943977,0.002713183653985909
Direct Probability Ensemble,Original,D,1520,0.020587914787603533,0.05939279931753727,0.007542885644606605
Direct Probability Ensemble,Original,H,1520,0.03158561236525573,0.08270433566204745,-0.01025606929859248
Direct Probability Ensemble,Sigmoid,A,1520,0.059125414976739274,0.12133716487491208,-0.05313700582184204
Direct Probability Ensemble,Sigmoid,D,1520,0.006761237347586739,0.016835961871391247,0.006761237347586739
Direct Probability Ensemble,Sigmoid,H,1520,0.05194984238242221,0.19935891344171097,0.04637576847425527
Independent Poisson,Isotonic,A,1520,0.05639674772607715,0.23797321232828395,-0.05639674772607715
Independent Poisson,Isotonic,D,1520,0.020556461758380884,0.5124503172000149,0.013147741535845803
Independent Poisson,Isotonic,H,1520,0.043249006190231316,0.12489156197002171,0.043249006190231316
Independent Poisson,Original,A,1520,0.011479188073149845,0.10581141439480213,-0.0025086410100548517
Independent Poisson,Original,D,1520,0.011254816159306236,0.3093868713779861,0.009338955031556153
Independent Poisson,Original,H,1520,0.023485478923520063,0.0682358693272711,-0.00683031402150123
Independent Poisson,Sigmoid,A,1520,0.060814854788128765,0.31035925788213237,-0.05160630065596761
Independent Poisson,Sigmoid,D,1520,0.008391767299284073,0.09158735300929716,0.008030238274247373
Independent Poisson,Sigmoid,H,1520,0.051017507059266914,0.16991160427147145,0.043576062381720224
Tuned Random Forest,Isotonic,A,1520,0.057279323122357166,0.4230769230760001,-0.057279323122357166
Tuned Random Forest,Isotonic,D,1520,0.015167322103069411,0.5888869549237352,0.009243438433514717
Tuned Random Forest,Isotonic,H,1520,0.048035884688842484,0.18465857092278315,0.048035884688842484
Tuned Random Forest,Original,A,1520,0.011428454874376475,0.8032551373299919,-0.001580630849686414
Tuned Random Forest,Original,D,1520,0.018789741152452095,0.09111053400595669,0.006968665832459329
Tuned Random Forest,Original,H,1520,0.029341495921517746,0.9016641637882887,-0.005388034982772963
Tuned Random Forest,Sigmoid,A,1520,0.0547029772434164,0.11777275830244194,-0.0547029772434164
Tuned Random Forest,Sigmoid,D,1520,0.007256362165726353,0.007448181328124526,0.007256362165726353
Tuned Random Forest,Sigmoid,H,1520,0.0488624726955919,0.16073171288900512,0.04744661507769006
