Model,CalibrationMethod,Outcome,CalibrationBin,Forecasts,MeanPredictedProbability,ObservedFrequency,CalibrationGap,AbsoluteCalibrationGap,BinLowerBound,BinUpperBound
Direct Probability Ensemble,Isotonic,A,0,7,0.0112883863802777,0.0,-0.0112883863802777,0.0112883863802777,0.0,0.1
Direct Probability Ensemble,Isotonic,A,1,247,0.1650101546984078,0.12955465587044535,-0.03545549882796245,0.03545549882796245,0.1,0.2
Direct Probability Ensemble,Isotonic,A,2,443,0.24870587850144424,0.20316027088036118,-0.04554560762108306,0.04554560762108306,0.2,0.3
Direct Probability Ensemble,Isotonic,A,3,140,0.3569709349552236,0.2571428571428571,-0.09982807781236647,0.09982807781236647,0.3,0.4
Direct Probability Ensemble,Isotonic,A,4,299,0.4627743634115312,0.4280936454849498,-0.034680717926581395,0.034680717926581395,0.4,0.5
Direct Probability Ensemble,Isotonic,A,5,171,0.5392949514756493,0.4444444444444444,-0.0948505070312049,0.0948505070312049,0.5,0.6
Direct Probability Ensemble,Isotonic,A,6,118,0.6611711901729044,0.559322033898305,-0.10184915627459934,0.10184915627459934,0.6,0.7
Direct Probability Ensemble,Isotonic,A,7,91,0.737664014650716,0.6813186813186813,-0.05634533333203462,0.05634533333203462,0.7,0.8
Direct Probability Ensemble,Isotonic,A,8,4,0.8249943333778325,0.75,-0.07499433337783246,0.07499433337783246,0.8,0.9
Direct Probability Ensemble,Isotonic,D,0,20,0.0473980209556979,0.1,0.052601979044302104,0.052601979044302104,0.0,0.1
Direct Probability Ensemble,Isotonic,D,1,291,0.18002770759710757,0.2268041237113402,0.04677641611423264,0.04677641611423264,0.1,0.2
Direct Probability Ensemble,Isotonic,D,2,1182,0.23308843104651852,0.23519458544839256,0.002106154401874033,0.002106154401874033,0.2,0.3
Direct Probability Ensemble,Isotonic,D,3,24,0.32268875384024104,0.125,-0.19768875384024104,0.19768875384024104,0.3,0.4
Direct Probability Ensemble,Isotonic,D,4,3,0.4711414615642775,0.3333333333333333,-0.13780812823094418,0.13780812823094418,0.4,0.5
Direct Probability Ensemble,Isotonic,H,0,130,0.05587999606821273,0.13076923076923078,0.07488923470101805,0.07488923470101805,0.0,0.1
Direct Probability Ensemble,Isotonic,H,1,113,0.13884062422181412,0.20353982300884957,0.06469919878703545,0.06469919878703545,0.1,0.2
Direct Probability Ensemble,Isotonic,H,2,320,0.26160806081924914,0.296875,0.035266939180750856,0.035266939180750856,0.2,0.3
Direct Probability Ensemble,Isotonic,H,3,198,0.33738558603515995,0.4292929292929293,0.09190734325776934,0.09190734325776934,0.3,0.4
