Season,Date,HomeTeam,AwayTeam,Fold,EvaluationSeason,Model,ActualOutcome,PredictedOutcome,Probability_H,Probability_D,Probability_A
2020-21,2020-09-12,Crystal Palace,Southampton,1,2020-21,Tuned Logistic Regression,H,A,0.3477469714576526,0.2719040575892396,0.3803489709531078
2020-21,2020-09-12,Fulham,Arsenal,1,2020-21,Tuned Logistic Regression,A,A,0.2125743250607333,0.2355320161976306,0.551893658741636
2020-21,2020-09-12,Liverpool,Leeds,1,2020-21,Tuned Logistic Regression,H,H,0.764104782493476,0.1637159531585505,0.0721792643479735
2020-21,2020-09-12,West Ham,Newcastle,1,2020-21,Tuned Logistic Regression,A,H,0.3701276759214879,0.2827939383920155,0.3470783856864966
2020-21,2020-09-13,Tottenham,Everton,1,2020-21,Tuned Logistic Regression,A,H,0.5282854317965383,0.2507776762390983,0.2209368919643633
2020-21,2020-09-13,West Brom,Leicester,1,2020-21,Tuned Logistic Regression,A,A,0.2739576485406504,0.2687749402355973,0.4572674112237523
2020-21,2020-09-14,Brighton,Chelsea,1,2020-21,Tuned Logistic Regression,A,A,0.2631712379091529,0.2581504326459696,0.4786783294448775
2020-21,2020-09-14,Sheffield United,Wolves,1,2020-21,Tuned Logistic Regression,A,H,0.3743356874965919,0.2538309825637367,0.3718333299396713
2020-21,2020-09-19,Arsenal,West Ham,1,2020-21,Tuned Logistic Regression,H,H,0.6574593457427771,0.1865084063444588,0.156032247912764
2020-21,2020-09-19,Everton,West Brom,1,2020-21,Tuned Logistic Regression,H,H,0.5283973260156722,0.2569574658830397,0.214645208101288
2020-21,2020-09-19,Leeds,Fulham,1,2020-21,Tuned Logistic Regression,H,H,0.4826272749538544,0.2599046990932174,0.2574680259529281
2020-21,2020-09-19,Man United,Crystal Palace,1,2020-21,Tuned Logistic Regression,A,H,0.5440266909414531,0.3016582938338609,0.1543150152246861
2020-21,2020-09-20,Chelsea,Liverpool,1,2020-21,Tuned Logistic Regression,A,A,0.3431254962959955,0.2563603307055876,0.4005141729984168
2020-21,2020-09-20,Leicester,Burnley,1,2020-21,Tuned Logistic Regression,H,H,0.5362451268630373,0.1843124547176179,0.2794424184193448
2020-21,2020-09-20,Newcastle,Brighton,1,2020-21,Tuned Logistic Regression,A,H,0.4534340127632761,0.2880730616533759,0.258492925583348
2020-21,2020-09-20,Southampton,Tottenham,1,2020-21,Tuned Logistic Regression,A,A,0.3365590062868799,0.2251178589422763,0.4383231347708436
2020-21,2020-09-21,Aston Villa,Sheffield United,1,2020-21,Tuned Logistic Regression,H,A,0.2200046078515223,0.3391786829872213,0.4408167091612563
2020-21,2020-09-21,Wolves,Man City,1,2020-21,Tuned Logistic Regression,A,A,0.3101973558616494,0.1700297915781898,0.5197728525601608
2020-21,2020-09-26,Brighton,Man United,1,2020-21,Tuned Logistic Regression,A,A,0.2547929389479745,0.1764591555425138,0.5687479055095116
2020-21,2020-09-26,Burnley,Southampton,1,2020-21,Tuned Logistic Regression,A,H,0.3892270423396408,0.3284981428971136,0.2822748147632455
2020-21,2020-09-26,Crystal Palace,Everton,1,2020-21,Tuned Logistic Regression,A,A,0.3457401729843851,0.2841067534226018,0.3701530735930131
2020-21,2020-09-26,West Brom,Chelsea,1,2020-21,Tuned Logistic Regression,D,A,0.1910984720407225,0.2385259098279022,0.5703756181313752
2020-21,2020-09-27,Man City,Leicester,1,2020-21,Tuned Logistic Regression,A,H,0.5746101935972208,0.2852537603585929,0.1401360460441863
2020-21,2020-09-27,Sheffield United,Leeds,1,2020-21,Tuned Logistic Regression,A,H,0.3793931763096514,0.3385920139032519,0.2820148097870965
2020-21,2020-09-27,Tottenham,Newcastle,1,2020-21,Tuned Logistic Regression,D,H,0.4844968506509471,0.2838033286247788,0.231699820724274
2020-21,2020-09-27,West Ham,Wolves,1,2020-21,Tuned Logistic Regression,H,A,0.3267528303661367,0.247196244289318,0.4260509253445453
2020-21,2020-09-28,Fulham,Aston Villa,1,2020-21,Tuned Logistic Regression,A,H,0.4021545146525618,0.2113345891711008,0.3865108961763373
2020-21,2020-09-28,Liverpool,Arsenal,1,2020-21,Tuned Logistic Regression,H,H,0.7791291443330487,0.1280796353552902,0.092791220311661
2020-21,2020-10-03,Chelsea,Crystal Palace,1,2020-21,Tuned Logistic Regression,H,H,0.5223403094959881,0.257952214071563,0.2197074764324489
2020-21,2020-10-03,Everton,Brighton,1,2020-21,Tuned Logistic Regression,H,H,0.5514968341502151,0.2490399540446124,0.1994632118051724
2020-21,2020-10-03,Leeds,Man City,1,2020-21,Tuned Logistic Regression,D,A,0.2336693601887551,0.1513626157912982,0.6149680240199465
2020-21,2020-10-03,Newcastle,Burnley,1,2020-21,Tuned Logistic Regression,H,H,0.4259350385501618,0.1771357466603489,0.3969292147894892
2020-21,2020-10-04,Arsenal,Sheffield United,1,2020-21,Tuned Logistic Regression,H,H,0.5619891141254367,0.2311365875311677,0.2068742983433954
2020-21,2020-10-04,Aston Villa,Liverpool,1,2020-21,Tuned Logistic Regression,H,A,0.0743143841106204,0.1783512822443407,0.7473343336450387
2020-21,2020-10-04,Leicester,West Ham,1,2020-21,Tuned Logistic Regression,A,H,0.5667881352178447,0.2356315061641018,0.1975803586180536
2020-21,2020-10-04,Man United,Tottenham,1,2020-21,Tuned Logistic Regression,A,H,0.466221426219753,0.3066011224370111,0.2271774513432358
2020-21,2020-10-04,Southampton,West Brom,1,2020-21,Tuned Logistic Regression,H,H,0.4482410849516495,0.3024327625040404,0.2493261525443101
2020-21,2020-10-04,Wolves,Fulham,1,2020-21,Tuned Logistic Regression,H,H,0.5827170173449965,0.2319365880295454,0.1853463946254581
2020-21,2020-10-17,Chelsea,Southampton,1,2020-21,Tuned Logistic Regression,D,H,0.5324213677006044,0.2631473434252721,0.2044312888741234
2020-21,2020-10-17,Everton,Liverpool,1,2020-21,Tuned Logistic Regression,D,A,0.3460684146456637,0.1694939990938361,0.4844375862605001
2020-21,2020-10-17,Man City,Arsenal,1,2020-21,Tuned Logistic Regression,H,H,0.5486477886813736,0.2729312229951334,0.1784209883234929
2020-21,2020-10-17,Newcastle,Man United,1,2020-21,Tuned Logistic Regression,A,A,0.336443044319975,0.1928122373819179,0.4707447182981069
2020-21,2020-10-18,Crystal Palace,Brighton,1,2020-21,Tuned Logistic Regression,D,H,0.3976128461188316,0.3032474257141599,0.2991397281670084
2020-21,2020-10-18,Leicester,Aston Villa,1,2020-21,Tuned Logistic Regression,A,H,0.6465564424760097,0.1580220519950583,0.1954215055289319
2020-21,2020-10-18,Sheffield United,Fulham,1,2020-21,Tuned Logistic Regression,D,H,0.534017646893224,0.2691231743338879,0.1968591787728881
2020-21,2020-10-18,Tottenham,West Ham,1,2020-21,Tuned Logistic Regression,D,H,0.5349009487062881,0.2713113590197146,0.1937876922739972
2020-21,2020-10-19,Leeds,Wolves,1,2020-21,Tuned Logistic Regression,A,A,0.3498591418901572,0.2742977090549264,0.3758431490549163
2020-21,2020-10-19,West Brom,Burnley,1,2020-21,Tuned Logistic Regression,D,A,0.3800785062451919,0.1865752787632669,0.433346214991541
2020-21,2020-10-23,Aston Villa,Leeds,1,2020-21,Tuned Logistic Regression,A,H,0.3617056457149089,0.3563242581152233,0.2819700961698678
2020-21,2020-10-24,Fulham,Crystal Palace,1,2020-21,Tuned Logistic Regression,A,A,0.3205967292292068,0.2583997724561841,0.4210034983146091
2020-21,2020-10-24,Liverpool,Sheffield United,1,2020-21,Tuned Logistic Regression,H,H,0.8630141974258733,0.0960649917087231,0.0409208108654036
2020-21,2020-10-24,Man United,Chelsea,1,2020-21,Tuned Logistic Regression,D,H,0.3660594675282756,0.3414896171266968,0.2924509153450275
2020-21,2020-10-24,West Ham,Man City,1,2020-21,Tuned Logistic Regression,D,A,0.2181492119642547,0.13746119311327,0.644389594922475
2020-21,2020-10-25,Arsenal,Leicester,1,2020-21,Tuned Logistic Regression,A,H,0.4441649852616461,0.2631197993925521,0.2927152153458017
