Fold,Model,CalibrationMethod,CalibrationTrainingStart,CalibrationTrainingEnd,CalibrationTrainingForecasts,EvaluationSeason,EvaluationFixtures,LogLoss,BrierScore,Accuracy,MeanMaximumProbability
1,Independent Poisson,Original,2020-21,2020-21,380,2021-22,380,0.9659254725450744,0.5749441563754937,0.55,0.5557879554429438
1,Independent Poisson,Sigmoid,2020-21,2020-21,380,2021-22,380,0.9935522806132434,0.5930997089700065,0.4921052631578947,0.5124232521854143
1,Independent Poisson,Isotonic,2020-21,2020-21,380,2021-22,380,1.010760937355274,0.6042313014216882,0.4868421052631579,0.5590302148543583
1,Direct Probability Ensemble,Original,2020-21,2020-21,380,2021-22,380,0.9735396549756891,0.5784215926450551,0.55,0.5530538259677107
1,Direct Probability Ensemble,Sigmoid,2020-21,2020-21,380,2021-22,380,0.9986331191498209,0.5957270474084064,0.5,0.5213272890502377
1,Direct Probability Ensemble,Isotonic,2020-21,2020-21,380,2021-22,380,1.0138911082360598,0.6057933677352018,0.5184210526315789,0.5647421192523213
1,Tuned Random Forest,Original,2020-21,2020-21,380,2021-22,380,0.9721214004862119,0.5762531143104785,0.5473684210526316,0.5549030309412428
1,Tuned Random Forest,Sigmoid,2020-21,2020-21,380,2021-22,380,0.9993179152845568,0.5954662344556142,0.5157894736842106,0.5245417669106887
1,Tuned Random Forest,Isotonic,2020-21,2020-21,380,2021-22,380,0.9909128122906681,0.5916930335161565,0.5342105263157895,0.5565846007315606
2,Independent Poisson,Original,2020-21,2021-22,760,2022-23,380,0.9796753711712658,0.5827400418087424,0.5473684210526316,0.5475038465230304
2,Independent Poisson,Sigmoid,2020-21,2021-22,760,2022-23,380,0.9991773647765378,0.5969534021406274,0.5184210526315789,0.512914318713163
2,Independent Poisson,Isotonic,2020-21,2021-22,760,2022-23,380,1.0084879265816387,0.6003808906745992,0.5236842105263158,0.534037457349191
2,Direct Probability Ensemble,Original,2020-21,2021-22,760,2022-23,380,0.974600207910999,0.5800635007490292,0.5394736842105263,0.54775955568547
2,Direct Probability Ensemble,Sigmoid,2020-21,2021-22,760,2022-23,380,0.9997437150622465,0.596946875674104,0.531578947368421,0.5138967902909571
2,Direct Probability Ensemble,Isotonic,2020-21,2021-22,760,2022-23,380,1.0748647442875556,0.6015421193296436,0.5342105263157895,0.5409272229055433
2,Tuned Random Forest,Original,2020-21,2021-22,760,2022-23,380,0.9777680091767125,0.5814525515862349,0.5394736842105263,0.5515130980452766
2,Tuned Random Forest,Sigmoid,2020-21,2021-22,760,2022-23,380,1.0001640663517823,0.5962842570792742,0.5236842105263158,0.5205964197187816
2,Tuned Random Forest,Isotonic,2020-21,2021-22,760,2022-23,380,1.2630466283286617,0.602264728970537,0.5263157894736842,0.5500212878977813
3,Independent Poisson,Original,2020-21,2022-23,1140,2023-24,380,0.924723928838175,0.5452391749425416,0.5842105263157895,0.56308648110696
3,Independent Poisson,Sigmoid,2020-21,2022-23,1140,2023-24,380,0.9380528536395936,0.5524916262412697,0.5842105263157895,0.5243729238055085
3,Independent Poisson,Isotonic,2020-21,2022-23,1140,2023-24,380,0.9400654857548725,0.552952662841819,0.5868421052631579,0.5478430138175377
3,Direct Probability Ensemble,Original,2020-21,2022-23,1140,2023-24,380,0.9311845847493949,0.5479997978938514,0.5842105263157895,0.560628020680878
3,Direct Probability Ensemble,Sigmoid,2020-21,2022-23,1140,2023-24,380,0.9394489077077434,0.5529639990561428,0.5921052631578947,0.5262225198355317
3,Direct Probability Ensemble,Isotonic,2020-21,2022-23,1140,2023-24,380,1.0044725023861831,0.5511159950970865,0.5868421052631579,0.5486415272008783
3,Tuned Random Forest,Original,2020-21,2022-23,1140,2023-24,380,0.9367444861334716,0.5521816704659402,0.5789473684210527,0.5641030458806421
3,Tuned Random Forest,Sigmoid,2020-21,2022-23,1140,2023-24,380,0.9448115097950368,0.5569649334759271,0.5710526315789474,0.5321600410800386
3,Tuned Random Forest,Isotonic,2020-21,2022-23,1140,2023-24,380,0.9463994419712137,0.557408576782953,0.5605263157894737,0.5513564046355043
4,Independent Poisson,Original,2020-21,2023-24,1520,2024-25,380,0.9891928791050212,0.5926756761653172,0.5026315789473684,0.5599021067725612
4,Independent Poisson,Sigmoid,2020-21,2023-24,1520,2024-25,380,0.9858252085632164,0.5891667439765789,0.5131578947368421,0.5330607093735908
4,Independent Poisson,Isotonic,2020-21,2023-24,1520,2024-25,380,0.9931602510207833,0.5945057399780554,0.5105263157894737,0.5531328147344517
4,Direct Probability Ensemble,Original,2020-21,2023-24,1520,2024-25,380,0.9962817215013409,0.5958832115410589,0.5184210526315789,0.5572374071943378
4,Direct Probability Ensemble,Sigmoid,2020-21,2023-24,1520,2024-25,380,0.9888717786605375,0.5908029615003713,0.5236842105263158,0.5352660417936498
4,Direct Probability Ensemble,Isotonic,2020-21,2023-24,1520,2024-25,380,0.9969391894864462,0.5955778001730724,0.5236842105263158,0.5509436485001604
4,Tuned Random Forest,Original,2020-21,2023-24,1520,2024-25,380,0.9977546669582863,0.5957125888845978,0.5263157894736842,0.556623965396694
4,Tuned Random Forest,Sigmoid,2020-21,2023-24,1520,2024-25,380,0.991257694659237,0.5914953479082479,0.531578947368421,0.5362073985651606
4,Tuned Random Forest,Isotonic,2020-21,2023-24,1520,2024-25,380,0.9933435527621588,0.5935447322210291,0.5236842105263158,0.5489740623392434
