Fold,Model,CalibrationMethod,Outcome,TrainingStartSeason,TrainingEndSeason,TrainingForecasts,EvaluationSeason,SigmoidCoefficient,SigmoidIntercept,IsotonicThresholds
1,Independent Poisson,Sigmoid,H,2020-21,2020-21,380,2021-22,0.8579728797752958,-0.4475533559821355,
1,Independent Poisson,Sigmoid,D,2020-21,2020-21,380,2021-22,0.24267914958892403,-0.9727205840057682,
1,Independent Poisson,Sigmoid,A,2020-21,2020-21,380,2021-22,0.4550096057183116,0.04576798851824372,
1,Independent Poisson,Isotonic,H,2020-21,2020-21,380,2021-22,,,32.0
1,Independent Poisson,Isotonic,D,2020-21,2020-21,380,2021-22,,,15.0
1,Independent Poisson,Isotonic,A,2020-21,2020-21,380,2021-22,,,20.0
1,Direct Probability Ensemble,Sigmoid,H,2020-21,2020-21,380,2021-22,0.9077043456136444,-0.4843773426842172,
1,Direct Probability Ensemble,Sigmoid,D,2020-21,2020-21,380,2021-22,0.3331996509249359,-0.8582173299897674,
1,Direct Probability Ensemble,Sigmoid,A,2020-21,2020-21,380,2021-22,0.5388039464095437,0.15468147148884423,
1,Direct Probability Ensemble,Isotonic,H,2020-21,2020-21,380,2021-22,,,16.0
1,Direct Probability Ensemble,Isotonic,D,2020-21,2020-21,380,2021-22,,,23.0
1,Direct Probability Ensemble,Isotonic,A,2020-21,2020-21,380,2021-22,,,18.0
1,Tuned Random Forest,Sigmoid,H,2020-21,2020-21,380,2021-22,0.9690351204472046,-0.44816179396267963,
1,Tuned Random Forest,Sigmoid,D,2020-21,2020-21,380,2021-22,0.10116747455197232,-1.1502003653921307,
1,Tuned Random Forest,Sigmoid,A,2020-21,2020-21,380,2021-22,0.5769716996100532,0.17666694406678374,
1,Tuned Random Forest,Isotonic,H,2020-21,2020-21,380,2021-22,,,24.0
1,Tuned Random Forest,Isotonic,D,2020-21,2020-21,380,2021-22,,,10.0
1,Tuned Random Forest,Isotonic,A,2020-21,2020-21,380,2021-22,,,20.0
2,Independent Poisson,Sigmoid,H,2020-21,2021-22,760,2022-23,0.8677468764173923,-0.2821919276582102,
2,Independent Poisson,Sigmoid,D,2020-21,2021-22,760,2022-23,0.44448525705459546,-0.6795111170639074,
2,Independent Poisson,Sigmoid,A,2020-21,2021-22,760,2022-23,0.6655156511028073,0.04428467240839472,
2,Independent Poisson,Isotonic,H,2020-21,2021-22,760,2022-23,,,34.0
2,Independent Poisson,Isotonic,D,2020-21,2021-22,760,2022-23,,,18.0
2,Independent Poisson,Isotonic,A,2020-21,2021-22,760,2022-23,,,32.0
2,Direct Probability Ensemble,Sigmoid,H,2020-21,2021-22,760,2022-23,0.9002380793211806,-0.29951815978133267,
2,Direct Probability Ensemble,Sigmoid,D,2020-21,2021-22,760,2022-23,0.29079950433870166,-0.8682795402013012,
2,Direct Probability Ensemble,Sigmoid,A,2020-21,2021-22,760,2022-23,0.7136460463120935,0.10021864263500962,
2,Direct Probability Ensemble,Isotonic,H,2020-21,2021-22,760,2022-23,,,32.0
2,Direct Probability Ensemble,Isotonic,D,2020-21,2021-22,760,2022-23,,,11.0
2,Direct Probability Ensemble,Isotonic,A,2020-21,2021-22,760,2022-23,,,32.0
2,Tuned Random Forest,Sigmoid,H,2020-21,2021-22,760,2022-23,0.9439723482371345,-0.27428696259293306,
2,Tuned Random Forest,Sigmoid,D,2020-21,2021-22,760,2022-23,0.32793166566988685,-0.8268424258436896,
2,Tuned Random Forest,Sigmoid,A,2020-21,2021-22,760,2022-23,0.7373434484604036,0.1068344834277525,
2,Tuned Random Forest,Isotonic,H,2020-21,2021-22,760,2022-23,,,18.0
2,Tuned Random Forest,Isotonic,D,2020-21,2021-22,760,2022-23,,,17.0
2,Tuned Random Forest,Isotonic,A,2020-21,2021-22,760,2022-23,,,29.0
3,Independent Poisson,Sigmoid,H,2020-21,2022-23,1140,2023-24,0.8587585012287433,-0.13145748974548582,
3,Independent Poisson,Sigmoid,D,2020-21,2022-23,1140,2023-24,0.4265068232062306,-0.6956086386496881,
3,Independent Poisson,Sigmoid,A,2020-21,2022-23,1140,2023-24,0.681062692976204,-0.09932655489160339,
3,Independent Poisson,Isotonic,H,2020-21,2022-23,1140,2023-24,,,42.0
3,Independent Poisson,Isotonic,D,2020-21,2022-23,1140,2023-24,,,24.0
3,Independent Poisson,Isotonic,A,2020-21,2022-23,1140,2023-24,,,36.0
3,Direct Probability Ensemble,Sigmoid,H,2020-21,2022-23,1140,2023-24,0.8964550712423087,-0.14922703931478268,
3,Direct Probability Ensemble,Sigmoid,D,2020-21,2022-23,1140,2023-24,0.4124057042383937,-0.7094019134433824,
3,Direct Probability Ensemble,Sigmoid,A,2020-21,2022-23,1140,2023-24,0.7267417542190154,-0.049392886566020235,
3,Direct Probability Ensemble,Isotonic,H,2020-21,2022-23,1140,2023-24,,,40.0
3,Direct Probability Ensemble,Isotonic,D,2020-21,2022-23,1140,2023-24,,,21.0
3,Direct Probability Ensemble,Isotonic,A,2020-21,2022-23,1140,2023-24,,,38.0
3,Tuned Random Forest,Sigmoid,H,2020-21,2022-23,1140,2023-24,0.9251991341424437,-0.12844051140427498,
3,Tuned Random Forest,Sigmoid,D,2020-21,2022-23,1140,2023-24,0.4104312983434518,-0.7162190747015448,
3,Tuned Random Forest,Sigmoid,A,2020-21,2022-23,1140,2023-24,0.7469511628513953,-0.04536658648431439,
3,Tuned Random Forest,Isotonic,H,2020-21,2022-23,1140,2023-24,,,30.0
3,Tuned Random Forest,Isotonic,D,2020-21,2022-23,1140,2023-24,,,18.0
3,Tuned Random Forest,Isotonic,A,2020-21,2022-23,1140,2023-24,,,28.0
4,Independent Poisson,Sigmoid,H,2020-21,2023-24,1520,2024-25,0.8956682050589118,-0.09561587258542435,
4,Independent Poisson,Sigmoid,D,2020-21,2023-24,1520,2024-25,0.5400578842466103,-0.5647545299387967,
4,Independent Poisson,Sigmoid,A,2020-21,2023-24,1520,2024-25,0.793783670006604,-0.047190076773697735,
4,Independent Poisson,Isotonic,H,2020-21,2023-24,1520,2024-25,,,40.0
4,Independent Poisson,Isotonic,D,2020-21,2023-24,1520,2024-25,,,18.0
4,Independent Poisson,Isotonic,A,2020-21,2023-24,1520,2024-25,,,42.0
4,Direct Probability Ensemble,Sigmoid,H,2020-21,2023-24,1520,2024-25,0.9402623715257974,-0.1125709592860667,
4,Direct Probability Ensemble,Sigmoid,D,2020-21,2023-24,1520,2024-25,0.41878197739310835,-0.7158351216100795,
4,Direct Probability Ensemble,Sigmoid,A,2020-21,2023-24,1520,2024-25,0.833770757971325,0.005305010934104636,
4,Direct Probability Ensemble,Isotonic,H,2020-21,2023-24,1520,2024-25,,,46.0
4,Direct Probability Ensemble,Isotonic,D,2020-21,2023-24,1520,2024-25,,,21.0
4,Direct Probability Ensemble,Isotonic,A,2020-21,2023-24,1520,2024-25,,,40.0
4,Tuned Random Forest,Sigmoid,H,2020-21,2023-24,1520,2024-25,0.954723529703272,-0.08915761766861395,
4,Tuned Random Forest,Sigmoid,D,2020-21,2023-24,1520,2024-25,0.47973203997280356,-0.6423526652654029,
4,Tuned Random Forest,Sigmoid,A,2020-21,2023-24,1520,2024-25,0.8330073476315312,-0.01365338218963904,
4,Tuned Random Forest,Isotonic,H,2020-21,2023-24,1520,2024-25,,,30.0
4,Tuned Random Forest,Isotonic,D,2020-21,2023-24,1520,2024-25,,,23.0
4,Tuned Random Forest,Isotonic,A,2020-21,2023-24,1520,2024-25,,,40.0
