Season,Date,HomeTeam,AwayTeam,Fold,EvaluationSeason,Model,ActualOutcome,PredictedOutcome,Probability_H,Probability_D,Probability_A
2024-25,2024-08-16,Man United,Fulham,5,2024-25,Tuned Random Forest,H,H,0.6442905336499655,0.2105783750135527,0.1451310913364814
2024-25,2024-08-17,Arsenal,Wolves,5,2024-25,Tuned Random Forest,H,H,0.7806518730542498,0.1299652166215809,0.0893829103241699
2024-25,2024-08-17,Everton,Brighton,5,2024-25,Tuned Random Forest,A,A,0.3553822906842446,0.2805158218055162,0.3641018875102386
2024-25,2024-08-17,Ipswich,Liverpool,5,2024-25,Tuned Random Forest,A,A,0.1907642839614267,0.1973885400824963,0.6118471759560765
2024-25,2024-08-17,Newcastle,Southampton,5,2024-25,Tuned Random Forest,H,H,0.7047572213134171,0.1737508060416581,0.1214919726449254
2024-25,2024-08-17,Nott'm Forest,Bournemouth,5,2024-25,Tuned Random Forest,D,A,0.3498825854092072,0.2879798615307242,0.3621375530600682
2024-25,2024-08-17,West Ham,Aston Villa,5,2024-25,Tuned Random Forest,A,A,0.2508641332920591,0.2240129401955191,0.5251229265124217
2024-25,2024-08-18,Brentford,Crystal Palace,5,2024-25,Tuned Random Forest,H,A,0.3587551664933322,0.2786098176906077,0.3626350158160597
2024-25,2024-08-18,Chelsea,Man City,5,2024-25,Tuned Random Forest,A,A,0.2416640522005868,0.2001097785450895,0.5582261692543233
2024-25,2024-08-19,Leicester,Tottenham,5,2024-25,Tuned Random Forest,D,A,0.250222919626474,0.2097557091550537,0.5400213712184719
2024-25,2024-08-24,Aston Villa,Arsenal,5,2024-25,Tuned Random Forest,A,A,0.2874059820104366,0.2024691826940888,0.5101248352954737
2024-25,2024-08-24,Brighton,Man United,5,2024-25,Tuned Random Forest,H,A,0.3233295439070025,0.2365295955196288,0.4401408605733679
2024-25,2024-08-24,Crystal Palace,West Ham,5,2024-25,Tuned Random Forest,A,H,0.4520862478255898,0.2722827970365023,0.275630955137908
2024-25,2024-08-24,Fulham,Leicester,5,2024-25,Tuned Random Forest,H,H,0.4173882314840174,0.2742724574734007,0.3083393110425824
2024-25,2024-08-24,Man City,Ipswich,5,2024-25,Tuned Random Forest,H,H,0.8002712921904624,0.1175899951865748,0.082138712622962
2024-25,2024-08-24,Southampton,Nott'm Forest,5,2024-25,Tuned Random Forest,A,A,0.292207879082792,0.2565173363217191,0.4512747845954887
2024-25,2024-08-24,Tottenham,Everton,5,2024-25,Tuned Random Forest,H,H,0.6142443075041897,0.2253556258197654,0.1604000666760451
2024-25,2024-08-25,Bournemouth,Newcastle,5,2024-25,Tuned Random Forest,D,A,0.2469238445133008,0.2056712555719026,0.5474048999147965
2024-25,2024-08-25,Liverpool,Brentford,5,2024-25,Tuned Random Forest,H,H,0.7242709774246027,0.166299082806944,0.1094299397684535
