Season,Date,HomeTeam,AwayTeam,EvaluationSeason,ActualOutcome,Fold,Model,CalibrationMethod,CalibrationTrainingStart,CalibrationTrainingEnd,PredictedOutcome,Probability_H,Probability_D,Probability_A
2024-25,2024-08-16,Man United,Fulham,2024-25,H,4,Tuned Random Forest,Isotonic,2020-21,2023-24,H,0.6264034219228257,0.2040017342574078,0.16959484381976664
2024-25,2024-08-17,Arsenal,Wolves,2024-25,H,4,Tuned Random Forest,Isotonic,2020-21,2023-24,H,0.7091838259466244,0.16586473805325602,0.12495143600011953
2024-25,2024-08-17,Everton,Brighton,2024-25,A,4,Tuned Random Forest,Isotonic,2020-21,2023-24,A,0.3415901351574684,0.251190242631999,0.4072196222105326
2024-25,2024-08-17,Ipswich,Liverpool,2024-25,A,4,Tuned Random Forest,Isotonic,2020-21,2023-24,A,0.1820739675493169,0.21288023259449151,0.6050457998561916
2024-25,2024-08-17,Newcastle,Southampton,2024-25,H,4,Tuned Random Forest,Isotonic,2020-21,2023-24,H,0.657486680626607,0.19778938160998752,0.14472393776340547
2024-25,2024-08-17,Nott'm Forest,Bournemouth,2024-25,D,4,Tuned Random Forest,Isotonic,2020-21,2023-24,A,0.3415901351574684,0.251190242631999,0.4072196222105326
2024-25,2024-08-17,West Ham,Aston Villa,2024-25,A,4,Tuned Random Forest,Isotonic,2020-21,2023-24,A,0.25989557766968624,0.2236452615764499,0.5164591607538638
2024-25,2024-08-18,Brentford,Crystal Palace,2024-25,H,4,Tuned Random Forest,Isotonic,2020-21,2023-24,A,0.3415901351574684,0.251190242631999,0.4072196222105326
2024-25,2024-08-18,Chelsea,Man City,2024-25,A,4,Tuned Random Forest,Isotonic,2020-21,2023-24,A,0.25989557766968624,0.2236452615764499,0.5164591607538638
2024-25,2024-08-19,Leicester,Tottenham,2024-25,D,4,Tuned Random Forest,Isotonic,2020-21,2023-24,A,0.25989557766968624,0.2236452615764499,0.5164591607538638
2024-25,2024-08-24,Aston Villa,Arsenal,2024-25,A,4,Tuned Random Forest,Isotonic,2020-21,2023-24,A,0.25989557766968624,0.2236452615764499,0.5164591607538638
2024-25,2024-08-24,Brighton,Man United,2024-25,H,4,Tuned Random Forest,Isotonic,2020-21,2023-24,A,0.35260059921864545,0.22420105913247057,0.4231983416488839
