Model,Outcome,CalibrationBin,BinLowerBound,BinUpperBound,Forecasts,MeanPredictedProbability,ObservedFrequency,CalibrationGap,AbsoluteCalibrationGap
Independent Poisson,A,9,0.9,1.0,2,0.9435305025506047,0.0,-0.9435305025506047,0.9435305025506047
Direct Probability Ensemble,H,9,0.9,1.0,1,0.90446779370178,0.0,-0.90446779370178,0.90446779370178
Tuned Random Forest,H,0,0.0,0.1,1,0.0983358362117113,1.0,0.9016641637882887,0.9016641637882887
Tuned Random Forest,A,8,0.8,0.9,1,0.8032551373299919,0.0,-0.8032551373299919,0.8032551373299919
Direct Probability Ensemble,D,4,0.4,0.5,4,0.42569603863002575,0.75,0.32430396136997425,0.32430396136997425
Independent Poisson,A,8,0.8,0.9,17,0.8372546915399606,0.7058823529411765,-0.13137233859878406,0.13137233859878406
Direct Probability Ensemble,A,7,0.7,0.8,45,0.7368621405193463,0.6444444444444445,-0.0924176960749018,0.0924176960749018
Independent Poisson,H,8,0.8,0.9,89,0.8391296230253313,0.7528089887640449,-0.08632063426128644,0.08632063426128644
Direct Probability Ensemble,H,0,0.0,0.1,15,0.08158120347572066,0.0,-0.08158120347572066,0.08158120347572066
Direct Probability Ensemble,D,3,0.3,0.4,112,0.32342030013087886,0.25,-0.07342030013087886,0.07342030013087886
Direct Probability Ensemble,H,8,0.8,0.9,88,0.8343916746813239,0.7613636363636364,-0.07302803831768756,0.07302803831768756
Independent Poisson,H,7,0.7,0.8,152,0.7493235091866808,0.6776315789473685,-0.07169193023931231,0.07169193023931231
Direct Probability Ensemble,H,7,0.7,0.8,188,0.7447475345215963,0.675531914893617,-0.06921561962797929,0.06921561962797929
Independent Poisson,H,9,0.9,1.0,22,0.9253361973969837,0.8636363636363636,-0.06169983376062005,0.06169983376062005
Tuned Random Forest,H,7,0.7,0.8,206,0.7451966968903371,0.6844660194174758,-0.060730677472861316,0.060730677472861316
