Model,Outcome,CalibrationBin,BinLowerBound,BinUpperBound,Forecasts,MeanPredictedProbability,ObservedFrequency,CalibrationGap,AbsoluteCalibrationGap
Direct Probability Ensemble,A,0,0.0,0.1,193,0.07300701504653666,0.12435233160621761,0.051345316559680956,0.051345316559680956
Direct Probability Ensemble,A,1,0.1,0.2,420,0.14569699345582124,0.1761904761904762,0.030493482734654964,0.030493482734654964
Direct Probability Ensemble,A,2,0.2,0.3,361,0.2474508510324522,0.2742382271468144,0.026787376114362188,0.026787376114362188
Direct Probability Ensemble,A,3,0.3,0.4,349,0.34867783377804584,0.38968481375358166,0.04100697997553582,0.04100697997553582
Direct Probability Ensemble,A,4,0.4,0.5,239,0.45096016785197485,0.4560669456066946,0.005106777754719738,0.005106777754719738
Direct Probability Ensemble,A,5,0.5,0.6,170,0.5459225980927188,0.5235294117647059,-0.022393186328012904,0.022393186328012904
Direct Probability Ensemble,A,6,0.6,0.7,119,0.6414364977181349,0.6974789915966386,0.056042493878503685,0.056042493878503685
Direct Probability Ensemble,A,7,0.7,0.8,45,0.7368621405193463,0.6444444444444445,-0.0924176960749018,0.0924176960749018
Direct Probability Ensemble,A,8,0.8,0.9,4,0.806693921587293,0.75,-0.05669392158729303,0.05669392158729303
Direct Probability Ensemble,D,0,0.0,0.1,32,0.08168027638934093,0.09375,0.01206972361065907,0.01206972361065907
Direct Probability Ensemble,D,1,0.1,0.2,550,0.16287846894377123,0.2109090909090909,0.04803062196531968,0.04803062196531968
Direct Probability Ensemble,D,2,0.2,0.3,1202,0.24512338930218222,0.23544093178036607,-0.009682457521816151,0.009682457521816151
Direct Probability Ensemble,D,3,0.3,0.4,112,0.32342030013087886,0.25,-0.07342030013087886,0.07342030013087886
Direct Probability Ensemble,D,4,0.4,0.5,4,0.42569603863002575,0.75,0.32430396136997425,0.32430396136997425
Direct Probability Ensemble,H,0,0.0,0.1,15,0.08158120347572066,0.0,-0.08158120347572066,0.08158120347572066
Direct Probability Ensemble,H,1,0.1,0.2,156,0.154752364148713,0.11538461538461539,-0.0393677487640976,0.0393677487640976
Direct Probability Ensemble,H,2,0.2,0.3,284,0.25304786259807643,0.21830985915492956,-0.03473800344314687,0.03473800344314687
Direct Probability Ensemble,H,3,0.3,0.4,345,0.35245316075271077,0.336231884057971,-0.016221276694739772,0.016221276694739772
Direct Probability Ensemble,H,4,0.4,0.5,322,0.4498368347467958,0.43478260869565216,-0.015054226051143649,0.015054226051143649
Direct Probability Ensemble,H,5,0.5,0.6,270,0.5461804838336672,0.5703703703703704,0.024189886536703176,0.024189886536703176
Direct Probability Ensemble,H,6,0.6,0.7,231,0.6499912067215275,0.5930735930735931,-0.05691761364793446,0.05691761364793446
Direct Probability Ensemble,H,7,0.7,0.8,188,0.7447475345215963,0.675531914893617,-0.06921561962797929,0.06921561962797929
Direct Probability Ensemble,H,8,0.8,0.9,88,0.8343916746813239,0.7613636363636364,-0.07302803831768756,0.07302803831768756
Direct Probability Ensemble,H,9,0.9,1.0,1,0.90446779370178,0.0,-0.90446779370178,0.90446779370178
Independent Poisson,A,0,0.0,0.1,207,0.062018072671225985,0.1111111111111111,0.04909303843988512,0.04909303843988512
Independent Poisson,A,1,0.1,0.2,345,0.1496098601962604,0.17971014492753623,0.030100284731275823,0.030100284731275823
Independent Poisson,A,2,0.2,0.3,396,0.2495796410817678,0.2828282828282828,0.03324864174651501,0.03324864174651501
Independent Poisson,A,3,0.3,0.4,365,0.34827648021641405,0.3643835616438356,0.016107081427421566,0.016107081427421566
Independent Poisson,A,4,0.4,0.5,268,0.45146794646462446,0.45149253731343286,2.4590848808403454e-05,2.4590848808403454e-05
Independent Poisson,A,5,0.5,0.6,156,0.5473850066641658,0.532051282051282,-0.015333724612883737,0.015333724612883737
Independent Poisson,A,6,0.6,0.7,96,0.6435102066046955,0.6458333333333334,0.002323126728637881,0.002323126728637881
Independent Poisson,A,7,0.7,0.8,48,0.7525283734383511,0.7916666666666666,0.039138293228315524,0.039138293228315524
Independent Poisson,A,8,0.8,0.9,17,0.8372546915399606,0.7058823529411765,-0.13137233859878406,0.13137233859878406
Independent Poisson,A,9,0.9,1.0,2,0.9435305025506047,0.0,-0.9435305025506047,0.9435305025506047
Independent Poisson,D,0,0.0,0.1,58,0.07511178966209679,0.10344827586206896,0.028336486199972172,0.028336486199972172
Independent Poisson,D,1,0.1,0.2,392,0.1596656200927792,0.1989795918367347,0.039313971743955484,0.039313971743955484
Independent Poisson,D,2,0.2,0.3,1444,0.2447713939395827,0.24030470914127425,-0.004466684798308446,0.004466684798308446
Independent Poisson,D,3,0.3,0.4,6,0.30925831208863236,0.3333333333333333,0.024075021244700956,0.024075021244700956
Independent Poisson,H,0,0.0,0.1,53,0.07222003623525348,0.07547169811320754,0.0032516618779540596,0.0032516618779540596
Independent Poisson,H,1,0.1,0.2,140,0.15957691306174618,0.11428571428571428,-0.045291198776031896,0.045291198776031896
Independent Poisson,H,2,0.2,0.3,274,0.25511416301822654,0.2591240875912409,0.004009924573014356,0.004009924573014356
Independent Poisson,H,3,0.3,0.4,333,0.3519817210952312,0.35135135135135137,-0.0006303697438798106,0.0006303697438798106
Independent Poisson,H,4,0.4,0.5,364,0.45073740592513567,0.4230769230769231,-0.027660482848212598,0.027660482848212598
Independent Poisson,H,5,0.5,0.6,261,0.5492227142730055,0.5402298850574713,-0.008992829215534237,0.008992829215534237
Independent Poisson,H,6,0.6,0.7,212,0.6476654590576747,0.6084905660377359,-0.03917489301993882,0.03917489301993882
Independent Poisson,H,7,0.7,0.8,152,0.7493235091866808,0.6776315789473685,-0.07169193023931231,0.07169193023931231
Independent Poisson,H,8,0.8,0.9,89,0.8391296230253313,0.7528089887640449,-0.08632063426128644,0.08632063426128644
Independent Poisson,H,9,0.9,1.0,22,0.9253361973969837,0.8636363636363636,-0.06169983376062005,0.06169983376062005
Tuned Random Forest,A,0,0.0,0.1,147,0.08445577215338078,0.14285714285714285,0.05840137070376207,0.05840137070376207
Tuned Random Forest,A,1,0.1,0.2,478,0.1424134456853266,0.1799163179916318,0.037502872306305196,0.037502872306305196
Tuned Random Forest,A,2,0.2,0.3,351,0.2450201488039614,0.25071225071225073,0.005692101908289338,0.005692101908289338
Tuned Random Forest,A,3,0.3,0.4,326,0.3408264439434323,0.3803680981595092,0.039541654216076916,0.039541654216076916
Tuned Random Forest,A,4,0.4,0.5,196,0.4514428466842802,0.4897959183673469,0.03835307168306673,0.03835307168306673
Tuned Random Forest,A,5,0.5,0.6,223,0.5464038804998446,0.5067264573991032,-0.039677423100741405,0.039677423100741405
Tuned Random Forest,A,6,0.6,0.7,129,0.6441369148875501,0.6434108527131783,-0.0007260621743717666,0.0007260621743717666
Tuned Random Forest,A,7,0.7,0.8,49,0.7337096469549872,0.7142857142857143,-0.019423932669272892,0.019423932669272892
Tuned Random Forest,A,8,0.8,0.9,1,0.8032551373299919,0.0,-0.8032551373299919,0.8032551373299919
Tuned Random Forest,D,0,0.0,0.1,31,0.09102624670736191,0.03225806451612903,-0.05876818219123288,0.05876818219123288
Tuned Random Forest,D,1,0.1,0.2,552,0.16067178590239106,0.20652173913043478,0.04584995322804372,0.04584995322804372
Tuned Random Forest,D,2,0.2,0.3,1227,0.2502297678228947,0.2396088019559902,-0.010620965866904475,0.010620965866904475
Tuned Random Forest,D,3,0.3,0.4,90,0.31752650511327246,0.26666666666666666,-0.0508598384466058,0.0508598384466058
Tuned Random Forest,H,0,0.0,0.1,1,0.0983358362117113,1.0,0.9016641637882887,0.9016641637882887
Tuned Random Forest,H,1,0.1,0.2,167,0.16258385784711016,0.11976047904191617,-0.04282337880519399,0.04282337880519399
Tuned Random Forest,H,2,0.2,0.3,328,0.25020053849817697,0.21036585365853658,-0.039834684839640394,0.039834684839640394
Tuned Random Forest,H,3,0.3,0.4,340,0.3506918799453511,0.36176470588235293,0.011072825937001818,0.011072825937001818
Tuned Random Forest,H,4,0.4,0.5,307,0.45194863302228827,0.44625407166123776,-0.00569456136105051,0.00569456136105051
Tuned Random Forest,H,5,0.5,0.6,242,0.5434286586374044,0.5289256198347108,-0.014503038802693657,0.014503038802693657
Tuned Random Forest,H,6,0.6,0.7,242,0.6521547937266666,0.6239669421487604,-0.028187851577906264,0.028187851577906264
Tuned Random Forest,H,7,0.7,0.8,206,0.7451966968903371,0.6844660194174758,-0.060730677472861316,0.060730677472861316
Tuned Random Forest,H,8,0.8,0.9,67,0.8202623435839249,0.7611940298507462,-0.05906831373317867,0.05906831373317867
