Season,Date,HomeTeam,AwayTeam,Fold,EvaluationSeason,Model,ActualOutcome,PredictedOutcome,Probability_H,Probability_D,Probability_A
2020-21,2020-09-12,Crystal Palace,Southampton,1,2020-21,Independent Poisson,H,A,0.3537809833695609,0.2461180206514139,0.4001009959790252
2020-21,2020-09-12,Fulham,Arsenal,1,2020-21,Independent Poisson,A,A,0.2030143687767847,0.2126931657926678,0.5842924654305472
2020-21,2020-09-12,Liverpool,Leeds,1,2020-21,Independent Poisson,H,H,0.830040387255834,0.1098603704109345,0.0600992423332315
2020-21,2020-09-12,West Ham,Newcastle,1,2020-21,Independent Poisson,A,H,0.3839570784061846,0.2488969350587638,0.3671459865350515
2020-21,2020-09-13,Tottenham,Everton,1,2020-21,Independent Poisson,A,H,0.5306869706563574,0.235549298792248,0.2337637305513945
2020-21,2020-09-13,West Brom,Leicester,1,2020-21,Independent Poisson,A,A,0.2652824672511168,0.2508377541740961,0.483879778574787
2020-21,2020-09-14,Brighton,Chelsea,1,2020-21,Independent Poisson,A,A,0.2831729628918444,0.260498095387268,0.4563289417208874
2020-21,2020-09-14,Sheffield United,Wolves,1,2020-21,Independent Poisson,A,A,0.3716943825373646,0.2507091284809677,0.3775964889816675
2020-21,2020-09-19,Arsenal,West Ham,1,2020-21,Independent Poisson,H,H,0.683111149938293,0.202690469299741,0.1141983807619661
2020-21,2020-09-19,Everton,West Brom,1,2020-21,Independent Poisson,H,H,0.5557110268012864,0.2646979352467039,0.1795910379520096
2020-21,2020-09-19,Leeds,Fulham,1,2020-21,Independent Poisson,H,H,0.5088424045222708,0.2660093279067555,0.2251482675709737
2020-21,2020-09-19,Man United,Crystal Palace,1,2020-21,Independent Poisson,A,H,0.6135603242889137,0.2228032662217711,0.163636409489315
2020-21,2020-09-20,Chelsea,Liverpool,1,2020-21,Independent Poisson,A,A,0.3488830661828082,0.2387973316827625,0.4123196021344292
2020-21,2020-09-20,Leicester,Burnley,1,2020-21,Independent Poisson,H,H,0.5041188539406436,0.2304751176836194,0.265406028375737
2020-21,2020-09-20,Newcastle,Brighton,1,2020-21,Independent Poisson,A,H,0.475362565624765,0.2611545568833863,0.2634828774918484
2020-21,2020-09-20,Southampton,Tottenham,1,2020-21,Independent Poisson,A,A,0.3213541041990272,0.2505949824599399,0.4280509133410328
2020-21,2020-09-21,Aston Villa,Sheffield United,1,2020-21,Independent Poisson,H,A,0.2693465754901546,0.2744937262105704,0.4561596982992749
2020-21,2020-09-21,Wolves,Man City,1,2020-21,Independent Poisson,A,A,0.2800577178217418,0.2248984884428978,0.4950437937353602
2020-21,2020-09-26,Brighton,Man United,1,2020-21,Independent Poisson,A,A,0.2434001073498566,0.2352188995950873,0.5213809930550559
2020-21,2020-09-26,Burnley,Southampton,1,2020-21,Independent Poisson,A,H,0.4380859892551758,0.2874383190260621,0.2744756917187618
2020-21,2020-09-26,Crystal Palace,Everton,1,2020-21,Independent Poisson,A,A,0.3148826759477547,0.2543043645936527,0.4308129594585925
2020-21,2020-09-26,West Brom,Chelsea,1,2020-21,Independent Poisson,D,A,0.1473783209454419,0.1918146498170081,0.6608070292375499
2020-21,2020-09-27,Man City,Leicester,1,2020-21,Independent Poisson,A,H,0.6104032649527291,0.2243547358124412,0.1652419992348295
2020-21,2020-09-27,Sheffield United,Leeds,1,2020-21,Independent Poisson,A,H,0.4004268048685236,0.2585820092045074,0.3409911859269688
2020-21,2020-09-27,Tottenham,Newcastle,1,2020-21,Independent Poisson,D,H,0.5379559647811702,0.2440610242671664,0.2179830109516633
2020-21,2020-09-27,West Ham,Wolves,1,2020-21,Independent Poisson,H,A,0.2927060331850981,0.2497156864010133,0.4575782804138885
2020-21,2020-09-28,Fulham,Aston Villa,1,2020-21,Independent Poisson,A,A,0.3356238267795824,0.2526321715599134,0.411744001660504
2020-21,2020-09-28,Liverpool,Arsenal,1,2020-21,Independent Poisson,H,H,0.7516958517034134,0.1528299270081283,0.0954742212884582
2020-21,2020-10-03,Chelsea,Crystal Palace,1,2020-21,Independent Poisson,H,H,0.5346689932648145,0.2438809345467683,0.2214500721884172
2020-21,2020-10-03,Everton,Brighton,1,2020-21,Independent Poisson,H,H,0.555479867830447,0.2399318378513844,0.2045882943181686
2020-21,2020-10-03,Leeds,Man City,1,2020-21,Independent Poisson,D,A,0.2033936931448928,0.2131982504305939,0.5834080564245132
2020-21,2020-10-03,Newcastle,Burnley,1,2020-21,Independent Poisson,H,H,0.394445444125962,0.2758625596351655,0.3296919962388726
2020-21,2020-10-04,Arsenal,Sheffield United,1,2020-21,Independent Poisson,H,H,0.5686069136473388,0.2511106862542373,0.180282400098424
2020-21,2020-10-04,Aston Villa,Liverpool,1,2020-21,Independent Poisson,H,A,0.0603263387454896,0.1239003345883074,0.815773326666203
2020-21,2020-10-04,Leicester,West Ham,1,2020-21,Independent Poisson,A,H,0.5836100556874735,0.2262261638084748,0.1901637805040515
2020-21,2020-10-04,Man United,Tottenham,1,2020-21,Independent Poisson,A,H,0.4953590353388371,0.258155093804887,0.2464858708562757
2020-21,2020-10-04,Southampton,West Brom,1,2020-21,Independent Poisson,H,H,0.4591605755662868,0.2581363204054128,0.2827031040283003
2020-21,2020-10-04,Wolves,Fulham,1,2020-21,Independent Poisson,H,H,0.5618809922641879,0.2489891111934268,0.1891298965423852
2020-21,2020-10-17,Chelsea,Southampton,1,2020-21,Independent Poisson,D,H,0.5674195956531172,0.2286795044270143,0.2039008999198685
2020-21,2020-10-17,Everton,Liverpool,1,2020-21,Independent Poisson,D,A,0.3056709387925464,0.2382365039836458,0.4560925572238076
2020-21,2020-10-17,Man City,Arsenal,1,2020-21,Independent Poisson,H,H,0.5383110687190911,0.2347407884032568,0.2269481428776518
2020-21,2020-10-17,Newcastle,Man United,1,2020-21,Independent Poisson,A,A,0.3051101246103576,0.2541427787798831,0.4407470966097593
2020-21,2020-10-18,Crystal Palace,Brighton,1,2020-21,Independent Poisson,D,H,0.4096097187912588,0.2673178317800549,0.3230724494286863
2020-21,2020-10-18,Leicester,Aston Villa,1,2020-21,Independent Poisson,A,H,0.5683177224946078,0.2291126765310258,0.2025696009743666
2020-21,2020-10-18,Sheffield United,Fulham,1,2020-21,Independent Poisson,D,H,0.5496215622611926,0.2537927318520348,0.1965857058867726
