Model,EvaluationSeason,Forecasts,UniqueFixtures,MeanHomeProbability,MeanDrawProbability,MeanAwayProbability
Direct Probability Ensemble,2020-21,380,380,0.4816984915656922,0.22691127540457015,0.2913902330297376
Direct Probability Ensemble,2021-22,380,380,0.4485266052114113,0.22276811771911792,0.3287052770694707
Direct Probability Ensemble,2022-23,380,380,0.44837160603678183,0.22403728072137583,0.3275911132418423
Direct Probability Ensemble,2023-24,380,380,0.4625065528785466,0.2222870503110842,0.31520639681036916
Direct Probability Ensemble,2024-25,380,380,0.4631984604360511,0.22178864024894304,0.31501289931500576
Independent Poisson,2020-21,380,380,0.4725138787335041,0.22748963485796211,0.2999964864085337
Independent Poisson,2021-22,380,380,0.4473388043849605,0.22272840102119124,0.3299327945938482
Independent Poisson,2022-23,380,380,0.4414856563141348,0.2264087670938515,0.3321055765920136
Independent Poisson,2023-24,380,380,0.4578244773378696,0.21801121992323708,0.3241643027388933
Independent Poisson,2024-25,380,380,0.46225126541746103,0.216548423414443,0.32120031116809583
Tuned Histogram Gradient Boosting,2020-21,380,380,0.4834793489450494,0.21810393630805325,0.29841671474689735
Tuned Histogram Gradient Boosting,2021-22,380,380,0.44450806786684005,0.21957802915468053,0.3359139029784794
Tuned Histogram Gradient Boosting,2022-23,380,380,0.4469732123621347,0.22320069372548298,0.32982609391238216
Tuned Histogram Gradient Boosting,2023-24,380,380,0.457292068421167,0.22552063298791772,0.31718729859091527
Tuned Histogram Gradient Boosting,2024-25,380,380,0.4557245185775333,0.22637859670403693,0.31789688471842964
Tuned Logistic Regression,2020-21,380,380,0.4829784509428351,0.2306473090817115,0.2863742399754533
Tuned Logistic Regression,2021-22,380,380,0.45102903734533684,0.22450217251744403,0.3244687901372191
Tuned Logistic Regression,2022-23,380,380,0.44975954743755364,0.22424549899407073,0.3259949535683756
Tuned Logistic Regression,2023-24,380,380,0.46733265320542844,0.2208645876232346,0.3118027591713369
Tuned Logistic Regression,2024-25,380,380,0.4696682189199747,0.2185713917589215,0.3117603893211037
Tuned Random Forest,2020-21,380,380,0.4734435924241204,0.23082716344808568,0.29572924412779394
Tuned Random Forest,2021-22,380,380,0.4473880954094937,0.22279009392079707,0.3298218106697094
Tuned Random Forest,2022-23,380,380,0.44607927491657956,0.22494698771327992,0.3289737373701405
Tuned Random Forest,2023-24,380,380,0.45523982059473905,0.22103558147953228,0.3237245979257287
Tuned Random Forest,2024-25,380,380,0.45442389637870056,0.22440530513550078,0.32117079848579866
