Model,Outcome,CalibrationBin,Forecasts,MeanPredictedProbability,ObservedFrequency,CalibrationGap,AbsoluteCalibrationGap,BinLowerBound,BinUpperBound
Direct Probability Ensemble,A,0,193,0.07300701504653666,0.12435233160621761,0.051345316559680956,0.051345316559680956,0.0,0.1
Direct Probability Ensemble,A,1,420,0.14569699345582124,0.1761904761904762,0.030493482734654964,0.030493482734654964,0.1,0.2
Direct Probability Ensemble,A,2,361,0.2474508510324522,0.2742382271468144,0.026787376114362188,0.026787376114362188,0.2,0.3
Direct Probability Ensemble,A,3,349,0.34867783377804584,0.38968481375358166,0.04100697997553582,0.04100697997553582,0.3,0.4
Direct Probability Ensemble,A,4,239,0.45096016785197485,0.4560669456066946,0.005106777754719738,0.005106777754719738,0.4,0.5
Direct Probability Ensemble,A,5,170,0.5459225980927188,0.5235294117647059,-0.022393186328012904,0.022393186328012904,0.5,0.6
Direct Probability Ensemble,A,6,119,0.6414364977181349,0.6974789915966386,0.056042493878503685,0.056042493878503685,0.6,0.7
Direct Probability Ensemble,A,7,45,0.7368621405193463,0.6444444444444445,-0.0924176960749018,0.0924176960749018,0.7,0.8
Direct Probability Ensemble,A,8,4,0.806693921587293,0.75,-0.05669392158729303,0.05669392158729303,0.8,0.9
Independent Poisson,A,0,207,0.062018072671225985,0.1111111111111111,0.04909303843988512,0.04909303843988512,0.0,0.1
Independent Poisson,A,1,345,0.1496098601962604,0.17971014492753623,0.030100284731275823,0.030100284731275823,0.1,0.2
Independent Poisson,A,2,396,0.2495796410817678,0.2828282828282828,0.03324864174651501,0.03324864174651501,0.2,0.3
Independent Poisson,A,3,365,0.34827648021641405,0.3643835616438356,0.016107081427421566,0.016107081427421566,0.3,0.4
Independent Poisson,A,4,268,0.45146794646462446,0.45149253731343286,2.4590848808403454e-05,2.4590848808403454e-05,0.4,0.5
Independent Poisson,A,5,156,0.5473850066641658,0.532051282051282,-0.015333724612883737,0.015333724612883737,0.5,0.6
Independent Poisson,A,6,96,0.6435102066046955,0.6458333333333334,0.002323126728637881,0.002323126728637881,0.6,0.7
Independent Poisson,A,7,48,0.7525283734383511,0.7916666666666666,0.039138293228315524,0.039138293228315524,0.7,0.8
Independent Poisson,A,8,17,0.8372546915399606,0.7058823529411765,-0.13137233859878406,0.13137233859878406,0.8,0.9
Independent Poisson,A,9,2,0.9435305025506047,0.0,-0.9435305025506047,0.9435305025506047,0.9,1.0
Tuned Random Forest,A,0,147,0.08445577215338078,0.14285714285714285,0.05840137070376207,0.05840137070376207,0.0,0.1
Tuned Random Forest,A,1,478,0.1424134456853266,0.1799163179916318,0.037502872306305196,0.037502872306305196,0.1,0.2
Tuned Random Forest,A,2,351,0.2450201488039614,0.25071225071225073,0.005692101908289338,0.005692101908289338,0.2,0.3
Tuned Random Forest,A,3,326,0.3408264439434323,0.3803680981595092,0.039541654216076916,0.039541654216076916,0.3,0.4
Tuned Random Forest,A,4,196,0.4514428466842802,0.4897959183673469,0.03835307168306673,0.03835307168306673,0.4,0.5
Tuned Random Forest,A,5,223,0.5464038804998446,0.5067264573991032,-0.039677423100741405,0.039677423100741405,0.5,0.6
Tuned Random Forest,A,6,129,0.6441369148875501,0.6434108527131783,-0.0007260621743717666,0.0007260621743717666,0.6,0.7
Tuned Random Forest,A,7,49,0.7337096469549872,0.7142857142857143,-0.019423932669272892,0.019423932669272892,0.7,0.8
Tuned Random Forest,A,8,1,0.8032551373299919,0.0,-0.8032551373299919,0.8032551373299919,0.8,0.9
