Model,Outcome,Forecasts,ExpectedCalibrationError,MaximumCalibrationError,SignedCalibrationError
Direct Probability Ensemble,A,1900,0.03304240945985377,0.0924176960749018,0.024418816106714876
Direct Probability Ensemble,D,1900,0.025242987704120135,0.32430396136997425,0.004336263961087035
Direct Probability Ensemble,H,1900,0.03563010045191754,0.90446779370178,-0.028755080067801905
Independent Poisson,A,1900,0.025375318121712963,0.9435305025506047,0.01852010569972307
Independent Poisson,D,1900,0.012446808473397124,0.039313971743955484,0.005657447579968286
Independent Poisson,H,1900,0.025515508450783368,0.08632063426128644,-0.024177553279691264
Tuned Histogram Gradient Boosting,A,1900,0.03212075879157861,0.07981070557733771,0.02015182101057924
Tuned Histogram Gradient Boosting,D,1900,0.027099755929843344,0.10564820170727451,0.005338359066071004
Tuned Histogram Gradient Boosting,H,1900,0.025490180076650132,0.4027007952002537,-0.025490180076650132
Tuned Logistic Regression,A,1900,0.031091436915694576,0.05908000358573895,0.027919773565302272
Tuned Logistic Regression,D,1900,0.026943109917606907,0.2561990507166445,0.004128544847028809
Tuned Logistic Regression,H,1900,0.032048318412331016,0.11816582039168166,-0.032048318412331016
Tuned Random Forest,A,1900,0.03137570461056962,0.8032551373299919,0.020115962284165772
Tuned Random Forest,D,1900,0.023547525478260348,0.05876818219123288,0.003093710502666106
Tuned Random Forest,H,1900,0.028121699084062337,0.9016641637882887,-0.02320967278683191
