Model,CalibrationMethod,Outcome,CalibrationBin,Forecasts,MeanPredictedProbability,ObservedFrequency,CalibrationGap,AbsoluteCalibrationGap,BinLowerBound,BinUpperBound
Independent Poisson,Isotonic,A,0,24,0.032991813611229354,0.0,-0.032991813611229354,0.032991813611229354,0.0,0.1
Independent Poisson,Isotonic,A,1,216,0.1611680794972337,0.09722222222222222,-0.06394585727501147,0.06394585727501147,0.1,0.2
Independent Poisson,Isotonic,A,2,333,0.24528534037944827,0.2042042042042042,-0.04108113617524406,0.04108113617524406,0.2,0.3
Independent Poisson,Isotonic,A,3,257,0.33159514502565185,0.29961089494163423,-0.03198425008401762,0.03198425008401762,0.3,0.4
Independent Poisson,Isotonic,A,4,366,0.45899688702919206,0.39617486338797814,-0.06282202364121392,0.06282202364121392,0.4,0.5
Independent Poisson,Isotonic,A,5,138,0.5452772427389084,0.4492753623188406,-0.09600188042006785,0.09600188042006785,0.5,0.6
Independent Poisson,Isotonic,A,6,70,0.6508685522936657,0.5428571428571428,-0.10801140943652288,0.10801140943652288,0.6,0.7
Independent Poisson,Isotonic,A,7,106,0.7456351537087111,0.7169811320754716,-0.02865402163323949,0.02865402163323949,0.7,0.8
Independent Poisson,Isotonic,A,8,10,0.8379732123282839,0.6,-0.23797321232828395,0.23797321232828395,0.8,0.9
Independent Poisson,Original,A,0,161,0.06091498845424746,0.06832298136645963,0.007407992912212169,0.007407992912212169,0.0,0.1
Independent Poisson,Original,A,1,271,0.1491781724223887,0.15129151291512916,0.002113340492740451,0.002113340492740451,0.1,0.2
Independent Poisson,Original,A,2,302,0.25008821229883205,0.25496688741721857,0.004878675118386522,0.004878675118386522,0.2,0.3
Independent Poisson,Original,A,3,296,0.34762482631902386,0.33783783783783783,-0.009786988481186032,0.009786988481186032,0.3,0.4
Independent Poisson,Original,A,4,218,0.45173346270025627,0.44954128440366975,-0.002192178296586522,0.002192178296586522,0.4,0.5
Independent Poisson,Original,A,5,130,0.5461759941373558,0.5153846153846153,-0.030791378752740517,0.030791378752740517,0.5,0.6
Independent Poisson,Original,A,6,88,0.6439301839814812,0.625,-0.018930183981481163,0.018930183981481163,0.6,0.7
Independent Poisson,Original,A,7,39,0.7543883653897271,0.8461538461538461,0.09176548076411906,0.09176548076411906,0.7,0.8
Independent Poisson,Original,A,8,15,0.8391447477281354,0.7333333333333333,-0.10581141439480213,0.10581141439480213,0.8,0.9
Independent Poisson,Sigmoid,A,0,40,0.07515679447171145,0.025,-0.050156794471711445,0.050156794471711445,0.0,0.1
Independent Poisson,Sigmoid,A,1,171,0.15459382037346608,0.07602339181286549,-0.07857042856060059,0.07857042856060059,0.1,0.2
Independent Poisson,Sigmoid,A,2,290,0.25367549348961455,0.2103448275862069,-0.043330665903407645,0.043330665903407645,0.2,0.3
Independent Poisson,Sigmoid,A,3,357,0.35001293519736537,0.2773109243697479,-0.07270201082761746,0.07270201082761746,0.3,0.4
Independent Poisson,Sigmoid,A,4,332,0.4498631673206423,0.37349397590361444,-0.07636919141702786,0.07636919141702786,0.4,0.5
Independent Poisson,Sigmoid,A,5,214,0.5444040281827893,0.5186915887850467,-0.025712439397742592,0.025712439397742592,0.5,0.6
Independent Poisson,Sigmoid,A,6,84,0.641607811122108,0.7142857142857143,0.07267790316360634,0.07267790316360634,0.6,0.7
Independent Poisson,Sigmoid,A,7,30,0.7368814241766817,0.7666666666666667,0.029785242489985042,0.029785242489985042,0.7,0.8
Independent Poisson,Sigmoid,A,8,2,0.8103592578821324,0.5,-0.31035925788213237,0.31035925788213237,0.8,0.9
