Model,CalibrationMethod,Outcome,CalibrationBin,Forecasts,MeanPredictedProbability,ObservedFrequency,CalibrationGap,AbsoluteCalibrationGap,BinLowerBound,BinUpperBound
Independent Poisson,Isotonic,A,0,24,0.032991813611229354,0.0,-0.032991813611229354,0.032991813611229354,0.0,0.1
Independent Poisson,Isotonic,A,1,216,0.1611680794972337,0.09722222222222222,-0.06394585727501147,0.06394585727501147,0.1,0.2
Independent Poisson,Isotonic,A,2,333,0.24528534037944827,0.2042042042042042,-0.04108113617524406,0.04108113617524406,0.2,0.3
Independent Poisson,Isotonic,A,3,257,0.33159514502565185,0.29961089494163423,-0.03198425008401762,0.03198425008401762,0.3,0.4
Independent Poisson,Isotonic,A,4,366,0.45899688702919206,0.39617486338797814,-0.06282202364121392,0.06282202364121392,0.4,0.5
Independent Poisson,Isotonic,A,5,138,0.5452772427389084,0.4492753623188406,-0.09600188042006785,0.09600188042006785,0.5,0.6
Independent Poisson,Isotonic,A,6,70,0.6508685522936657,0.5428571428571428,-0.10801140943652288,0.10801140943652288,0.6,0.7
Independent Poisson,Isotonic,A,7,106,0.7456351537087111,0.7169811320754716,-0.02865402163323949,0.02865402163323949,0.7,0.8
Independent Poisson,Isotonic,A,8,10,0.8379732123282839,0.6,-0.23797321232828395,0.23797321232828395,0.8,0.9
Independent Poisson,Isotonic,D,0,1,0.07976470091691686,0.0,-0.07976470091691686,0.07976470091691686,0.0,0.1
Independent Poisson,Isotonic,D,1,500,0.16876961099277543,0.22,0.05123038900722457,0.05123038900722457,0.1,0.2
Independent Poisson,Isotonic,D,2,984,0.2378487448215267,0.2347560975609756,-0.0030926472605511124,0.0030926472605511124,0.2,0.3
Independent Poisson,Isotonic,D,3,30,0.310270653543321,0.3,-0.010270653543321018,0.010270653543321018,0.3,0.4
Independent Poisson,Isotonic,D,4,4,0.421781960081952,0.0,-0.421781960081952,0.421781960081952,0.4,0.5
Independent Poisson,Isotonic,D,5,1,0.5124503172000149,0.0,-0.5124503172000149,0.5124503172000149,0.5,0.6
Independent Poisson,Isotonic,H,0,126,0.0640602239950255,0.07936507936507936,0.015304855370053855,0.015304855370053855,0.0,0.1
Independent Poisson,Isotonic,H,1,98,0.15869749699736693,0.24489795918367346,0.08620046218630653,0.08620046218630653,0.1,0.2
Independent Poisson,Isotonic,H,2,343,0.2642162245775067,0.33527696793002915,0.07106074335252244,0.07106074335252244,0.2,0.3
Independent Poisson,Isotonic,H,3,181,0.3430349338985646,0.40331491712707185,0.06027998322850725,0.06027998322850725,0.3,0.4
Independent Poisson,Isotonic,H,4,261,0.44543381027849793,0.45977011494252873,0.014336304664030797,0.014336304664030797,0.4,0.5
Independent Poisson,Isotonic,H,5,191,0.548576526124955,0.581151832460733,0.03257530633577799,0.03257530633577799,0.5,0.6
Independent Poisson,Isotonic,H,6,269,0.6470923877905473,0.6728624535315985,0.025770065741051118,0.025770065741051118,0.6,0.7
Independent Poisson,Isotonic,H,7,27,0.7322280345935167,0.7407407407407407,0.008512706147223992,0.008512706147223992,0.7,0.8
Independent Poisson,Isotonic,H,8,23,0.8316301771604131,0.9565217391304348,0.12489156197002171,0.12489156197002171,0.8,0.9
Independent Poisson,Isotonic,H,9,1,0.9202352990821628,1.0,0.07976470091783716,0.07976470091783716,0.9,1.0
Independent Poisson,Original,A,0,161,0.06091498845424746,0.06832298136645963,0.007407992912212169,0.007407992912212169,0.0,0.1
Independent Poisson,Original,A,1,271,0.1491781724223887,0.15129151291512916,0.002113340492740451,0.002113340492740451,0.1,0.2
Independent Poisson,Original,A,2,302,0.25008821229883205,0.25496688741721857,0.004878675118386522,0.004878675118386522,0.2,0.3
Independent Poisson,Original,A,3,296,0.34762482631902386,0.33783783783783783,-0.009786988481186032,0.009786988481186032,0.3,0.4
Independent Poisson,Original,A,4,218,0.45173346270025627,0.44954128440366975,-0.002192178296586522,0.002192178296586522,0.4,0.5
Independent Poisson,Original,A,5,130,0.5461759941373558,0.5153846153846153,-0.030791378752740517,0.030791378752740517,0.5,0.6
Independent Poisson,Original,A,6,88,0.6439301839814812,0.625,-0.018930183981481163,0.018930183981481163,0.6,0.7
Independent Poisson,Original,A,7,39,0.7543883653897271,0.8461538461538461,0.09176548076411906,0.09176548076411906,0.7,0.8
Independent Poisson,Original,A,8,15,0.8391447477281354,0.7333333333333333,-0.10581141439480213,0.10581141439480213,0.8,0.9
Independent Poisson,Original,D,0,50,0.0767456142866818,0.06,-0.016745614286681795,0.016745614286681795,0.0,0.1
Independent Poisson,Original,D,1,313,0.15921032963633958,0.20447284345047922,0.04526251381413965,0.04526251381413965,0.1,0.2
Independent Poisson,Original,D,2,1155,0.2437367105790219,0.24502164502164503,0.0012849344426231202,0.0012849344426231202,0.2,0.3
Independent Poisson,Original,D,3,2,0.3093868713779861,0.0,-0.3093868713779861,0.3093868713779861,0.3,0.4
Independent Poisson,Original,H,0,43,0.0726944677397168,0.046511627906976744,-0.026182839832740057,0.026182839832740057,0.0,0.1
Independent Poisson,Original,H,1,124,0.15981768360201823,0.12903225806451613,-0.030785425537502104,0.030785425537502104,0.1,0.2
Independent Poisson,Original,H,2,227,0.2558044045356339,0.2687224669603524,0.01291806242471849,0.01291806242471849,0.2,0.3
Independent Poisson,Original,H,3,262,0.3521531562147411,0.37786259541984735,0.025709439205106266,0.025709439205106266,0.3,0.4
Independent Poisson,Original,H,4,290,0.4499537472123985,0.45517241379310347,0.005218666580704967,0.005218666580704967,0.4,0.5
Independent Poisson,Original,H,5,193,0.5483921630029716,0.5544041450777202,0.006011982074748623,0.006011982074748623,0.5,0.6
Independent Poisson,Original,H,6,173,0.6467923614922285,0.6069364161849711,-0.039855945307257445,0.039855945307257445,0.6,0.7
Independent Poisson,Original,H,7,116,0.7492703520858918,0.6810344827586207,-0.0682358693272711,0.0682358693272711,0.7,0.8
Independent Poisson,Original,H,8,74,0.8417068699816096,0.7972972972972973,-0.04440957268431234,0.04440957268431234,0.8,0.9
Independent Poisson,Original,H,9,18,0.9268929869691971,0.9444444444444444,0.017551457475247334,0.017551457475247334,0.9,1.0
Independent Poisson,Sigmoid,A,0,40,0.07515679447171145,0.025,-0.050156794471711445,0.050156794471711445,0.0,0.1
Independent Poisson,Sigmoid,A,1,171,0.15459382037346608,0.07602339181286549,-0.07857042856060059,0.07857042856060059,0.1,0.2
Independent Poisson,Sigmoid,A,2,290,0.25367549348961455,0.2103448275862069,-0.043330665903407645,0.043330665903407645,0.2,0.3
Independent Poisson,Sigmoid,A,3,357,0.35001293519736537,0.2773109243697479,-0.07270201082761746,0.07270201082761746,0.3,0.4
Independent Poisson,Sigmoid,A,4,332,0.4498631673206423,0.37349397590361444,-0.07636919141702786,0.07636919141702786,0.4,0.5
Independent Poisson,Sigmoid,A,5,214,0.5444040281827893,0.5186915887850467,-0.025712439397742592,0.025712439397742592,0.5,0.6
Independent Poisson,Sigmoid,A,6,84,0.641607811122108,0.7142857142857143,0.07267790316360634,0.07267790316360634,0.6,0.7
Independent Poisson,Sigmoid,A,7,30,0.7368814241766817,0.7666666666666667,0.029785242489985042,0.029785242489985042,0.7,0.8
Independent Poisson,Sigmoid,A,8,2,0.8103592578821324,0.5,-0.31035925788213237,0.31035925788213237,0.8,0.9
Independent Poisson,Sigmoid,D,0,3,0.09158735300929716,0.0,-0.09158735300929716,0.09158735300929716,0.0,0.1
Independent Poisson,Sigmoid,D,1,264,0.17361222362757509,0.19318181818181818,0.01956959455424309,0.01956959455424309,0.1,0.2
Independent Poisson,Sigmoid,D,2,1253,0.2327898234049771,0.2386272944932163,0.0058374710882392045,0.0058374710882392045,0.2,0.3
Independent Poisson,Sigmoid,H,0,39,0.07695333620523201,0.05128205128205128,-0.02567128492318073,0.02567128492318073,0.0,0.1
Independent Poisson,Sigmoid,H,1,128,0.16136185814790185,0.125,-0.036361858147901854,0.036361858147901854,0.1,0.2
