ObjectName,Rows,Columns,File
aggregate_calibration_comparison,9,14,aggregate_calibration_comparison.csv
aggregate_calibration_export,9,14,aggregate_calibration_export.csv
baseline_calibration_bins,119,10,baseline_calibration_bins.csv
baseline_model_metrics,5,7,baseline_model_metrics.csv
baseline_model_metrics_export,5,7,baseline_model_metrics_export.csv
best_calibration_method_by_model,3,7,best_calibration_method_by_model.csv
best_method_by_model,3,7,best_method_by_model.csv
calibrated_long_data,41040,7,calibrated_long_data.csv
calibrated_macro_summary,9,6,calibrated_macro_summary.csv
calibrated_outcome_summary,27,7,calibrated_outcome_summary.csv
calibrated_predictions,13680,15,calibrated_predictions.csv
calibrated_predictions_export,13680,15,calibrated_predictions_export.csv
calibrated_reliability_bins,200,11,calibrated_reliability_bins.csv
calibration_data,9500,12,calibration_data.csv
calibration_export_summary,7,3,calibration_export_summary.csv
calibration_fold_metrics,36,12,calibration_fold_metrics.csv
calibration_fold_metrics_export,36,12,calibration_fold_metrics_export.csv
calibration_fold_plan,4,7,calibration_fold_plan.csv
calibration_model_coverage,12,11,calibration_model_coverage.csv
calibration_quality_comparison,9,11,calibration_quality_comparison.csv
calibrator_diagnostics,72,11,calibrator_diagnostics.csv
calibrator_diagnostics_export,72,11,calibrator_diagnostics_export.csv
evaluation_forecasts,380,12,evaluation_forecasts.csv
final_model_selection,1,14,final_model_selection.csv
final_model_selection_export,1,14,final_model_selection_export.csv
fixture_output,380,15,fixture_output.csv
largest_calibration_gaps,15,10,largest_calibration_gaps.csv
leading_calibration_bin_table,70,10,leading_calibration_bin_table.csv
leading_calibration_bins,70,10,leading_calibration_bins.csv
long_calibration_data,28500,5,long_calibration_data.csv
method_bins,9,11,method_bins.csv
method_forecasts,1520,15,method_forecasts.csv
method_win_counts,6,3,method_win_counts.csv
model_calibration_summary,5,4,model_calibration_summary.csv
model_evaluation_data,380,12,model_evaluation_data.csv
model_forecasts,1900,12,model_forecasts.csv
model_outcome_bins,9,10,model_outcome_bins.csv
model_season_coverage,25,7,model_season_coverage.csv
model_training_data,1520,12,model_training_data.csv
original_method_metrics,3,3,original_method_metrics.csv
outcome_bin_data,28,10,outcome_bin_data.csv
outcome_bins,8,11,outcome_bins.csv
outcome_calibration_summary,15,6,outcome_calibration_summary.csv
outcome_calibration_summary_export,15,6,outcome_calibration_summary_export.csv
outcome_data,27,11,outcome_data.csv
poisson_reliability_bins,69,11,poisson_reliability_bins.csv
seasonal_calibration_comparison,36,6,seasonal_calibration_comparison.csv
seasonal_method_winners,12,6,seasonal_method_winners.csv
sparse_calibration_bins,9,10,sparse_calibration_bins.csv
training_forecasts,1520,12,training_forecasts.csv
