EvaluationSeason,Model,CalibrationMethod,LogLoss,BrierScore,Accuracy
2021-22,Direct Probability Ensemble,Original,0.9735396549756891,0.5784215926450551,0.55
2021-22,Direct Probability Ensemble,Sigmoid,0.9986331191498209,0.5957270474084064,0.5
2021-22,Direct Probability Ensemble,Isotonic,1.0138911082360598,0.6057933677352018,0.5184210526315789
2021-22,Independent Poisson,Original,0.9659254725450744,0.5749441563754937,0.55
2021-22,Independent Poisson,Sigmoid,0.9935522806132434,0.5930997089700065,0.4921052631578947
2021-22,Independent Poisson,Isotonic,1.010760937355274,0.6042313014216882,0.4868421052631579
2021-22,Tuned Random Forest,Original,0.9721214004862119,0.5762531143104785,0.5473684210526316
2021-22,Tuned Random Forest,Isotonic,0.9909128122906681,0.5916930335161565,0.5342105263157895
2021-22,Tuned Random Forest,Sigmoid,0.9993179152845568,0.5954662344556142,0.5157894736842106
2022-23,Direct Probability Ensemble,Original,0.974600207910999,0.5800635007490292,0.5394736842105263
2022-23,Direct Probability Ensemble,Sigmoid,0.9997437150622465,0.596946875674104,0.531578947368421
2022-23,Direct Probability Ensemble,Isotonic,1.0748647442875556,0.6015421193296436,0.5342105263157895
2022-23,Independent Poisson,Original,0.9796753711712658,0.5827400418087424,0.5473684210526316
2022-23,Independent Poisson,Sigmoid,0.9991773647765378,0.5969534021406274,0.5184210526315789
2022-23,Independent Poisson,Isotonic,1.0084879265816387,0.6003808906745992,0.5236842105263158
2022-23,Tuned Random Forest,Original,0.9777680091767125,0.5814525515862349,0.5394736842105263
2022-23,Tuned Random Forest,Sigmoid,1.0001640663517823,0.5962842570792742,0.5236842105263158
2022-23,Tuned Random Forest,Isotonic,1.2630466283286617,0.602264728970537,0.5263157894736842
2023-24,Direct Probability Ensemble,Original,0.9311845847493949,0.5479997978938514,0.5842105263157895
2023-24,Direct Probability Ensemble,Sigmoid,0.9394489077077434,0.5529639990561428,0.5921052631578947
2023-24,Direct Probability Ensemble,Isotonic,1.0044725023861831,0.5511159950970865,0.5868421052631579
2023-24,Independent Poisson,Original,0.924723928838175,0.5452391749425416,0.5842105263157895
2023-24,Independent Poisson,Sigmoid,0.9380528536395936,0.5524916262412697,0.5842105263157895
2023-24,Independent Poisson,Isotonic,0.9400654857548725,0.552952662841819,0.5868421052631579
2023-24,Tuned Random Forest,Original,0.9367444861334716,0.5521816704659402,0.5789473684210527
2023-24,Tuned Random Forest,Sigmoid,0.9448115097950368,0.5569649334759271,0.5710526315789474
2023-24,Tuned Random Forest,Isotonic,0.9463994419712137,0.557408576782953,0.5605263157894737
2024-25,Direct Probability Ensemble,Sigmoid,0.9888717786605375,0.5908029615003713,0.5236842105263158
2024-25,Direct Probability Ensemble,Original,0.9962817215013409,0.5958832115410589,0.5184210526315789
2024-25,Direct Probability Ensemble,Isotonic,0.9969391894864462,0.5955778001730724,0.5236842105263158
2024-25,Independent Poisson,Sigmoid,0.9858252085632164,0.5891667439765789,0.5131578947368421
2024-25,Independent Poisson,Original,0.9891928791050212,0.5926756761653172,0.5026315789473684
2024-25,Independent Poisson,Isotonic,0.9931602510207833,0.5945057399780554,0.5105263157894737
2024-25,Tuned Random Forest,Sigmoid,0.991257694659237,0.5914953479082479,0.531578947368421
2024-25,Tuned Random Forest,Isotonic,0.9933435527621588,0.5935447322210291,0.5236842105263158
2024-25,Tuned Random Forest,Original,0.9977546669582863,0.5957125888845978,0.5263157894736842
