Model,EvaluationSeason,WinningCalibrationMethod,WinningLogLoss,WinningBrierScore,WinningAccuracy
Direct Probability Ensemble,2021-22,Original,0.9735396549756891,0.5784215926450551,0.55
Direct Probability Ensemble,2022-23,Original,0.974600207910999,0.5800635007490292,0.5394736842105263
Direct Probability Ensemble,2023-24,Original,0.9311845847493949,0.5479997978938514,0.5842105263157895
Direct Probability Ensemble,2024-25,Sigmoid,0.9888717786605375,0.5908029615003713,0.5236842105263158
Independent Poisson,2021-22,Original,0.9659254725450744,0.5749441563754937,0.55
Independent Poisson,2022-23,Original,0.9796753711712658,0.5827400418087424,0.5473684210526316
Independent Poisson,2023-24,Original,0.924723928838175,0.5452391749425416,0.5842105263157895
Independent Poisson,2024-25,Sigmoid,0.9858252085632164,0.5891667439765789,0.5131578947368421
Tuned Random Forest,2021-22,Original,0.9721214004862119,0.5762531143104785,0.5473684210526316
Tuned Random Forest,2022-23,Original,0.9777680091767125,0.5814525515862349,0.5394736842105263
Tuned Random Forest,2023-24,Original,0.9367444861334716,0.5521816704659402,0.5789473684210527
Tuned Random Forest,2024-25,Sigmoid,0.991257694659237,0.5914953479082479,0.531578947368421
