Season,Date,HomeTeam,AwayTeam,Fold,EvaluationSeason,Model,ActualOutcome,PredictedOutcome,Probability_H,Probability_D,Probability_A
2020-21,2020-09-12,Crystal Palace,Southampton,1,2020-21,Tuned Random Forest,H,A,0.3239213263915237,0.3001005303736438,0.375978143234833
2020-21,2020-09-12,Fulham,Arsenal,1,2020-21,Tuned Random Forest,A,A,0.2555286766252135,0.2149175258117843,0.5295537975630019
2020-21,2020-09-12,Liverpool,Leeds,1,2020-21,Tuned Random Forest,H,H,0.685753975344435,0.2027010308451608,0.1115449938104045
2020-21,2020-09-12,West Ham,Newcastle,1,2020-21,Tuned Random Forest,A,A,0.3296067433591011,0.2936454720809682,0.376747784559931
2020-21,2020-09-13,Tottenham,Everton,1,2020-21,Tuned Random Forest,A,H,0.5138915537132686,0.3050361878712709,0.1810722584154614
2020-21,2020-09-13,West Brom,Leicester,1,2020-21,Tuned Random Forest,A,A,0.2683214937739394,0.2323506954812108,0.4993278107448501
2020-21,2020-09-14,Brighton,Chelsea,1,2020-21,Tuned Random Forest,A,A,0.2949948670385813,0.2261973453910104,0.4788077875704082
2020-21,2020-09-14,Sheffield United,Wolves,1,2020-21,Tuned Random Forest,A,H,0.3625770919054951,0.2969132486046098,0.3405096594898956
2020-21,2020-09-19,Arsenal,West Ham,1,2020-21,Tuned Random Forest,H,H,0.7102149739312132,0.1831914796655603,0.1065935464032265
2020-21,2020-09-19,Everton,West Brom,1,2020-21,Tuned Random Forest,H,H,0.6341131594985567,0.2180188108949401,0.1478680296065036
2020-21,2020-09-19,Leeds,Fulham,1,2020-21,Tuned Random Forest,H,H,0.5402998292165819,0.2580512868372945,0.2016488839461239
2020-21,2020-09-19,Man United,Crystal Palace,1,2020-21,Tuned Random Forest,A,H,0.6208105038103018,0.2359576145841478,0.1432318816055509
2020-21,2020-09-20,Chelsea,Liverpool,1,2020-21,Tuned Random Forest,A,A,0.3043695329735332,0.1920287287678413,0.5036017382586258
2020-21,2020-09-20,Leicester,Burnley,1,2020-21,Tuned Random Forest,H,H,0.4729288058078073,0.2936008682033661,0.2334703259888273
2020-21,2020-09-20,Newcastle,Brighton,1,2020-21,Tuned Random Forest,A,H,0.471992064499262,0.2919659411140247,0.2360419943867135
2020-21,2020-09-20,Southampton,Tottenham,1,2020-21,Tuned Random Forest,A,A,0.3033611428897926,0.2536423417444723,0.4429965153657351
2020-21,2020-09-21,Aston Villa,Sheffield United,1,2020-21,Tuned Random Forest,H,A,0.3073556786627714,0.2367678425084697,0.4558764788287588
2020-21,2020-09-21,Wolves,Man City,1,2020-21,Tuned Random Forest,A,A,0.3077828298640066,0.1908928683264212,0.5013243018095722
2020-21,2020-09-26,Brighton,Man United,1,2020-21,Tuned Random Forest,A,A,0.3097781772973292,0.2339455199948784,0.4562763027077928
2020-21,2020-09-26,Burnley,Southampton,1,2020-21,Tuned Random Forest,A,H,0.4481516170627528,0.2958795006530549,0.2559688822841929
2020-21,2020-09-26,Crystal Palace,Everton,1,2020-21,Tuned Random Forest,A,A,0.3229882297562901,0.3025693446258565,0.3744424256178535
2020-21,2020-09-26,West Brom,Chelsea,1,2020-21,Tuned Random Forest,D,A,0.2329207954483049,0.2246105143877447,0.5424686901639507
2020-21,2020-09-27,Man City,Leicester,1,2020-21,Tuned Random Forest,A,H,0.6002887302596811,0.2407493163763417,0.1589619533639778
2020-21,2020-09-27,Sheffield United,Leeds,1,2020-21,Tuned Random Forest,A,H,0.3548126205161369,0.2915269257049826,0.3536604537788805
2020-21,2020-09-27,Tottenham,Newcastle,1,2020-21,Tuned Random Forest,D,H,0.6792908134920834,0.2064259433773768,0.1142832431305398
2020-21,2020-09-27,West Ham,Wolves,1,2020-21,Tuned Random Forest,H,A,0.2663250819502405,0.2236610798518208,0.5100138381979391
2020-21,2020-09-28,Fulham,Aston Villa,1,2020-21,Tuned Random Forest,A,A,0.3403087854879227,0.2967825894238796,0.3629086250881982
2020-21,2020-09-28,Liverpool,Arsenal,1,2020-21,Tuned Random Forest,H,H,0.6590410694950856,0.2103607110546178,0.1305982194502971
2020-21,2020-10-03,Chelsea,Crystal Palace,1,2020-21,Tuned Random Forest,H,H,0.6341572718481522,0.2314363072505913,0.1344064209012569
2020-21,2020-10-03,Everton,Brighton,1,2020-21,Tuned Random Forest,H,H,0.6184319749681291,0.2339861777886854,0.1475818472431851
2020-21,2020-10-03,Leeds,Man City,1,2020-21,Tuned Random Forest,D,A,0.254000175770975,0.1721629509806881,0.5738368732483372
2020-21,2020-10-03,Newcastle,Burnley,1,2020-21,Tuned Random Forest,H,H,0.3677569894226784,0.2979274374984888,0.3343155730788331
2020-21,2020-10-04,Arsenal,Sheffield United,1,2020-21,Tuned Random Forest,H,H,0.656598917344405,0.2252612355366735,0.1181398471189214
2020-21,2020-10-04,Aston Villa,Liverpool,1,2020-21,Tuned Random Forest,H,A,0.1821450989003442,0.1341516216476287,0.683703279452027
2020-21,2020-10-04,Leicester,West Ham,1,2020-21,Tuned Random Forest,A,H,0.7095539510411034,0.1856232272872684,0.1048228216716278
2020-21,2020-10-04,Man United,Tottenham,1,2020-21,Tuned Random Forest,A,H,0.4750040871335184,0.3167396678686131,0.2082562449978689
2020-21,2020-10-04,Southampton,West Brom,1,2020-21,Tuned Random Forest,H,H,0.5754430554260715,0.2397811808078653,0.1847757637660634
2020-21,2020-10-04,Wolves,Fulham,1,2020-21,Tuned Random Forest,H,H,0.6777326931699332,0.1992438685917587,0.1230234382383081
2020-21,2020-10-17,Chelsea,Southampton,1,2020-21,Tuned Random Forest,D,H,0.6374362015584208,0.2504441252531783,0.1121196731884006
2020-21,2020-10-17,Everton,Liverpool,1,2020-21,Tuned Random Forest,D,A,0.3395942810046424,0.1910845108824281,0.4693212081129294
2020-21,2020-10-17,Man City,Arsenal,1,2020-21,Tuned Random Forest,H,H,0.5744778696132432,0.2564032403410703,0.1691188900456877
2020-21,2020-10-17,Newcastle,Man United,1,2020-21,Tuned Random Forest,A,A,0.3577467619848198,0.2380033748661781,0.4042498631490019
2020-21,2020-10-18,Crystal Palace,Brighton,1,2020-21,Tuned Random Forest,D,H,0.4480981436370427,0.2828319488095258,0.2690699075534319
2020-21,2020-10-18,Leicester,Aston Villa,1,2020-21,Tuned Random Forest,A,H,0.624255437595393,0.2225589830733621,0.1531855793312448
2020-21,2020-10-18,Sheffield United,Fulham,1,2020-21,Tuned Random Forest,D,H,0.5722485176700469,0.2400835030299849,0.1876679792999683
2020-21,2020-10-18,Tottenham,West Ham,1,2020-21,Tuned Random Forest,D,H,0.6934494045884283,0.1967503118568012,0.1098002835547708
2020-21,2020-10-19,Leeds,Wolves,1,2020-21,Tuned Random Forest,A,H,0.3752499125688412,0.2976162315353587,0.3271338558958003
2020-21,2020-10-19,West Brom,Burnley,1,2020-21,Tuned Random Forest,D,A,0.3145617092203409,0.251755077437031,0.4336832133426284
2020-21,2020-10-23,Aston Villa,Leeds,1,2020-21,Tuned Random Forest,A,H,0.4245887514939271,0.2741078477539293,0.3013034007521438
2020-21,2020-10-24,Fulham,Crystal Palace,1,2020-21,Tuned Random Forest,A,A,0.2691565263043768,0.2421853858607134,0.4886580878349099
2020-21,2020-10-24,Liverpool,Sheffield United,1,2020-21,Tuned Random Forest,H,H,0.7783840770071075,0.1379298285562979,0.0836860944365947
2020-21,2020-10-24,Man United,Chelsea,1,2020-21,Tuned Random Forest,D,H,0.3816842670504545,0.3174308048659924,0.3008849280835534
2020-21,2020-10-24,West Ham,Man City,1,2020-21,Tuned Random Forest,D,A,0.2571904651069061,0.1739954409943288,0.5688140938987651
2020-21,2020-10-25,Arsenal,Leicester,1,2020-21,Tuned Random Forest,A,H,0.5011429026058715,0.3256343173826284,0.1732227800115005
2020-21,2020-10-25,Southampton,Everton,1,2020-21,Tuned Random Forest,H,A,0.3218728039348165,0.3218423305447391,0.3562848655204446
2020-21,2020-10-25,Wolves,Newcastle,1,2020-21,Tuned Random Forest,D,H,0.6098345705991465,0.2443192742689904,0.1458461551318633
2020-21,2020-10-26,Brighton,West Brom,1,2020-21,Tuned Random Forest,D,H,0.5718729060276929,0.2476042830594786,0.1805228109128282
2020-21,2020-10-26,Burnley,Tottenham,1,2020-21,Tuned Random Forest,A,A,0.2543546590909451,0.2303249139895923,0.5153204269194629
2020-21,2020-10-30,Wolves,Crystal Palace,1,2020-21,Tuned Random Forest,H,H,0.5642716024482347,0.2726924296525871,0.1630359678991788
2020-21,2020-10-31,Burnley,Chelsea,1,2020-21,Tuned Random Forest,A,A,0.2678302794702085,0.2372900146606232,0.4948797058691688
2020-21,2020-10-31,Liverpool,West Ham,1,2020-21,Tuned Random Forest,H,H,0.711871810978945,0.1810614427568119,0.1070667462642435
2020-21,2020-10-31,Sheffield United,Man City,1,2020-21,Tuned Random Forest,A,A,0.1859409571662403,0.1391243841535676,0.6749346586801918
2020-21,2020-11-01,Aston Villa,Southampton,1,2020-21,Tuned Random Forest,A,A,0.3644610044456547,0.2674913522539741,0.3680476433003716
2020-21,2020-11-01,Man United,Arsenal,1,2020-21,Tuned Random Forest,A,H,0.4958451199312062,0.3133952354173602,0.1907596446514341
2020-21,2020-11-01,Newcastle,Everton,1,2020-21,Tuned Random Forest,H,A,0.2866296356480339,0.2776321713880929,0.4357381929638734
2020-21,2020-11-01,Tottenham,Brighton,1,2020-21,Tuned Random Forest,H,H,0.7164102815862078,0.192793046119663,0.0907966722941287
2020-21,2020-11-02,Fulham,West Brom,1,2020-21,Tuned Random Forest,H,H,0.4503294688231128,0.2494619093774507,0.300208621799436
2020-21,2020-11-02,Leeds,Leicester,1,2020-21,Tuned Random Forest,A,A,0.3157437067228019,0.326692776452751,0.3575635168244472
2020-21,2020-11-06,Brighton,Burnley,1,2020-21,Tuned Random Forest,D,H,0.4725360013988312,0.2448849023917563,0.2825790962094128
2020-21,2020-11-06,Southampton,Newcastle,1,2020-21,Tuned Random Forest,H,H,0.4970746538335816,0.2951724203769486,0.2077529257894697
2020-21,2020-11-07,Chelsea,Sheffield United,1,2020-21,Tuned Random Forest,H,H,0.7193962018206784,0.1890422465109187,0.0915615516684028
2020-21,2020-11-07,Crystal Palace,Leeds,1,2020-21,Tuned Random Forest,H,A,0.3393770920199002,0.3037528503137999,0.3568700576663004
2020-21,2020-11-07,Everton,Man United,1,2020-21,Tuned Random Forest,A,H,0.4091292086185001,0.279710538802725,0.3111602525787748
2020-21,2020-11-07,West Ham,Fulham,1,2020-21,Tuned Random Forest,H,H,0.6141429502144647,0.2321200393058832,0.153737010479652
2020-21,2020-11-08,Arsenal,Aston Villa,1,2020-21,Tuned Random Forest,A,H,0.6176774124946102,0.2436374388220338,0.138685148683356
2020-21,2020-11-08,Leicester,Wolves,1,2020-21,Tuned Random Forest,H,H,0.4486575727506528,0.2944599466032381,0.2568824806461091
2020-21,2020-11-08,Man City,Liverpool,1,2020-21,Tuned Random Forest,D,A,0.3597443307933243,0.2730384312430938,0.3672172379635818
2020-21,2020-11-08,West Brom,Tottenham,1,2020-21,Tuned Random Forest,A,A,0.2098598136620167,0.2118202331107369,0.5783199532272468
2020-21,2020-11-21,Aston Villa,Brighton,1,2020-21,Tuned Random Forest,A,H,0.4426226131756812,0.2782571802811102,0.279120206543209
2020-21,2020-11-21,Man United,West Brom,1,2020-21,Tuned Random Forest,H,H,0.6995037445886272,0.1977041243095568,0.1027921311018158
2020-21,2020-11-21,Newcastle,Chelsea,1,2020-21,Tuned Random Forest,A,A,0.2046856643083894,0.1641266474517534,0.6311876882398577
2020-21,2020-11-21,Tottenham,Man City,1,2020-21,Tuned Random Forest,H,H,0.3916222556531304,0.2300702386800474,0.3783075056668222
2020-21,2020-11-22,Fulham,Everton,1,2020-21,Tuned Random Forest,A,A,0.2790178160558132,0.2407489511450137,0.4802332327991733
2020-21,2020-11-22,Leeds,Arsenal,1,2020-21,Tuned Random Forest,D,A,0.2948300334329993,0.2448284446933284,0.4603415218736721
2020-21,2020-11-22,Liverpool,Leicester,1,2020-21,Tuned Random Forest,H,H,0.6415295277548917,0.224742709991214,0.1337277622538946
2020-21,2020-11-22,Sheffield United,West Ham,1,2020-21,Tuned Random Forest,A,A,0.3209068718544826,0.3308586924779629,0.3482344356675549
2020-21,2020-11-23,Burnley,Crystal Palace,1,2020-21,Tuned Random Forest,H,A,0.3465174615206606,0.3022813288572989,0.3512012096220409
2020-21,2020-11-23,Wolves,Southampton,1,2020-21,Tuned Random Forest,D,H,0.4261146847992574,0.3264501297663379,0.2474351854344047
2020-21,2020-11-27,Crystal Palace,Newcastle,1,2020-21,Tuned Random Forest,A,H,0.4537975050441847,0.2576623490639295,0.2885401458918853
2020-21,2020-11-28,Brighton,Liverpool,1,2020-21,Tuned Random Forest,D,A,0.1454736886125004,0.1133971215154699,0.7411291898720292
2020-21,2020-11-28,Everton,Leeds,1,2020-21,Tuned Random Forest,A,H,0.5634313162792834,0.2680348854176896,0.1685337983030269
2020-21,2020-11-28,Man City,Burnley,1,2020-21,Tuned Random Forest,H,H,0.7394943621354239,0.1671674729513892,0.0933381649131867
2020-21,2020-11-28,West Brom,Sheffield United,1,2020-21,Tuned Random Forest,H,H,0.4080847177651319,0.2404268043809256,0.3514884778539426
2020-21,2020-11-29,Arsenal,Wolves,1,2020-21,Tuned Random Forest,A,H,0.3928503491308455,0.3197318345150462,0.2874178163541088
2020-21,2020-11-29,Chelsea,Tottenham,1,2020-21,Tuned Random Forest,D,H,0.3831891580771362,0.3438988397725503,0.2729120021503139
2020-21,2020-11-29,Southampton,Man United,1,2020-21,Tuned Random Forest,A,H,0.3838060853674709,0.2916784249145302,0.3245154897179992
2020-21,2020-11-30,Leicester,Fulham,1,2020-21,Tuned Random Forest,A,H,0.7304781984461771,0.1731689335138722,0.0963528680399507
2020-21,2020-11-30,West Ham,Aston Villa,1,2020-21,Tuned Random Forest,H,H,0.4923821973392639,0.2771297567593156,0.230488045901421
2020-21,2020-12-05,Burnley,Everton,1,2020-21,Tuned Random Forest,D,H,0.4219840012435152,0.2655888205307872,0.3124271782256973
2020-21,2020-12-05,Chelsea,Leeds,1,2020-21,Tuned Random Forest,H,H,0.6965050524680099,0.2103050368445487,0.0931899106874411
2020-21,2020-12-05,Man City,Fulham,1,2020-21,Tuned Random Forest,H,H,0.7556728464531355,0.1580281155387035,0.0862990380081606
2020-21,2020-12-05,West Ham,Man United,1,2020-21,Tuned Random Forest,A,A,0.3325451996370965,0.2210472002142548,0.4464076001486492
2020-21,2020-12-06,Liverpool,Wolves,1,2020-21,Tuned Random Forest,H,H,0.7101196322401423,0.1812892066263919,0.1085911611334654
2020-21,2020-12-06,Sheffield United,Leicester,1,2020-21,Tuned Random Forest,A,A,0.2653235609886502,0.228661921998998,0.5060145170123518
2020-21,2020-12-06,Tottenham,Arsenal,1,2020-21,Tuned Random Forest,H,H,0.6291803938159252,0.2472822962459354,0.123537309938139
2020-21,2020-12-06,West Brom,Crystal Palace,1,2020-21,Tuned Random Forest,A,A,0.3465449451418156,0.2707905830778012,0.3826644717803833
2020-21,2020-12-07,Brighton,Southampton,1,2020-21,Tuned Random Forest,A,A,0.3250549862116274,0.275864687705382,0.3990803260829911
2020-21,2020-12-11,Leeds,West Ham,1,2020-21,Tuned Random Forest,A,H,0.3592909267044655,0.2997551326661407,0.3409539406293943
2020-21,2020-12-12,Everton,Chelsea,1,2020-21,Tuned Random Forest,H,A,0.2335511744206173,0.1778064839288929,0.5886423416504895
2020-21,2020-12-12,Man United,Man City,1,2020-21,Tuned Random Forest,D,A,0.3231711003104414,0.245045618622231,0.4317832810673273
2020-21,2020-12-12,Newcastle,West Brom,1,2020-21,Tuned Random Forest,H,H,0.6002014723664881,0.2335515948564256,0.1662469327770856
