Season,Date,HomeTeam,AwayTeam,HomeEloBefore,AwayEloBefore,HomeRollingPoints5,AwayRollingPoints5,HomeRollingGoalsFor5,HomeRollingGoalsAgainst5,HomeRollingGoalDifference5,HomeRollingWinRate5,AwayRollingGoalsFor5,AwayRollingGoalsAgainst5,AwayRollingGoalDifference5,AwayRollingWinRate5,HomeVenueRollingPoints5,HomeVenueRollingGoalsFor5,HomeVenueRollingGoalsAgainst5,HomeVenueRollingGoalDifference5,HomeVenueRollingWinRate5,AwayVenueRollingPoints5,AwayVenueRollingGoalsFor5,AwayVenueRollingGoalsAgainst5,AwayVenueRollingGoalDifference5,AwayVenueRollingWinRate5,HomeRestDays,AwayRestDays,HomeShortRest3,AwayShortRest3,HomeMatchesLast7Days,HomeMatchesLast14Days,AwayMatchesLast7Days,AwayMatchesLast14Days,EloDifference,PointsFormDifference5,GoalsForFormDifference5,GoalsAgainstFormDifference5,GoalDifferenceFormDifference5,WinRateFormDifference5,VenuePointsFormDifference5,VenueGoalsForFormDifference5,VenueGoalsAgainstFormDifference5,VenueGoalDifferenceFormDifference5,VenueWinRateFormDifference5,RestDaysDifference,ShortRestDifference3,MatchesLast7DaysDifference,MatchesLast14DaysDifference,AwayMatchWeek,HomeMatchWeek,HomeSeasonProgress,AwaySeasonProgress,AverageSeasonProgress,SeasonProgressDifference,MatchesPlayedDifference,SecondHalfSeason,HomePointsBefore,AwayPointsBefore,HomeGoalDifferenceBefore,AwayGoalDifferenceBefore,HomeLeaguePosition,AwayLeaguePosition,PointsDifference,PositionDifference,GoalDifferenceDifference,HomeTop4Before,HomeTop6Before,HomeTopHalfBefore,HomeBottom3Before,AwayTop4Before,AwayTop6Before,AwayTopHalfBefore,AwayBottom3Before
2015-16,2015-08-08,Bournemouth,Aston Villa,1500.0,1500.0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0.0,,,,,,,,,,,,,0,0,1,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,,,0,,0,,,,,,,,
2015-16,2016-01-18,Swansea,Watford,1446.4875805457718,1496.553987106535,5.0,4.0,4.0,6.0,-2.0,0.2,7.0,8.0,-1.0,0.2,5.0,5.0,9.0,-4.0,0.2,7.0,7.0,8.0,-1.0,0.4,5.0,5.0,0.0,0.0,1,1,1,1,-50.0664065607632,1.0,-3.0,-2.0,-1.0,0.0,-2.0,-2.0,1.0,-3.0,-0.2,0.0,0.0,0,0,22,22,0.5675675675675675,0.5675675675675675,0.5675675675675675,0.0,0,1,19,29,-11,1,18,12,-10,-6,-12,0,0,0,1,0,0,0,0
2016-17,2016-09-26,Burnley,Watford,1484.8314935091241,1466.9011800221137,4.0,7.0,3.0,8.0,-5.0,0.2,10.0,9.0,1.0,0.4,,,,,,,,,,,9.0,8.0,0.0,0.0,0,1,0,1,17.93031348701038,-3.0,-7.0,-1.0,-6.0,-0.2,,,,,,1.0,0.0,0,0,6,6,0.13513513513513514,0.13513513513513514,0.13513513513513514,0.0,0,0,4,7,-5,1,17,11,-3,-6,-6,0,0,0,0,0,0,0,0
2016-17,2017-03-18,West Ham,Leicester,1503.122093117017,1515.2778473183384,5.0,6.0,9.0,9.0,0.0,0.2,6.0,8.0,-2.0,0.4,4.0,6.0,10.0,-4.0,0.2,2.0,2.0,8.0,-6.0,0.0,7.0,14.0,0.0,0.0,1,2,0,1,-12.155754201321542,-1.0,3.0,1.0,2.0,-0.2,2.0,4.0,2.0,2.0,0.2,-7.0,0.0,1,1,28,29,0.7567567567567568,0.7297297297297297,0.7432432432432432,0.027027027027027084,1,1,33,27,-11,-15,11,15,6,4,4,0,0,0,0,0,0,0,0
2017-18,2017-11-20,Brighton,Stoke,1505.3666983980108,1473.970626141909,8.0,7.0,6.0,4.0,2.0,0.4,8.0,12.0,-4.0,0.4,8.0,6.0,5.0,1.0,0.4,4.0,5.0,11.0,-6.0,0.2,16.0,16.0,0.0,0.0,0,0,0,0,31.39607225610189,1.0,-2.0,-8.0,6.0,0.0,4.0,1.0,-6.0,7.0,0.2,0.0,0.0,0,0,12,12,0.2972972972972973,0.2972972972972973,0.2972972972972973,0.0,0,0,15,12,0,-9,9,15,3,6,9,0,0,1,0,0,0,0,0
2017-18,2018-04-21,West Brom,Liverpool,1395.9321514203273,1672.7831833466582,4.0,10.0,5.0,9.0,-4.0,0.2,11.0,3.0,8.0,0.6,1.0,6.0,12.0,-6.0,0.0,10.0,8.0,3.0,5.0,0.6,6.0,7.0,0.0,0.0,1,2,1,2,-276.85103192633096,-6.0,-6.0,6.0,-12.0,-0.39999999999999997,-9.0,-2.0,9.0,-11.0,-0.6,-1.0,0.0,0,0,35,35,0.918918918918919,0.918918918918919,0.918918918918919,0.0,0,1,24,70,-25,43,20,3,-46,-17,-68,0,0,0,1,1,1,1,0
2018-19,2018-12-23,Everton,Tottenham,1528.9947657586151,1710.481767999695,5.0,12.0,5.0,7.0,-2.0,0.2,11.0,6.0,5.0,0.8,11.0,9.0,4.0,5.0,0.6,12.0,9.0,6.0,3.0,0.8,8.0,8.0,0.0,0.0,0,2,0,1,-181.48700224107984,-7.0,-6.0,1.0,-7.0,-0.6000000000000001,-1.0,0.0,-2.0,2.0,-0.20000000000000007,0.0,0.0,0,1,18,18,0.4594594594594595,0.4594594594594595,0.4594594594594595,0.0,0,0,24,39,2,15,11,3,-15,-8,-13,0,0,0,0,1,1,1,0
2019-20,2019-08-19,Wolves,Man United,1547.3838300372572,1639.8555452481553,,,,,,,,,,,,,,,,,,,,,8.0,8.0,0.0,0.0,0,1,0,1,-92.47171521089808,,,,,,,,,,,0.0,0.0,0,0,2,2,0.02702702702702703,0.02702702702702703,0.02702702702702703,0.0,0,0,1,3,0,4,13,9,-2,-4,-4,0,0,0,0,0,0,1,0
2019-20,2020-01-29,West Ham,Liverpool,1474.558387684041,1846.3292695951677,4.0,15.0,7.0,8.0,-1.0,0.2,8.0,1.0,7.0,1.0,4.0,9.0,9.0,0.0,0.2,15.0,12.0,2.0,10.0,1.0,7.0,6.0,0.0,0.0,1,2,1,2,-371.7708819111267,-11.0,-1.0,7.0,-8.0,-0.8,-11.0,-3.0,7.0,-10.0,-0.8,1.0,0.0,0,0,24,24,0.6216216216216216,0.6216216216216216,0.6216216216216216,0.0,0,1,23,67,-11,39,17,1,-44,-16,-50,0,0,0,0,1,1,1,0
2020-21,2020-11-21,Man United,West Brom,1629.9243333569593,1398.2359515306207,7.0,2.0,8.0,9.0,-1.0,0.4,1.0,6.0,-5.0,0.0,,,,,,,,,,,14.0,13.0,0.0,0.0,0,1,0,1,231.68838182633863,5.0,7.0,3.0,4.0,0.4,,,,,,1.0,0.0,0,0,9,8,0.1891891891891892,0.21621621621621623,0.20270270270270271,-0.02702702702702703,-1,0,10,3,-2,-11,14,18,7,4,9,0,0,0,0,0,0,0,1
