Season,Date,HomeTeam,AwayTeam,Fold,EvaluationSeason,Model,ActualOutcome,PredictedOutcome,Probability_H,Probability_D,Probability_A
2020-21,2020-09-12,Crystal Palace,Southampton,1,2020-21,Tuned Logistic Regression,H,A,0.34774697145765265,0.2719040575892396,0.3803489709531078
2020-21,2020-09-12,Fulham,Arsenal,1,2020-21,Tuned Logistic Regression,A,A,0.21257432506073334,0.23553201619763062,0.551893658741636
2020-21,2020-09-12,Liverpool,Leeds,1,2020-21,Tuned Logistic Regression,H,H,0.764104782493476,0.1637159531585505,0.07217926434797356
2020-21,2020-09-12,West Ham,Newcastle,1,2020-21,Tuned Logistic Regression,A,H,0.37012767592148793,0.28279393839201555,0.3470783856864966
2020-21,2020-09-13,Tottenham,Everton,1,2020-21,Tuned Logistic Regression,A,H,0.5282854317965383,0.25077767623909836,0.22093689196436334
2020-21,2020-09-13,West Brom,Leicester,1,2020-21,Tuned Logistic Regression,A,A,0.2739576485406504,0.26877494023559734,0.45726741122375236
2020-21,2020-09-14,Brighton,Chelsea,1,2020-21,Tuned Logistic Regression,A,A,0.2631712379091529,0.25815043264596965,0.47867832944487754
2020-21,2020-09-14,Sheffield United,Wolves,1,2020-21,Tuned Logistic Regression,A,H,0.37433568749659196,0.25383098256373676,0.37183332993967133
2020-21,2020-09-19,Arsenal,West Ham,1,2020-21,Tuned Logistic Regression,H,H,0.6574593457427771,0.1865084063444588,0.15603224791276404
2020-21,2020-09-19,Everton,West Brom,1,2020-21,Tuned Logistic Regression,H,H,0.5283973260156722,0.2569574658830397,0.21464520810128807
2020-21,2020-09-19,Leeds,Fulham,1,2020-21,Tuned Logistic Regression,H,H,0.48262727495385443,0.2599046990932174,0.2574680259529281
2020-21,2020-09-19,Man United,Crystal Palace,1,2020-21,Tuned Logistic Regression,A,H,0.5440266909414531,0.3016582938338609,0.15431501522468613
2020-21,2020-09-20,Chelsea,Liverpool,1,2020-21,Tuned Logistic Regression,A,A,0.34312549629599554,0.25636033070558767,0.4005141729984168
2020-21,2020-09-20,Leicester,Burnley,1,2020-21,Tuned Logistic Regression,H,H,0.5362451268630373,0.18431245471761795,0.2794424184193448
2020-21,2020-09-20,Newcastle,Brighton,1,2020-21,Tuned Logistic Regression,A,H,0.45343401276327616,0.28807306165337593,0.258492925583348
