Season,Date,HomeTeam,AwayTeam,EvaluationSeason,ActualOutcome,ComparisonLogLoss,PoissonLogLoss,ComparisonModel,LossDifference
2020-21,2020-09-12,Crystal Palace,Southampton,2020-21,H,1.0562801571808427,1.0390772483630835,Tuned Logistic Regression,0.01720290881775921
2020-21,2020-09-12,Fulham,Arsenal,2020-21,A,0.5943998984710798,0.537353624540747,Tuned Logistic Regression,0.05704627393033279
2020-21,2020-09-12,Liverpool,Leeds,2020-21,H,0.2690503493592281,0.18628092003094268,Tuned Logistic Regression,0.08276942932828543
2020-21,2020-09-12,West Ham,Newcastle,2020-21,A,1.0582046291956564,1.0019957265481838,Tuned Logistic Regression,0.05620890264747258
2020-21,2020-09-13,Tottenham,Everton,2020-21,A,1.5098781749658063,1.4534443722116646,Tuned Logistic Regression,0.05643380275414178
2020-21,2020-09-13,West Brom,Leicester,2020-21,A,0.7824869143087183,0.7259187944941591,Tuned Logistic Regression,0.056568119814559226
2020-21,2020-09-14,Brighton,Chelsea,2020-21,A,0.7367264532033643,0.7845413661022898,Tuned Logistic Regression,-0.04781491289892548
2020-21,2020-09-14,Sheffield United,Wolves,2020-21,A,0.989309562904496,0.973929143001723,Tuned Logistic Regression,0.015380419902773057
2020-21,2020-09-19,Arsenal,West Ham,2020-21,H,0.41937234841178855,0.3810976948211212,Tuned Logistic Regression,0.03827465359066734
2020-21,2020-09-19,Everton,West Brom,2020-21,H,0.6379067668772932,0.587506855810019,Tuned Logistic Regression,0.05039991106727415
2020-21,2020-09-19,Leeds,Fulham,2020-21,H,0.728510610699746,0.6756169282075505,Tuned Logistic Regression,0.052893682492195504
2020-21,2020-09-19,Man United,Crystal Palace,2020-21,A,1.8687592124571335,1.81010832768381,Tuned Logistic Regression,0.058650884773323586
2020-21,2020-09-20,Chelsea,Liverpool,2020-21,A,0.9150061248391568,0.8859564970222099,Tuned Logistic Regression,0.029049627816946866
2020-21,2020-09-20,Leicester,Burnley,2020-21,H,0.6231638962160968,0.6849432174014423,Tuned Logistic Regression,-0.06177932118534546
2020-21,2020-09-20,Newcastle,Brighton,2020-21,A,1.3528869525905476,1.3337668941676841,Tuned Logistic Regression,0.019120058422863462
2020-21,2020-09-20,Southampton,Tottenham,2020-21,A,0.8247988899915413,0.84851313407081,Tuned Logistic Regression,-0.023714244079268698
2020-21,2020-09-21,Aston Villa,Sheffield United,2020-21,H,1.5141067880694672,1.3117563439139388,Tuned Logistic Regression,0.2023504441555284
2020-21,2020-09-21,Wolves,Man City,2020-21,A,0.6543633848408774,0.7031090481342335,Tuned Logistic Regression,-0.048745663293356056
2020-21,2020-09-26,Brighton,Man United,2020-21,A,0.5643179913443966,0.6512742318198838,Tuned Logistic Regression,-0.08695624047548711
2020-21,2020-09-26,Burnley,Southampton,2020-21,A,1.2648741621437516,1.2928925767123647,Tuned Logistic Regression,-0.028018414568613093
2020-21,2020-09-26,Crystal Palace,Everton,2020-21,A,0.9938386464857024,0.8420812518436566,Tuned Logistic Regression,0.15175739464204585
2020-21,2020-09-26,West Brom,Chelsea,2020-21,D,1.4332773379592907,1.6512257387561828,Tuned Logistic Regression,-0.21794840079689215
2020-21,2020-09-27,Man City,Leicester,2020-21,A,1.96514157076498,1.8003442175505515,Tuned Logistic Regression,0.16479735321442845
2020-21,2020-09-27,Sheffield United,Leeds,2020-21,A,1.265795692447472,1.0758986497541774,Tuned Logistic Regression,0.18989704269329466
2020-21,2020-09-27,Tottenham,Newcastle,2020-21,D,1.2594737855554947,1.4103369855029906,Tuned Logistic Regression,-0.15086319994749586
2020-21,2020-09-27,West Ham,Wolves,2020-21,H,1.1185512643389282,1.2285864733166836,Tuned Logistic Regression,-0.11003520897775543
2020-21,2020-09-28,Fulham,Aston Villa,2020-21,A,0.9505952194339666,0.887353477946702,Tuned Logistic Regression,0.06324174148726458
2020-21,2020-09-28,Liverpool,Arsenal,2020-21,H,0.24957846465270342,0.28542348936733564,Tuned Logistic Regression,-0.03584502471463222
2020-21,2020-10-03,Chelsea,Crystal Palace,2020-21,H,0.6494359696157272,0.6261074277404594,Tuned Logistic Regression,0.023328541875267894
2020-21,2020-10-03,Everton,Brighton,2020-21,H,0.595119180739843,0.5879229120885408,Tuned Logistic Regression,0.0071962686513022955
2020-21,2020-10-03,Leeds,Man City,2020-21,D,1.8880768919086461,1.545532792959607,Tuned Logistic Regression,0.34254409894903914
2020-21,2020-10-03,Newcastle,Burnley,2020-21,H,0.8534684360070898,0.930274439448259,Tuned Logistic Regression,-0.07680600344116928
2020-21,2020-10-04,Arsenal,Sheffield United,2020-21,H,0.5762727991596092,0.5645659207689179,Tuned Logistic Regression,0.011706878390691289
2020-21,2020-10-04,Aston Villa,Liverpool,2020-21,H,2.599450750966984,2.8079864755002992,Tuned Logistic Regression,-0.20853572453331504
2020-21,2020-10-04,Leicester,West Ham,2020-21,A,1.6216098983150544,1.6598695754796693,Tuned Logistic Regression,-0.03825967716461487
2020-21,2020-10-04,Man United,Tottenham,2020-21,A,1.4820238429087698,1.400450606183669,Tuned Logistic Regression,0.08157323672510075
2020-21,2020-10-04,Southampton,West Brom,2020-21,H,0.8024240552576429,0.7783552922655317,Tuned Logistic Regression,0.024068762992111248
2020-21,2020-10-04,Wolves,Fulham,2020-21,H,0.5400536009605986,0.5764652090492711,Tuned Logistic Regression,-0.0364116080886725
2020-21,2020-10-17,Chelsea,Southampton,2020-21,D,1.3350411625201313,1.4754337996911535,Tuned Logistic Regression,-0.14039263717102224
2020-21,2020-10-17,Everton,Liverpool,2020-21,D,1.7749377563645417,1.434491384500792,Tuned Logistic Regression,0.3404463718637496
2020-21,2020-10-17,Man City,Arsenal,2020-21,H,0.6002985940257494,0.6193186912653218,Tuned Logistic Regression,-0.01902009723957243
2020-21,2020-10-17,Newcastle,Man United,2020-21,A,0.7534393312675477,0.8192840451115394,Tuned Logistic Regression,-0.06584471384399171
2020-21,2020-10-18,Crystal Palace,Brighton,2020-21,D,1.1932062201827645,1.3193169473251207,Tuned Logistic Regression,-0.12611072714235627
2020-21,2020-10-18,Leicester,Aston Villa,2020-21,A,1.6325964864278033,1.596671742974393,Tuned Logistic Regression,0.035924743453410235
2020-21,2020-10-18,Sheffield United,Fulham,2020-21,D,1.3125861070312077,1.3712373614167326,Tuned Logistic Regression,-0.058651254385524876
2020-21,2020-10-18,Tottenham,West Ham,2020-21,D,1.3044881913411113,1.4962082912882269,Tuned Logistic Regression,-0.19172009994711559
2020-21,2020-10-19,Leeds,Wolves,2020-21,A,0.9785833793951725,0.9942376395182523,Tuned Logistic Regression,-0.0156542601230798
2020-21,2020-10-19,West Brom,Burnley,2020-21,D,1.678920481857444,1.3070628687521588,Tuned Logistic Regression,0.3718576131052851
2020-21,2020-10-23,Aston Villa,Leeds,2020-21,A,1.2659542556176921,1.2907869280575979,Tuned Logistic Regression,-0.024832672439905723
