Season,Date,HomeTeam,AwayTeam,Fold,EvaluationSeason,ActualHomeGoals,ActualAwayGoals,ExpectedHomeGoals,ExpectedAwayGoals
2020-21,2020-09-12,Crystal Palace,Southampton,1,2020-21,1,0,1.4109732892841458,1.5151667128191637
2020-21,2020-09-12,Fulham,Arsenal,1,2020-21,0,3,1.1058736745973925,2.0165679212213017
2020-21,2020-09-12,Liverpool,Leeds,1,2020-21,4,3,3.080459063366752,0.7559126572506534
2020-21,2020-09-12,West Ham,Newcastle,1,2020-21,0,2,1.4566976141553618,1.4191868780090127
2020-21,2020-09-13,Tottenham,Everton,1,2020-21,0,1,1.7520031334686437,1.0818138214467496
2020-21,2020-09-13,West Brom,Leicester,1,2020-21,0,3,1.1007350273563767,1.5779041504245328
2020-21,2020-09-14,Brighton,Chelsea,1,2020-21,1,3,1.0984178548199084,1.4680328837686079
2020-21,2020-09-14,Sheffield United,Wolves,1,2020-21,0,2,1.413780616404243,1.4268774985711532
2020-21,2020-09-19,Arsenal,West Ham,1,2020-21,2,1,1.9489312495273374,0.6457931908346113
2020-21,2020-09-19,Everton,West Brom,1,2020-21,5,2,1.4768384135276016,0.7107396126063663
2020-21,2020-09-19,Leeds,Fulham,1,2020-21,4,3,1.4606188205748933,0.8736576773761004
2020-21,2020-09-19,Man United,Crystal Palace,1,2020-21,1,3,1.8404377357163482,0.8269517508455315
2020-21,2020-09-20,Chelsea,Liverpool,1,2020-21,0,2,1.4660498037853007,1.6120731387203504
2020-21,2020-09-20,Leicester,Burnley,1,2020-21,4,2,1.8086383309067449,1.254314739257722
2020-21,2020-09-20,Newcastle,Brighton,1,2020-21,0,3,1.4800225428795186,1.0307390868924982
2020-21,2020-09-20,Southampton,Tottenham,1,2020-21,2,5,1.2841850559862822,1.5201316942840701
2020-21,2020-09-21,Aston Villa,Sheffield United,1,2020-21,1,0,0.976751871897729,1.3600063266173195
2020-21,2020-09-21,Wolves,Man City,1,2020-21,1,3,1.3655329466153519,1.8766314860370332
2020-21,2020-09-26,Brighton,Man United,1,2020-21,2,3,1.1250649517522608,1.755684054529851
2020-21,2020-09-26,Burnley,Southampton,1,2020-21,0,1,1.2550036544539627,0.9293555693840706
2020-21,2020-09-26,Crystal Palace,Everton,1,2020-21,1,2,1.2370155258745934,1.4903483300635987
2020-21,2020-09-26,West Brom,Chelsea,1,2020-21,3,3,0.9268926120312275,2.1871204050920006
2020-21,2020-09-27,Man City,Leicester,1,2020-21,2,5,1.8262246488759284,0.8268705170490077
